name	year	n_species	n_reactions	long_id	short_id	sbml_path	sedml_path	regrouped_path	start_time	end_time	n_timepoints	sedml_task	ref_trajectory_path	amici_path	amici_import	id	copasi_path	accepted	amici_min_error	amici_path_final	copasi_min_error	copasi_path_final
yang	2007	25	32	('yang', '2007', 25, 32)	yang2007	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Yang2007/sbml_models/Yang2007.sbml		regrouped/yang2007/Yang2007.sbml	0	300000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_yang2007.tsv	amici/models/yang2007/Yang2007	OK	{yang2007}_{Yang2007.sbml}	copasi/models/yang2007/Yang2007.cps	True	3.3904671164265566e-06	amici/models_final/yang2007/Yang2007	3.522077941563916e-06	copasi/models_final/yang2007/Yang2007.cps
adlung	2017	44	61	('adlung', '2017', 44, 61)	adlung2017	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2bto2e/sbml_models/model0_adlung1.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2bto2e/adlung2017_fig2bto2e.sedml	regrouped/adlung2017/adlung2017_fig2bto2e__model0_adlung1.sbml	0	65.0	101	0.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2bto2e/model0_adlung1/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017}_{adlung2017_fig2bto2e__model0_adlung1.sbml}		False	inf		inf	
adlung	2017	44	60	('adlung', '2017', 44, 60)	adlung2017a	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2bto2e/sbml_models/model1_adlung2.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2bto2e/adlung2017_fig2bto2e.sedml	regrouped/adlung2017a/adlung2017_fig2bto2e__model1_adlung2.sbml	0	65.0	101	1.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2bto2e/model1_adlung2/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017a}_{adlung2017_fig2bto2e__model1_adlung2.sbml}		False	inf		inf	
adlung	2017	44	60	('adlung', '2017', 44, 60)	adlung2017a	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2bto2e/sbml_models/model2_adlung2.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2bto2e/adlung2017_fig2bto2e.sedml	regrouped/adlung2017a/adlung2017_fig2bto2e__model2_adlung2.sbml	0	65.0	101	2.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2bto2e/model2_adlung2/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017a}_{adlung2017_fig2bto2e__model2_adlung2.sbml}		False	inf		inf	
adlung	2017	44	61	('adlung', '2017', 44, 61)	adlung2017	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/sbml_models/model0_adlung1.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/adlung2017_fig2f.sedml	regrouped/adlung2017/adlung2017_fig2f__model0_adlung1.sbml	0	65.0	101	0.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2f/model0_adlung1/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017}_{adlung2017_fig2f__model0_adlung1.sbml}		False	inf		inf	
adlung	2017	44	60	('adlung', '2017', 44, 60)	adlung2017a	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/sbml_models/model10_adlung2.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/adlung2017_fig2f.sedml	regrouped/adlung2017a/adlung2017_fig2f__model10_adlung2.sbml	0	65.0	101	6.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2f/model10_adlung2/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017a}_{adlung2017_fig2f__model10_adlung2.sbml}		False	inf		inf	
adlung	2017	44	60	('adlung', '2017', 44, 60)	adlung2017a	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/sbml_models/model1_adlung2.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/adlung2017_fig2f.sedml	regrouped/adlung2017a/adlung2017_fig2f__model1_adlung2.sbml	0	65.0	101	1.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2f/model1_adlung2/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017a}_{adlung2017_fig2f__model1_adlung2.sbml}		False	inf		inf	
adlung	2017	44	61	('adlung', '2017', 44, 61)	adlung2017	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/sbml_models/model2_adlung1.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/adlung2017_fig2f.sedml	regrouped/adlung2017/adlung2017_fig2f__model2_adlung1.sbml	0	65.0	101	2.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2f/model2_adlung1/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017}_{adlung2017_fig2f__model2_adlung1.sbml}		False	inf		inf	
adlung	2017	44	61	('adlung', '2017', 44, 61)	adlung2017	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/sbml_models/model3_adlung1.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/adlung2017_fig2f.sedml	regrouped/adlung2017/adlung2017_fig2f__model3_adlung1.sbml	0	65.0	101	7.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2f/model3_adlung1/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017}_{adlung2017_fig2f__model3_adlung1.sbml}		False	inf		inf	
adlung	2017	44	61	('adlung', '2017', 44, 61)	adlung2017	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/sbml_models/model4_adlung1.sbml	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/adlung2017_fig2f/adlung2017_fig2f.sedml	regrouped/adlung2017/adlung2017_fig2f__model4_adlung1.sbml	0	65.0	101	3.0	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_jws/adlung2017_fig2f/model4_adlung1/JWS_simulation.csv		Species assignment rules are currently not supported!	{adlung2017}_{adlung2017_fig2f__model4_adlung1.sbml}		False	inf		inf	
