copasi_path	atol:1e-3_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-12_rtol:1e-10_linSol:1_nonlinSol:2_solAlg:3	atol:1e-10_rtol:1e-12_linSol:1_nonlinSol:2_solAlg:3	atol:1e-16_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-14_rtol:1e-14_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-16_linSol:1_nonlinSol:2_solAlg:3
copasi/models/beuke2017/beuke2017_fig6__model18_beuke19.cps	0.0018318874287247976	0.0017142336330590725	3.320167421655876e-06	5.203053741520046e-06	8.714155898796968e-07	inf	1.7586953433848948e-08	4.388706414750631e-08	1.757219461995858e-08	1.849683176527567e-08
copasi/models/beuke2017/beuke2017_fig6__model19_beuke20.cps	0.003498251036557531	0.0034265949755512897	4.383277674799109e-06	3.346786374984686e-06	1.3792988409583279e-06	1.258231737299266e-08	1.3171324874304409e-08	2.7887730879413417e-08	1.3279462989007333e-08	1.7026261707454766e-08
copasi/models/beuke2017/beuke2017_fig6__model1_beuke2.cps	0.002451366688447781	0.0006260062028716048	3.5240659286342823e-06	2.210111821251034e-06	3.6010120536917315e-07	1.9165968529090535e-08	1.936817755078839e-08	3.433694432837158e-08	1.952749355509658e-08	1.681244754605383e-08
copasi/models/beuke2017/beuke2017_fig6__model20_beuke21.cps	0.003016993589240908	0.0014409196846508305	5.581744404732681e-06	3.106238730048219e-06	1.0892937760826818e-06	1.2303353089348295e-08	1.2148731033571319e-08	2.5724412337260324e-08	1.2528949090947522e-08	1.885529659116698e-08
copasi/models/beuke2017/beuke2017_fig6__model21_beuke22.cps	0.006542321987361231	0.001681022316214732	3.624848507432402e-06	5.160068487390995e-06	6.82557682220971e-07	2.506484286379579e-08	2.6104865129499828e-08	3.566930305325066e-08	2.6279075427751235e-08	3.0029846104214224e-08
copasi/models/beuke2017/beuke2017_fig6__model22_beuke23.cps	0.002013663227434228	0.001559811725310673	3.94804667483857e-06	3.2942815833753383e-06	1.0602178186730815e-06	1.2553005494955342e-08	1.2378286019933301e-08	5.6049060354419874e-08	1.2723661904718372e-08	1.8355296203656962e-08
copasi/models/beuke2017/beuke2017_fig6__model23_beuke24.cps	0.005440787639322273	0.0016531199911434208	4.582662275881537e-06	1.5658706163865336e-06	3.105948199187646e-06	9.345642160285232e-09	9.336435324466647e-09	2.75958074563673e-08	9.585023435122822e-09	2.0422162589859098e-08
copasi/models/beuke2017/beuke2017_fig6__model24_beuke25.cps	0.0012799993658550739	0.0011792140309905808	8.251988081060976e-06	3.572390931389328e-06	3.789244649360531e-07	1.6353791038289034e-08	1.6346442271396515e-08	3.1564106519019284e-08	1.6361139979236332e-08	1.627295425436177e-08
copasi/models/beuke2017/beuke2017_fig6__model25_beuke26.cps	0.0010181361277351259	0.0008312885000381823	3.1145358010464692e-06	4.16753030551283e-06	2.808571623535404e-07	1.6533023513229042e-08	1.6599986895806827e-08	3.4070177487180794e-08	1.672017779520486e-08	1.0353491531524258e-08
copasi/models/beuke2017/beuke2017_fig6__model26_beuke27.cps	0.002633071935023356	0.0013953310758011892	4.657033015328278e-06	3.510089783992981e-06	7.927016061445072e-07	9.045506763502568e-09	9.128755224668126e-09	6.33295022697713e-08	9.139496976980764e-09	1.0102234846866247e-08
