time	LRC_Cave	LRC_EE	LRC_Surf	Smad2c	Smad2n	Smad4c	Smad4n	Smads_Complex_c	Smads_Complex_n	T1R_Cave	T1R_EE	T1R_Surf	T2R_Cave	T2R_EE	T2R_Surf	TGF_beta
125.0.	0.0019216368456120001	0.562190240362296	0.050096269283166	320.8080445116456	192.3288889824234	966.4915676472995	540.9183195754315	77.02943942249034	328.4386592148705	0.08583700582530701	0.08245525453204	0.003434288357338	0.392013912022367	0.26981251735330003	0.057085026422555	0.075808661030238
130.0.	0.001891088072827	0.5386379316613561	0.04812185993681101	324.9849999123819	193.40996606157447	970.9346453859692	541.2010296407831	75.12404204018128	320.5429080804448	0.07613165650631801	0.073121896055984	0.0031494178870260002	0.413175936583622	0.285734896897998	0.059846694672964	0.07578446054914201
135.0.	0.0018650002179380002	0.516320335445807	0.046308569369978	329.10121929535364	194.47282748993382	975.3143581983622	541.4734107808802	73.25742040831085	312.73125339878857	0.067684200828713	0.065005943291743	0.0029027502454920004	0.43482743879899305	0.30155102840623005	0.062536295350391	0.075765421211063
140.0.	0.0018430564225770001	0.495257824998363	0.04464595576398701	333.13647774396935	195.51248260136214	979.6090703438609	541.7347048016603	71.43769140291587	305.04500995770485	0.06033269871314301	0.057949365056521006	0.0026883079464560004	0.456773098102129	0.31718120154872004	0.06514976213029	0.075751205059224
145.0.	0.001824941561603	0.47545157764357404	0.043123637421283	337.07309632091386	196.5246030304024	983.7998527583012	541.9843337182144	69.67179877048252	297.5207116951373	0.053934688803136004	0.05181333324086	0.0025011615192830003	0.47884591082106903	0.33256101800784305	0.067684407071169	0.07574149950894901
150.0.	0.0018103447942760002	0.45688713177191703	0.041731470324762	340.8959086843841	197.50551086407592	987.8704491472611	542.2218894754195	67.96554344843688	290.19013273719713	0.04836528319336501	0.046476316391800006	0.002337231877582	0.5009042158404561	0.34763930166349005	0.070138649893246	0.075736016086327
155.0.	0.001798961482788	0.43953755282766305	0.040459673028332005	344.5921966227534	198.4521587117249	991.8072090280469	542.4471214958199	66.32362772668327	283.0803682397076	0.043515320191089	0.041832236491773006	0.0021931306430640002	0.522828858972156	0.36237618440308805	0.07251179568388301	0.075734488937423
160.0.	0.0017904946748560002	0.423366205793676	0.039298910237179005	348.1515974314174	199.3621026651576	995.5989907259442	542.6599227815533	64.74971117051037	276.21397152880803	0.039289617038579	0.037788729753146004	0.0020660317052770003	0.5445205392126801	0.376741386875557	0.07480385333841401	0.07573667322249
165.0.	0.0017846563111630002	0.408329147835203	0.038240344646345	351.56598673825636	200.2334691992252	999.2370381040809	542.8603151017298	63.24647624711949	269.60914184440225	0.035605347813171005	0.034265535641861	0.0019535680659100003	0.5658973616196721	0.390712698110083	0.07701538775036601	0.075742343478178
170.0.	0.0017811682746680002	0.39437716537350603	0.037275664812817	354.82934076927995	201.06491711130647	1002.7148352409268	543.0484336963442	61.815701598557666	263.27995578494176	0.032390559186131006	0.031193025933128	0.0018537489552770002	0.5868926075270341	0.404274647624809	0.07914739970916801	0.075751292005775
175.0.	0.0017797633565590002	0.38145748607226404	0.036397095233763	357.9375822473673	201.85559562205148	1006.0279434976334	543.2245118712325	60.45834091537269	257.2366348894949	0.029582827732207002	0.028510876744182	0.0017648931197990002	0.6074527226486061	0.41741735732872604	0.081201228424262	0.07576332732417601
180.0.	0.0017801861771600002	0.369515199141896	0.035597393453710005	360.88841417762194	202.60509975724867	1009.1738254909859	543.3888658171365	59.17460541089078	251.48584147698435	0.027128056318762	0.026166880454631003	0.0016855749819190001	0.6275355165751391	0.430135557110766	0.083178472472617	0.07577827271179001
185.0.	0.0017821940710740002	0.35849441795208403	0.034869837924655006	363.68114570800185	203.31342409967178	1012.1516604259427	543.541879945829	57.96404798733947	246.03099481408006	0.024979403099144003	0.024115890540010003	0.0016145810460030002	0.6471085625584451	0.44242774663037004	0.085080925727334	0.075795964850945
190.0.	0.001785557924598	0.348339217952909	0.034208209467676005	366.3165140724071	203.9809159401351	1014.9621550550062	543.683992992319	56.8256473241359	240.87259987001644	0.023096334226522002	0.022318890042809	0.0015508744704620001	0.666147783702229	0.45429548578898304	0.08691052546406701	0.075816252580719
195.0.	0.001790062939779	0.33899438092065004	0.033606768496595	368.796506336756	204.60822877120415	1017.6073542325023	543.8156850839468	55.757890300533454	236.00858131671242	0.021443790142325003	0.020742173236353002	0.0014935661633850002	0.6846362102516701	0.465742797165942	0.08866931036959601	0.075838995758781
200.0.	0.0017955092926220002	0.33040597399194205	0.033060229628765	371.1241842933717	205.19627695962933	1020.0904546377558	543.9374659264588	54.758851380001055	231.43461602004146	0.019991454831306002	0.01935662965406	0.001441891104824	0.702562892206769	0.47677566498490204	0.09035938660766901	0.075864064229265
205.0.	0.001801712652074	0.322521789132152	0.032563734893963005	373.3035154064352	205.74619231056153	1022.4156247744568	544.0498642064787	53.8262678204264	227.1444580086464	0.018713117513113	0.018137119800467002	0.0013951888708860001	0.7199219516806771	0.48740161669112203	0.091982900446956	0.07589133689133501
210.0.	0.0018085045302280002	0.31529166580843004	0.032112826433828005	375.3392122252008	206.25928310452662	1024.5878338394634	544.1534182617216	52.95760982016311	223.1302507591782	0.017586116666986	0.017061932340985003	0.0013528875482340002	0.7367117600595471	0.497629374802025	0.093542016238778	0.075920700861799
215.0.	0.001815732441568	0.308667716841422	0.031703419340316	377.2365821764577	206.73699605350365	1026.6126915186544	544.2486680268964	52.15014495347336	219.3828225565029	0.016590856924089	0.016112313248325003	0.0013144903948630001	0.7529342259293851	0.507468568240114	0.095038898760691	0.075952050724349
220.0.	0.0018232598585430002	0.302604474777164	0.031331775095454005	379.0013891461911	207.1808814911529	1028.4963002345478	544.3361482260668	51.40099648006771	215.8919616298734	0.015710390113609002	0.015272058168979	0.001279564734235	0.7685941807976001	0.516929493807681	0.096475699126413	0.07598528785785001
225.0.	0.0018309659611970002	0.29705897370003403	0.030994475933273	380.6397277823511	207.5925619892401	1030.2451208614034	544.4163827520689	50.70719532433571	212.64666869050532	0.014930052546934	0.014527160097127002	0.001247732672925	0.7836988507668621	0.526022919784513	0.09785454361145601	0.076020319836126
230.0.	0.0018387451887190002	0.29199077922126204	0.030688400337838	382.1579110119316	207.97370448135842	1031.865852455472	544.4898801507228	50.065725704955426	209.635385367789	0.014237151423561	0.013865505262023	0.0012186633131150001	0.798257403457162	0.5347599248099031	0.099177524864203	0.076057059892047
235.0.	0.0018465066098170002	0.287361977430101	0.030410699810851004	383.5623708776045	208.32599587872681	1033.3653261332595	544.557130111748	49.47356455160004	206.84619783347046	0.013620694013747001	0.013276610920094	0.001192066195349	0.812280560578684	0.543151766247925	0.10044669506955901	0.076095426439116
240.0.	0.001854173136054	0.28313713187996103	0.030158776982248003	384.8595724689838	208.65112208251705	1034.750412876857	544.6186008588841	48.92771497122191	204.26701559667887	0.013071153998327001	0.012751399477910002	0.0011676857577680002	0.8257802676077031	0.551209773136466	0.101664060711248	0.07613534264428301
245.0.	0.001861680607354	0.279283216186114	0.029930265092769002	386.05594045420764	208.9507502331847	1036.0279447559615	544.6747373279096	48.425234122411595	201.88572603677292	0.012580270015808002	0.012282004047858001	0.0011452966383700002	0.8387694129950891	0.5589452595966671	0.10283157864291301	0.07617673604623
250.0.	0.0018689767817390002	0.27576952851756004	0.029723008844958	387.15779750846593	209.22651398914294	1037.2046488308408	544.7259600220043	47.96325592446007	199.69032571189655	0.012140872076351	0.011861601151146001	0.001124699679082	0.851261590234427	0.566369455242676	0.103951153230269	0.07621953821395201
255.0.	0.0018760202620020001	0.272567593154034	0.029535046595672004	388.1713137841816	209.48000159368	1038.2870928359857	544.7726644382542	47.53900907080159	197.66902984118923	0.011746732051104	0.011484266832794	0.0011057185161710001	0.86327089693166	0.573493449695014	0.10502463436902201	0.076263684440926
260.0.	0.001882779390893	0.26965105333044004	0.029364593846747004	389.10246646759725	209.71274646867286	1039.2816416351384	544.8152209660344	47.14983083785829	195.81036161478133	0.011392434935205	0.011144852942720001	0.001088196662256	0.8748117657516611	0.5803281487771801	0.10605381621788601	0.076309113470718
265.0.	0.0018892311437100002	0.266995558785949	0.029210027979285003	389.9570084120614	209.9262200645551	1040.1944233780105	544.8539751666934	46.793177183582536	194.1032231483356	0.011073268017013001	0.010838880769761	0.0010719950019030002	0.8858988227724871	0.586884240376213	0.107040436514323	0.07635576725030101
270.0.	0.0018953600435170001	0.26457865075575604	0.029069874169872	390.74044482226344	210.121826696187	1041.03130426979	544.8892483535925	46.46662961883133	192.5369499803526	0.010785125468857001	0.010562449595821	0.0010569896362700002	0.896546769360083	0.593172168284639	0.107986176363857	0.07640359070781201
275.0.	0.0019011571198930001	0.26237964657347	0.028942792422877003	391.45801697876374	210.30090010183758	1041.797870878844	544.9213384015818	46.1678993125534	191.10135102403652	0.010524426210313001	0.010312158070187	0.0010430700233270002	0.906770284190448	0.599202112623152	0.10889266041279101	0.07645253155183701
280.0.	0.0019066189275610001	0.260379525576242	0.028827565651048003	392.114692031476	210.46470147560288	1042.49941894838	544.9505207248748	45.894828861741765	189.786735844571	0.010288043188394	0.010085036594207	0.001030137369073	0.916583942498692	0.604983975678926	0.109761457329793	0.07650254008969701
285.0.	0.0019117466367570002	0.25856081760973404	0.028723088736396	392.7151579478543	210.61441874063416	1043.1409477374905	544.9770493717098	45.6453921219216	188.5839310498664	0.010073242474496001	0.009878489158601001	0.001018103232559	0.926002150030904	0.6105273721909741	0.11059408053470601	0.076553569062473
290.0.	0.0019165452030430001	0.256907495104027	0.028628358504344004	393.26382277075544	210.75116685012327	1043.7271589898178	545.0011581929217	45.41769245589005	187.4842874697694	0.009877630799843001	0.009690243294157	0.001006888313527	0.9350390895211631	0.6158416232776951	0.111391989123525	0.07660557349484101
