time	Ln_	NRLn	NRn	RE	REL
12.0.9.0	0.003173507720327	1.16201223029957	366.8498040231839	1.711816253486358	1.9881837465136392
13.0.2.0	0.003232837871287	1.18372333030755	366.81105445713126	1.6947777874416121	2.005222212558386
13.0.5.0	0.003290736599128	1.204907269554935	366.7735695409607	1.678476810518375	2.021523189481622
13.0.799999999999999.0	0.003347200493287	1.225563070355648	366.7373183091977	1.66288137955604	2.037118620443955
14.0.1.0	0.0034022296244730003	1.245691018469101	366.70226976422697	1.6479607826986462	2.052039217301347
14.0.399999999999999.0	0.0034558272963050004	1.265292571788519	366.66839294855396	1.633685520344995	2.066314479654998
14.0.7.0	0.0035079997996440002	1.2843702701390471	366.63565701173053	1.620027281872083	2.079972718127912
15.0.	0.0035587561715040004	1.3029276468579432	366.6040312720248	1.6069589188851312	2.093041081114865
15.0.299999999999999.0	0.003608107960081	1.320969142716448	366.57348527295267	1.5944544156714442	2.105545584328551
15.0.6.0	0.0036560689971950004	1.338500022639372	366.54398883482037	1.582488857462023	2.117511142537972
15.0.899999999999999.0	0.00370265517914	1.355526295584393	366.5155121014487	1.5710383970352502	2.128961602964746
16.0.2.0	0.0037478842567550004	1.372054637858578	366.48802558227106	1.560080220131717	2.13991977986828
16.0.5.0	0.0037917756352570005	1.388092320074661	366.461500190012	1.54959251008868	2.150407489911317
16.0.8.0	0.0038343501842800004	1.40364713788359	366.4359072741615	1.539554412047055	2.160445587952943
17.0.099999999999998.0	0.0038756300583080005	1.4187273465626231	366.4112186504686	1.52994599703313	2.170054002966867
17.0.4.0	0.003915638527655	1.433341599488867	366.3874066266807	1.520748226171467	2.179251773828531
17.0.7.0	0.003954399819931001	1.447498890486308	366.3644440247561	1.511942915244315	2.188057084755684
18.0.	0.003991938971924	1.461208499999272	366.342304199775	1.50351269977631	2.196487300223688
18.0.3.0	0.004028281691671001	1.474479945016222	366.32096105577256	1.495441000790802	2.204558999209195
18.0.599999999999998.0	0.0040634542304890005	1.487322932644246	366.3003890587094	1.487711991355638	2.212288008644359
18.0.9.0	0.004097483264626001	1.4997473172159101	366.2805632467934	1.480310564011316	2.219689435988682
19.0.2.0	0.004130395786211	1.511763060795678	366.26145923835514	1.473222299152754	2.226777700847244
19.0.5.0	0.0041622190030900005	1.523380196942395	366.24305323747285	1.466433434417182	2.233566565582817
19.0.8.0	0.004192980247163	1.534608797576797	366.2253220375359	1.459930835114631	2.240069164885369
20.0.099999999999998.0	0.004222706890801	1.545458942798244	366.2082430229237	1.453701965723793	2.246298034276207
20.0.4.0	0.004251426270907	1.5559406934924511	366.1917941689701	1.4477348624644342	2.252265137535566
20.0.7.0	0.004279165620199	1.5660640665714909	366.17595404037445	1.442018106947833	2.2579818930521682
21.0.	0.004305952005288	1.57583901268855	366.1607017882082	1.436540800898624	2.263459199101375
21.0.3.0	0.0043318122711310005	1.585275396272366	366.14601714566055	1.431292541934774	2.268707458065225
21.0.599999999999998.0	0.004356772991446	1.594382977729869	366.1318804226553	1.426263400386997	2.273736599613002
21.0.9.0	0.004380860424682	1.6031713976699962	366.1182724994627	1.4214438971346062	2.278556102865392
22.0.2.0	0.004404100475175	1.6116501630067002	366.10517481942287	1.416824982431391	2.283175017568608
22.0.5.0	0.004426518659099	1.619828634804787	366.09256938088595	1.4123980156924891	2.287601984307511
22.0.8.0	0.004448140074865	1.627716017738134	366.08043872847145	1.408154746211351	2.2918452537886482
23.0.099999999999998.0	0.004468989377632	1.635321351036001	366.06876594373676	1.404087294774507	2.295912705225492
23.0.4.0	0.004489090757599	1.6426535007994452	366.05753463533983	1.400188136141022	2.299811863858977
23.0.7.0	0.004508467921774	1.649721153576159	366.04672892877517	1.396450082353075	2.303549917646923
24.0.	0.004527144078934	1.6565328110883821	366.0363334557539	1.392866266844007	2.307133733155993
24.0.3.0	0.004545141927506001	1.663096786014728	366.0263333432938	1.38943012931033	2.31056987068967
24.0.599999999999998.0	0.004562483646107	1.669421198732863	366.0167142025799	1.386135401314646	2.313864598685355
24.0.9.0	0.004579190886507	1.67551397493591	366.0074621176492	1.382976092586959	2.317023907413041
25.0.2.0	0.004595284768795001	1.681382844041139	365.9985636339496	1.3799464779926631	2.320053522007337
25.0.5.0	0.0046107858785290005	1.687035338315051	365.9900057468192	1.377041085136275	2.322958914863725
25.0.8.0	0.0046257142656870006	1.692478792644217	365.9817758899247	1.3742546825709892	2.325745317429011
26.0.099999999999998.0	0.004640089445234001	1.697720344886286	365.97386192369675	1.371582268585069	2.328417731414933
26.0.4.0	0.0046539303991310005	1.7027669367403582	365.9662521237948	1.3690190605371781	2.3309809394628243
26.0.7.0	0.00466725557964	1.707625315080462	365.95893516963133	1.36656048471381	2.333439515286191
27.0.	0.004680082913781	1.7123020337001962	365.9519001329809	1.3642021666830542	2.3357978333169482
27.0.3.0	0.004692429808800001	1.716803455420593	365.9451364666975	1.3619399221200261	2.338060077879976
27.0.599999999999998.0	0.004704313158532001	1.721135754517145	365.9386339935614	1.359769748080381	2.340230251919622
27.0.9.0	0.004715749350554001	1.725304919425458	365.9323828952721	1.3576878146993732	2.342312185300631
28.0.2.0	0.00472675427401	1.729316755688361	365.92637370160475	1.355690457294977	2.344309542705026
28.0.5.0	0.004737343328023	1.733176889110478	365.92059727974237	1.353774168854603	2.346225831145401
28.0.799999999999997.0	0.004747531430611	1.7368907690891202	365.91504482379503	1.351935592885925	2.348064407114078
29.0.099999999999998.0	0.004757333028019	1.740463672093158	365.9097078445184	1.350171516613302	2.349828483386701
29.0.4.0	0.004766762104401001	1.7439007052640312	365.90457815923645	1.3484788645021801	2.351521135497824
29.0.7.0	0.004775832191789	1.7472068101154141	365.89964788197767	1.346854692094767	2.353145307905239
30.0.	0.004784556380282	1.750386766310253	365.89490941382917	1.345296180141119	2.354703819858888
