time	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
315.0.	0.258802811652794	0.053883502783330005	0.241534880324684	0.022290533350634002	0.05383491240748001	0.004640443918552	0.001917588619372	0.004630207267835001	0.036188002791101	0.15898369183572703	0.028159513835478003	0.015932026112290002	0.028143986055380002	0.012892931510494001	0.007287270884479001	0.012872322108892002	0.08072472206297801	0.17219904226608201	0.272188879518235	0.027800957733917	0.122610754375367	0.027811120481763003
320.0.	0.25877611275631	0.053887552832062	0.241521038544756	0.022295905457859002	0.05384539952771	0.004642457947182	0.0019190095513410001	0.004633561927534001	0.036184137116504006	0.15898267555588902	0.028156159808854	0.015931455164984003	0.028142757547920002	0.01289236552601	0.00728854716029	0.012874566896189	0.08072835044384301	0.172197914449559	0.272189025269409	0.027802085550440003	0.12261006394026101	0.027810974730589
325.0.	0.25875298141616804	0.053891040934980004	0.24150903189229603	0.022300563232926	0.053854491548841005	0.0046442025424080005	0.0019202437658130001	0.0046364765588610005	0.036180806345167	0.15898179581985902	0.028153260266416003	0.015930962455515	0.028141696813247002	0.012891872890935002	0.007289650384434	0.012876507366892002	0.080731522691594	0.172196928142952	0.27218915903564	0.027803071857047	0.12260943132964701	0.027810840964358003
330.0.	0.258732950583627	0.053894044251491004	0.24149862255457102	0.022304599596706002	0.053862370163195006	0.004645712994912001	0.0019213151278320002	0.0046390072822330005	0.036177937422729005	0.158981034657126	0.028150754622963	0.015930537398579	0.028140781254897003	0.01289144433806	0.007290603628389	0.012878184087975001	0.080734294024546	0.17219606626049702	0.272189281191214	0.027803933739503003	0.122608854466142	0.027810718808783
335.0.	0.25871561275334604	0.05389662946540501	0.241489602619117	0.022308095727946002	0.053869194039511	0.00464702010187	0.0019222445705480002	0.004641203341371	0.036175467117492005	0.15898037639769402	0.028148590207523003	0.01593017082027	0.028139991270432003	0.012891071732562001	0.007291426952568	0.012879632331873002	0.080736713337131	0.172195313665462	0.272189392256729	0.027804686334538004	0.122608330644975	0.027810607743269003
340.0.	0.258700612642134	0.053898854189888004	0.24148179047047802	0.022311122488325	0.05387510163453801	0.004648150716345	0.0019230504337840002	0.0046431078949830005	0.036173340725119005	0.15897980738906	0.02814672125637	0.015929854773084	0.028139309862558002	0.012890747939947001	0.007292137788303001	0.012880882748380002	0.08073882386075801	0.17219465696785602	0.27218949284882105	0.027805343032143003	0.12260785675960201	0.027810507151177003
345.0.	0.25868764072161904	0.053900768186458003	0.24147502759414002	0.022313741684762002	0.053880213678943	0.004649128233677	0.0019237487676230002	0.004644758726916	0.036171510939856	0.15897931574590302	0.028145108029606004	0.015929582374683	0.028138722299495003	0.012890466708327001	0.007292751273294	0.0128819619546	0.08074066376733101	0.17219408433941602	0.272189583641314	0.027805915660583002	0.122607429475467	0.027810416358684004
350.0.	0.258676427513304	0.053902414422292	0.24146917574644702	0.022316007185756003	0.053884635372300003	0.0046499730212960005	0.001924353603798	0.004646188881252	0.036169936871631	0.158978891129088	0.028143716036946	0.015929347667422	0.028138215818557	0.012890222563664	0.0072932805458340005	0.012882893052354	0.080742266718035	0.172193585345152	0.272189665335558	0.027806414654848004	0.12260704536206501	0.027810334664440002
355.0.	0.258666738562888	0.053903829986988006	0.24146411445253302	0.022317965907124003	0.053888458318725005	0.004650702797899	0.0019248771976320001	0.004647427228742	0.036168583190771	0.158978524550904	0.028142515359865002	0.015929145496056	0.028137779367636003	0.012890010716715	0.007293737002607	0.012883696081458002	0.080743662360459	0.172193150790573	0.272189738638126	0.027806849209427	0.12260670099166102	0.027810261361872
360.0.	0.258658370018551	0.05390504688720801	0.241459738797549	0.02231965868118	0.053891762231696005	0.004651332967419	0.00192533024319	0.004648498970754001	0.036167419384278005	0.15897820820368402	0.028141480058656004	0.015928971401318	0.028137403379872004	0.012889826980485	0.007294130524318001	0.012884388416442	0.08074487677739	0.172192772583627	0.27218980424438	0.027807227416373002	0.12260639301147701	0.027810195755617002
365.0.	0.258651144745274	0.05390609273523601	0.241455957479547	0.022321121022105	0.053894616433826	0.004651876912755	0.0019257220641770002	0.0046494260866260005	0.036166419109533006	0.158977935309201	0.028140587654214	0.015928821527355003	0.028137079577383	0.012889667697118001	0.007294469672988001	0.012884985113415001	0.080745932890734	0.17219244361031902	0.272189862826682	0.027807556389681003	0.12260611819493601	0.027810137173315003
370.0.	0.25864490891406	0.053906991345433	0.241452691095277	0.022322383799053002	0.053897081174778004	0.0046523462537680004	0.0019260607829620002	0.004650227729943	0.036165559633009006	0.158977699986525	0.028139818675502002	0.015928692541261003	0.028136800800401002	0.012889529673231	0.007294761864318	0.012885499213072001	0.08074685082404101	0.17219215762298	0.272189915026256	0.027807842377019002	0.12260587347646401	0.027810084973742003
375.0.	0.258639529011226	0.053907763250733	0.24144987063292903	0.022323473827407	0.05389920878813301	0.004652751073605001	0.0019263534699570002	0.004650920578937	0.036164821343098	0.15897749713620002	0.028139156264685	0.015928581563164002	0.028136560858618	0.012889410122786	0.007295013518126001	0.012885942005180001	0.08074764822706601	0.17219190914016003	0.27218996144789703	0.027808090859839003	0.12260565597352101	0.027810038552101003
380.0.	0.258634889218676	0.053908426149761005	0.24144743614839	0.022324414387552	0.053901044705858006	0.004653100116997	0.0019266062754040001	0.00465151914575	0.036164187327514	0.158977322338849	0.028138585832830004	0.015928486105495	0.028136354401916003	0.012889306616689002	0.007295230189562	0.012886323259233001	0.08074834056567001	0.17219169335714302	0.27219000265687704	0.027808306642857	0.12260546299883102	0.027809997343121003
385.0.	0.258630889121357	0.053908995293760004	0.24144533560397602	0.022325225679569002	0.053902628347045005	0.004653400963839	0.0019268245454500002	0.0046520360489780005	0.036163643006897006	0.15897717176651002	0.028138094759922003	0.015928404020273002	0.028136176808025003	0.012889217038370001	0.007295416683446	0.012886651425463	0.080748941380213	0.172191506066132	0.27219003917752504	0.027808493933867	0.12260529206515301	0.027809960822473
