time	C1	C2	C2a	C2b	C3	C3a	C3b	C4	C4BP	C4BP_C4b	C4BP_GlcNac_LF_CRP	C4BP_PC_CRP	C4BP_PC_CRP_LF	C4a	C4b	C4b_C2a	C4b_C2a_C4BP	CRP	GlcNac	GlcNac_HF	GlcNac_HF_MASP	GlcNac_LF	GlcNac_LF_C1_MASP	GlcNac_LF_CRP	GlcNac_LF_CRP_C1	GlcNac_LF_CRP_MASP	GlcNac_LF_MASP	HF	LF	MASP	PC	PC_CRP	PC_CRP_C1	PC_CRP_LF	PC_CRP_LF_C1	PC_CRP_LF_C1_MASP	PC_CRP_LF_MASP	X	dC3b	dC4b_C2a	dC4b_C2a_C4BP	iC4b_C2a
9200.0.	2469.9677281649765	143.82502688744114	0.012833850461437	166.17497311255954	4081.590280643972	568.4097193560314	0.584285245195426	541.0543324390834	1.760871340638785	32.85864910370285	-5.790178498507504e-26	0.00048430815899600004	0	228.94566756091533	29.924879195113885	0.11941814741720001	0.131163026441138	1.9672242998054141	-5.1407456722506125e-26	6.4158391270677495e-28	1.6055141969087631e-27	-1.841185568527015e-24	0	-2.3246755040719604e-27	-3.607182996918476e-24	-5.8135297930783146e-27	-4.609238330067412e-24	7.165200940656425e-25	19.999807054976408	6.799862200019958	3.899805411994964e-06	1.9425962613202793e-05	0.032079021049336	4.6452385613696326e-08	5.509859121165404e-05	0.00013771537506400002	8.460497977818273e-08	0.0005	0.242710214143727	0.586455414685179	0.644133632456453	154.29488452254353
9400.0.	2469.9676828581014	140.17063537407208	0.011136573924272001	169.8293646259286	4023.043553413026	626.9564465869785	0.602297770923367	534.1431752766873	1.596751609360966	32.94814677810063	-5.316000281592051e-26	0.000438994864457	0	235.85682472331132	33.09044989320587	0.124876739593667	0.12437489474915601	1.967224300318704	-5.100451034268791e-26	6.415839135446384e-28	1.6055132723197612e-27	-1.8267533273115667e-24	0	-2.3548700015848823e-27	-3.662786650059622e-24	-5.889110429241392e-27	-4.573105871557012e-24	7.1652009498939365e-25	19.999801561688788	6.799858275188115	3.9003187024471e-06	1.942856166327117e-05	0.032118837943917004	4.7397494532696555e-08	5.666610187869495e-05	0.00014163784604	8.696584449500476e-08	0.0005	0.250202591684887	0.613294093148786	0.6108292859685991	156.8078465591719
9600.0.	2469.9676445100245	136.59951167282597	0.00973448666289	173.4004883271747	3962.9287871106217	687.0712128893823	0.616262544390573	527.2616293241371	1.457708560072125	33.02089626967792	-4.912685887433221e-26	0.00040064006447700003	0	242.73837067586166	36.32672056567138	0.129697424737013	0.117927728115609	1.967224300887876	-5.0604729842989906e-26	6.415839143845128e-28	1.6055123476085389e-27	-1.812434481577917e-24	0	-2.3848504976567953e-27	-3.7172819332143826e-24	-5.9641590691881904e-27	-4.537257329441168e-24	7.16520095913265e-25	19.999796067638844	6.799854349813623	3.900887874432913e-06	1.9431408320399472e-05	0.032151695278118	4.8342905363807266e-08	5.8233831927317755e-05	0.000145560859319	8.9327057538377e-08	0.0005	0.25601264854654004	0.636997742318773	0.579191768650759	159.19062488623717
9800.0.	2469.9676117113204	133.11077231527244	0.0085641428862	176.88922768472824	3901.6296302720266	748.370369727977	0.6264877889082371	520.4115887388696	1.338701279218437	33.0804284305398	-4.566095399370424e-26	0.000367834639025	0	249.588411261129	39.627319288746556	0.133909326910157	0.11181710271732401	1.967224301459949	-5.0208090352585027e-26	6.415839152249417e-28	1.605511422765265e-27	-1.7982281404698147e-24	0	-2.4145951287828e-27	-3.770813470008432e-24	-6.0386195010688034e-27	-4.501690473063249e-24	7.165200968372677e-25	19.99979057279511	6.79985042387328	3.901459947147852e-06	1.9434250713632805e-05	0.032179002445366	4.928845060663054e-08	5.98017897745506e-05	0.00014948443811200001	9.168861049233463e-08	0.0005	0.260268378110711	0.6577093370101741	0.5492010217981771	161.44989417618956
10000.0.	2469.967583395093	129.70335748434826	0.007578117924490001	180.29664251565242	3839.4981606141905	810.5018393858131	0.6333020428557581	513.5946663255028	1.235902205619312	33.129388935460675	-4.2654826934303094e-26	0.00033951187160000004	0	256.405333674496	42.986880341306716	0.13754595776146802	0.106034053774404	1.9672243020032112	-4.9814567192809557e-26	6.415839160650364e-28	1.605510497791288e-27	-1.784133420019625e-24	0	-2.4440915962428342e-27	-3.82349188776563e-24	-6.1124599721521566e-27	-4.466403089036875e-24	7.1652009776140145e-25	19.99978507718193	6.799846497384037	3.902003208852265e-06	1.9436938636564634e-05	0.032201826368425	5.023402297279298e-08	6.136996814079717e-05	0.000153408565485	9.405047981976047e-08	0.0005	0.26310625385941	0.6755934743696681	0.520814312973101	163.59219353112982
10200.0.	2469.967558742602	126.3760798559349	0.006740439529735001	183.62392014406578	3776.85373254048	873.1462674595239	0.63703838642689	506.81225975791415	1.14636670968871	33.169787487753666	-4.002572884491855e-26	0.000314853127868	0	263.1877402420847	46.40077304979431	0.140642969520378	0.10056679158106101	1.967224302499569	-4.942413587701128e-26	6.4158391690427325e-28	1.6055095726945981e-27	-1.770149443140568e-24	0	-2.473333769457415e-27	-3.875403055151687e-24	-6.18566451711561e-27	-4.431392981216879e-24	7.1652009868565895e-25	19.99977958085624	6.799842570386329	3.902499566828082e-06	1.9439386901583242e-05	0.032220985841844005	5.117955420107722e-08	6.293835059074323e-05	0.00015733320103900002	9.641263364083549e-08	0.0005	0.264664663118786	0.690825310767185	0.49397474816172104	165.6238552725892
10400.0.	2469.967537117267	123.12766019881985	0.006023445836302	186.87233980118077	3713.9831021340187	936.0168978659863	0.6380238453356291	500.0655997746112	1.06780063038335	33.203171372740805	-3.770912648678257e-26	0.00029322188077300003	0	269.93440022538766	49.86491249730136	0.143236668851895	0.09540186602330501	1.967224302939551	-4.90367721100707e-26	6.415839177423613e-28	1.605508647486912e-27	-1.756275339608106e-24	0	-2.502319435674068e-27	-3.926614587025593e-24	-6.258227204653846e-27	-4.3966579706467586e-24	7.16520099610028e-25	19.9997740838928	6.7998386429334445	3.902939549909195e-06	1.9441551441567982e-05	0.032237117520984	5.2125001189834015e-08	6.45069156927463e-05	0.00016125829152000001	9.877503599447256e-08	0.0005	0.265079495748801	0.703583244610487	0.468617057461973	167.55096165725155
10600.0.	2469.967518017997	119.95675365906438	0.005405594146829	190.04324634093626	3651.1414019050258	998.8585980949799	0.6365724300989111	493.35578569786014	0.9983950981869871	33.23074739464483	-3.565408371211957e-26	0.000274117062555	0	276.6442143021387	53.37562616070343	0.145363040841165	0.09052495841900701	1.967224303319089	-4.8652451786795565e-26	6.415839185791557e-28	1.605507722181848e-27	-1.7425102460015557e-24	0	-2.531048835060422e-27	-3.977180468380978e-24	-6.3301483922692204e-27	-4.3621958954088566e-24	7.165201005344965e-25	19.999768586374923	6.799834715084847	3.9033190874498235e-06	1.9443413909973733e-05	0.032250722579321	5.307033703076419e-08	6.607563963621907e-05	0.00016518377750200002	1.011376494918705e-07	0.0005	0.26448124563358705	0.714044110916488	0.444671534938937	169.37932059780022
10800.0.	2469.967501045796	116.86196948321599	0.004869910463329	193.1380305167846	3588.5536638761887	1061.446336123817	0.63298074930735	486.68381197764205	0.9367078261816411	33.253468459124505	-3.3819940993227705e-26	0.000257139676481	0	283.3161880223568	56.92955895691005	0.147057116915484	0.08592141994465101	1.967224303637439	-4.82711509917392e-26	6.41583919414603e-28	1.605506796793773e-27	-1.72885330569702e-24	0	-2.559523712102906e-27	-4.027144378220731e-24	-6.401432298314302e-27	-4.328004610604502e-24	7.1652010145904915e-25	19.999763088388672	6.7998307869020245	3.903637438025985e-06	1.9444971791882363e-05	0.032262200102910005	5.401554520440409e-08	6.764449785667959e-05	0.00016910959753900002	1.035004369335134e-07	0.0005	0.262993183829769	0.7223800691439961	0.42206672238422505	171.1144542293577
11000.0.	2469.967485879545	113.84188593767082	0.00440287662404	196.15811406232976	3526.4166775921735	1123.5833224078326	0.6275254458345411	480.0505882353053	0.881576769412689	33.2720957689417	-3.217389976576157e-26	0.00024196859731600003	0	289.94941176469354	60.5236048100452	0.14835257644951302	0.08157663607331801	1.967224303895868	-4.789284599726795e-26	6.415839202487061e-28	1.6055058713371003e-27	-1.7153036687978466e-24	0	-2.5877467071695584e-27	-4.0765421076262106e-24	-6.472085444705456e-27	-4.2940819881786755e-24	7.165201023836717e-25	19.999757590019357	6.799826858445947	3.903895866993473e-06	1.9446232088206892e-05	0.032271871294033	5.49606158532145e-08	6.921346602536081e-05	0.000173035690691	1.058633622714804e-07	0.0005	0.26073029009222504	0.728756641406697	0.40073122867924704	172.76159629204972
11200.0.	2469.967472258241	110.89506177059006	0.003993620471764	199.10493822941052	3464.9010316143294	1185.0989683856767	0.620461928638243	473.45695459491077	0.8320565689867421	33.287244031425644	-3.068924360744752e-26	0.00022834280836900002	0	296.5430454050881	64.15485676472278	0.149281507706399	0.077476270782282	1.967224304096801	-4.751751326236714e-26	6.415839210815005e-28	1.605504945825867e-27	-1.701860492091686e-24	0	-2.6157209649717725e-27	-4.125403340124316e-24	-6.542115655020709e-27	-4.260425916811829e-24	7.165201033083502e-25	19.999752091349464	6.799822929775586	3.904096799247225e-06	1.9447207268531482e-05	0.032279997236971	5.590554335965875e-08	7.078252063255061e-05	0.00017696199802300002	1.08226391148878e-07	0.0005	0.257798723742138	0.733331535025688	0.38059495174359903	174.3256953909424
11400.0.	2469.967459967797	108.02004509182008	0.003633318770079	201.97995490818045	3404.153230920589	1245.8467690794175	0.612024019011788	466.90369352323694	0.7873712152802751	33.29941470915581	-2.934401296381171e-26	0.000216048204263	0	303.0963064767619	67.82057017819479	0.149874278134972	0.07360642686483701	1.9672243042432842	-4.714512943124042e-26	6.415839219130414e-28	1.6055040202735e-27	-1.688522939000224e-24	0	-2.64344988610237e-27	-4.173752978023886e-24	-6.61153141866175e-27	-4.227034301793713e-24	7.165201042330712e-25	19.99974659245749	6.799819000947073	3.904243282166766e-06	1.9447912706706503e-05	0.032286792097182	5.685032478424435e-08	7.235163931203919e-05	0.00018088846343700002	1.1058949117361021e-07	0.0005	0.254295675097441	0.7362540032854561	0.36158988304724804	175.8114221837801
11600.0.	2469.9674488311184	105.21538031948597	0.0033147515379680003	204.78461968051454	3344.297814926806	1305.7021850732006	0.6024242348470761	460.39153906265705	0.7468783921913641	33.30902075630067	-2.812000648361866e-26	0.00020490767033400003	0	309.6084609373418	71.51813525206357	0.150159479503156	0.06995374750977501	1.967224304338647	-4.6775671331885215e-26	6.415839227433926e-28	1.6055030946926832e-27	-1.675290179528116e-24	0	-2.670936969755755e-27	-4.2216121418216724e-24	-6.680341487131862e-27	-4.193905064895457e-24	7.165201051578216e-25	19.99974109341738	6.799815072013284	3.904338644694871e-06	1.9448365058606012e-05	0.032292433043284004	5.7794958851349965e-08	7.392080100130479e-05	0.00018481503408500003	1.1295263202397181e-07	0.0005	0.25030948247933404	0.737664574629697	0.343650619654772	177.22317910572372
11800.0.	2469.967438700562	102.47961365791788	0.0030319655128870004	207.52038634208265	3285.4394239669073	1364.5605760330998	0.5918545107230281	453.9211840922928	0.7100423279477761	33.3164052279424	-2.700202027609452e-26	0.00019477354193300002	0	316.0788159077061	75.24505630319275	0.150163924223156	0.066505476541542	1.9672243043862871	-4.640911597465767e-26	6.415839235726226e-28	1.605502169095308e-27	-1.662161390211589e-24	0	-2.698185715887687e-27	-4.268998931474951e-24	-6.748554623547997e-27	-4.16103614424091e-24	7.165201060825897e-25	19.999735594298297	6.7998111430236925	3.9043862853978255e-06	1.944858125091909e-05	0.032297067788776	5.873944529017546e-08	7.548998599865335e-05	0.00018874166052400003	1.153157854499104e-07	0.0005	0.245919930640656	0.737695033693561	0.32671467021166	178.56511165820478
12000.0.	2469.9674294521405	99.81129744695122	0.002780017298019	210.18870255304935	3227.664779192027	1422.3352208079798	0.580487205105932	447.4932860816854	0.676412912092718	33.32185542887078	-2.597726245705704e-26	0.00018552181256400001	0	322.50671391831344	78.99893595369011	0.149912676197643	0.063249489581993	1.967224304389545	-4.6045440550835866e-26	6.415839244007998e-28	1.605501243492463e-27	-1.649135754066985e-24	0	-2.725199565986991e-27	-4.315929012247835e-24	-6.816179450991649e-27	-4.1284254941779445e-24	7.165201070073645e-25	19.999730095164686	6.799807214024375	3.904389543183482e-06	1.9448577866169484e-05	0.032300820384658	5.968378441026446e-08	7.705917595679477e-05	0.000192668296701	1.176789252120531e-07	0.0005	0.24119866876793603	0.736468572410342	0.310722615862123	179.84112057756082
12200.0.	2469.9674209810323	97.20899363432343	0.002554775251762	212.7910063656771	3171.0445534008613	1478.9554465991464	0.568476285157503	441.1084716798973	0.645609475210505	33.32561378309721	-2.5034898186039212e-26	0.00017704764095000003	0	328.89152832010154	82.77746294657781	0.14942910467644901	0.060174304788248006	1.967224304351622	-4.5684622431186307e-26	6.415839252279902e-28	1.605500317894459e-27	-1.636212460539449e-24	0	-2.751981868863607e-27	-4.362416069978936e-24	-6.883224363040681e-27	-4.0960710851501216e-24	7.165201079321353e-25	19.99972459607636	6.799803285058124	3.904351620644729e-06	1.944837078434949e-05	0.032303795712951	6.06279768284263e-08	7.862835383843722e-05	0.00019659489985	1.200420269846838e-07	0.0005	0.23620970242335002	0.73410005415623	0.295618169059555	181.0548744018177
12400.0.	2469.96741319806	94.67127655965614	0.0023527654003190003	215.32872344034445	3115.6351195746674	1534.3648804253392	0.555958608942254	434.7673403961412	0.6173080771639881	33.327886263806256	-2.416569288626552e-26	0.00016926183343400001	0	335.23265960385766	86.57840266510608	0.148734952703299	0.057269079367028006	1.9672243042755442	-4.532663916453729e-26	6.4158392605425735e-28	1.605499392310856e-27	-1.623390705451855e-24	0	-2.7785358623193444e-27	-4.408472168105678e-24	-6.94969747796251e-27	-4.0639709035690205e-24	7.165201088568927e-25	19.99971909708879	6.799799356164611	3.904275543064069e-06	1.9447974986625024e-05	0.03230608300477	6.157202329569864e-08	8.019750385037512e-05	0.00020052143032300003	1.22405068240332e-07	0.0005	0.23100992617047802	0.7306963500917191	0.281348161328108	182.209822098933
12600.0.	2469.9674060269176	92.19673519270084	0.002171050285135	217.8032648072997	3061.4801706391154	1588.5198293608905	0.5430552463980121	428.47046756518006	0.5912314568220091	33.32884899508905	-2.336173002189732e-26	0.00016208806565200001	0	341.5295324348188	90.39958968271401	0.14785041459102302	0.054523596301787006	1.96722430416414	-4.497146847636163e-26	6.4158392687966035e-28	1.6054984667505101e-27	-1.610669690954077e-24	0	-2.80486466535307e-27	-4.454108030096133e-24	-7.015606616433506e-27	-4.032122951687382e-24	7.165201097816278e-25	19.99971359825333	6.799795427380571	3.90416413825602e-06	1.9447404467444545e-05	0.032307758619019	6.251592458958134e-08	8.17666113666562e-05	0.000204447851403	1.2476802812645328e-07	0.0005	0.22564967231042501	0.726356719451529	0.26786248176332	183.30920552299176
12800.0.	2469.967399401952	89.7839749349726	0.002007133229055	220.21602506502794	3008.6122088762477	1641.387791123759	0.529872797200031	422.2184067447555	0.567141024244982	33.328653465163185	-2.261618605874392e-26	0.000155460670258	0	347.78159325524337	94.23892185828016	0.146794217974371	0.051928244496958	1.967224304020033	-4.461908826736952e-26	6.415839277042548e-28	1.6054975412216211e-27	-1.5980486254726251e-24	0	-2.830971276562097e-27	-4.4993332646707035e-24	-7.080959298438406e-27	-4.000525247473193e-24	7.16520110706332e-25	19.999708099617536	6.799791498740014	3.904020031423846e-06	1.9446672209781643e-05	0.032308888254984	6.345968144947894e-08	8.33356628475553e-05	0.000208374129099	1.271308873416278e-07	0.0005	0.22017325850663302	0.7211732130082511	0.255113982621597	184.35607153942684
13000.0.	2469.967393266394	87.43161906905843	0.001858881784335	222.5683809309421	2957.053906883452	1692.9460931165554	0.51650467571713	416.0116916583225	0.544830429358228	33.32743068054172	-2.1923149631834602e-26	0.00014932286159200002	0	353.9883083416764	98.09435561197579	0.14558370784947602	0.049473994670885	1.967224303845649	-4.426947661211286e-26	6.415839285280917e-28	1.6054966157317812e-27	-1.5855267236606799e-24	0	-2.8568585767268033e-27	-4.544156546803373e-24	-7.145762748139549e-27	-3.969175824484769e-24	7.16520111630998e-25	19.999702601225426	6.799787570274428	3.903845647645203e-06	1.944579020385742e-05	0.032309528727929006	6.440329453974609e-08	8.490464575854714e-05	0.00021230023194500003	1.294936280149094e-07	0.0005	0.214619521690559	0.7152310857178861	0.24305836322960703	185.35328371396545
13200.0.	2469.967387570916	85.13830992131982	0.0017244663575860001	224.8616900786808	2906.819344418434	1743.1806555815726	0.50303234298569	409.8508377710125	0.524120361406046	33.32529450111554	-2.127747520266782e-26	0.000143625300737	0	360.14916222898637	101.96390211554655	0.14423493025532702	0.047152372656532	1.967224303643221	-4.39226117576012e-26	6.41583929351218e-28	1.6054956902880192e-27	-1.5731032063485579e-24	0	-2.882529333596843e-27	-4.58858576422189e-24	-7.21002390646888e-27	-3.9380727317468505e-24	7.1652011255561875e-25	19.999697103117764	6.799783642012966	3.903643220256496e-06	1.944476948841837e-05	0.03230972940426	6.534676443140297e-08	8.647354849182597e-05	0.000216226130802	1.318562335912694e-07	0.0005	0.20902233006998402	0.7086092082041281	0.23165404083979202	186.30353349917206
13400.0.	2469.9673822724712	82.9027097896856	0.0016023104616190002	227.097290210315	2857.9151270720163	1792.08487292799	0.48952647234422403	403.7363435676372	0.5048543140777101	33.32234433943955	-2.067466381581892e-26	0.00013832492770800002	0	366.26365643236164	105.84562419306742	0.142762714414192	0.044955431346544006	1.967224303414803	-4.357847212192957e-26	6.415839301736772e-28	1.6054947648968452e-27	-1.560777300494585e-24	0	-2.9079862079946182e-27	-4.632628136803798e-24	-7.273749445738033e-27	-3.907214033627772e-24	7.165201134801875e-25	19.999691605332313	6.799779713982644	3.903414801510995e-06	1.944362020616138e-05	0.032309533369541	6.629009159475484e-08	8.804236029182316e-05	0.00022015179867	1.3421868872397658e-07	0.0005	0.203411067534693	0.701380470221575	0.220862014343248	187.20935088043063
13600.0.	2469.967377333333	80.7235016775534	0.0014910502869490002	229.27649832244717	2810.3413937415	1839.6586062585066	0.47604804104514303	397.6686915870381	0.48689511569498406	33.31866736064869	-2.0110765320391582e-26	0.000133384004944	0	372.33130841296077	109.73763378015063	0.141180752189855	0.042875722132373006	1.967224303162276	-4.3237036292918305e-26	6.41583930995509e-28	1.605493839564297e-27	-1.5485482391364e-24	0	-2.933231760484008e-27	-4.676290314503123e-24	-7.336945786664891e-27	-3.876597809717654e-24	7.165201144046983e-25	19.99968610790409	6.799775786208507	3.903162275027344e-06	1.9442351665170702e-05	0.032308978385158005	6.723327639983658e-08	8.961107118549234e-05	0.00022407721051600002	1.3658097917484478e-07	0.0005	0.19781108736772002	0.693612171342415	0.21064572528209102	188.0731144636471
13800.0.	2469.967372720308	78.59938986660732	0.00138950153628	231.40061013339331	2764.0927204324184	1885.9072795675884	0.46264934376584005	391.64834925595795	0.470122068681309	33.31434028831889	-1.95822977045201e-26	0.000128769329092	0	378.3516507440409	113.63808982386384	0.139501674377552	0.040906266478101	1.9672243028873702	-4.289828302676451e-26	6.415839318167495e-28	1.605492914295974e-27	-1.5364152613426867e-24	0	-2.958268458183372e-27	-4.719578458162642e-24	-7.399619115165884e-27	-3.846222154707675e-24	7.165201153291452e-25	19.99968061086561	6.799771858713802	3.902887368397877e-06	1.944097240240879e-05	0.032308097676699	6.817631912072638e-08	9.117967191766028e-05	0.000228002343108	1.38943091722146e-07	0.0005	0.192244133476307	0.685366395767931	0.200970919225884	188.89706100143263
14000.0.	2469.967368404084	76.52910035500152	0.001296632157254	233.47089964499907	2719.1589281576016	1930.8410718424052	0.449374927083989	385.67576955703623	0.454428578226434	33.3094308963052	-1.908618017090629e-26	0.00012445157776300002	0	384.32423044296263	117.54519653381452	0.13773712333041502	0.039040528051958005	1.967224302591668	-4.256219124670585e-26	6.415839326374323e-28	1.6054919890970761e-27	-1.524377612165322e-24	0	-2.983098681444503e-27	-4.762498306583663e-24	-7.461775399248607e-27	-3.816085178270345e-24	7.165201162535233e-25	19.99967511424705	6.79976793152012	3.902591665832249e-06	1.9439490246174512e-05	0.032306920587329	6.911921994260795e-08	9.274815389147213e-05	0.00023192717486900002	1.4130501407619488e-07	0.0005	0.186728728811926	0.6767003693772421	0.19180550974462202	189.68329436486303
