time	Pfr	Pi	Pr	S	V	Xa	Xi	Ya	Yi	preS	prepreS
4.0.75.0	6.218850564681376	0.827195417157064	2.953954018161564	26.568551164715178	1.401080424858162	1.43795607428866	4.562043925711334	0.9	0	31.737213052188924	100.76482209254367
5.0.	6.065306597156837	0.902040104325705	3.032653298517458	29.339309978914525	1.091670735634466	1.485214530745858	4.514785469254136	0.9	0	31.69823195151461	93.66205367702584
5.0.25.0	5.915553643697873	0.9787806934200911	3.105665662882035	32.65833374316516	0.8505664257498301	1.528548749043468	4.471451250956524	0.9	0	31.39459098350876	86.86309471771966
5.0.5.0	5.769498103833844	1.057277939115388	3.173223957050764	36.30367788134884	0.6626915682173521	1.5682234493872111	4.431776550612781	0.9	0	30.85933278856389	80.39075979929783
5.0.75.0	5.627048688097776	1.137398316302256	3.235552995599962	39.87320245111119	0.5163042128994421	1.6044931146026582	4.395506885397337	0.9	0	30.126182533331477	74.25964390340185
6.0.	5.48811636096778	1.219013822506392	3.292869816525821	43.020430586922615	0.402252667074297	1.63759897056532	4.362401029434676	0.9	0	29.22833517119781	68.4773238679429
6.0.25.0	5.352614285216321	1.302001786575296	3.345383928208377	45.56828593521992	0.31340125400059604	1.667767297155072	4.332232702844922	0.9	0	28.197540200728326	63.045501169950526
6.0.5.0	5.220457767635926	1.386244683451268	3.393297548912796	47.483544786191274	0.24418640555487603	1.695208702682043	4.304791297317951	0.9	0	27.06344929688495	57.961057478088584
6.0.75.0	5.09156420610062	1.471629954830767	3.436805839068601	48.8132655949642	0.19027123405526203	1.720118077056708	4.279881922943285	0.9	0	25.853187873933305	53.21700713310663
7.0.	4.9658530379386026	1.558049835552471	3.4760971265089102	49.63690388607283	0.148275808849529	1.742675006219105	4.2573249937808875	0.9	0	24.59111114474404	48.80334003394878
7.0.25.0	4.843245689577525	1.645401185525682	3.511353124896773	50.04019119812764	0.115566446464542	1.763044484674217	4.236955515325775	0.9	0	23.298707329197363	44.70775504335818
7.0.5.0	4.723665527433457	1.7335853270372121	3.542749145529309	50.1033519203055	0.090091198406461	1.781377805828828	4.218622194171163	0.9	0	21.99461423948994	40.91628844447112
7.0.75.0	4.607037810012392	1.822507887272642	3.570454302714941	49.89684870536872	0.07025149301986401	1.797813543303472	4.202186456696519	0.9	0	20.694719814025852	37.41384476385084
8.0.	4.493289641194389	1.912078645893644	3.594631712911941	49.48062422649401	0.054802037517902004	1.8124785620805501	4.187521437919442	0.9	0	19.4123217325623	34.184638822661796
8.0.25.0	4.382349924671118	2.002211387517686	3.6154386878111673	48.90479038311112	0.042772786170065004	1.825489017778967	4.174510982221025	0.9	0	18.15832567321438	31.212558541828024
8.0.5.0	4.274149319508358	2.09282375895097	3.63302692154064	48.21080599267412	0.033408124960831	1.836951316808678	4.163048683191315	0.9	0	16.94146585133602	28.481458079641698
8.0.75.0	4.168620196805655	2.183837131029815	3.647542672164499	47.43272469429007	0.026119481907028	1.846963020740594	4.153036979259398	0.9	0	15.768535097153391	25.97539052825195
9.0.	4.065696597426055	2.275176464929921	3.659126937643988	46.5983483630453	0.020448403277279002	1.8556136858201802	4.144386314179812	0.9	0	14.644614839830686	23.678788792311718
9.0.25.0	3.965314190769498	2.366770182807175	3.667915626423291	45.730234790722534	0.016037786571660002	1.8629856338754611	4.137014366124531	0.9	0	13.573297973420644	21.576602529978018
9.0.5.0	3.8674102345640993	2.458550042637523	3.674039722798342	44.84655607687734	0.012609469626678001	1.869154654492824	4.130845345507168	0.9	0	12.556899716571474	19.654398231787763
9.0.75.0	3.771923535650186	2.55045101712748	3.677625447222296	43.96182198634731	0.009946772217485	1.874190640703128	4.125809359296864	0.9	0	11.596653290341917	17.898428700174566
10.0.	3.6787944117325813	2.642411176570537	3.678794411696844	43.08748732807538	0.007880896260347001	1.878158161880302	4.121841838119693	0.9	0	10.692888581293076	16.295677406620047
10.0.25.0	3.587964654077227	2.7343715755284412	3.677663770394295	42.2324619361683	0.006280332240134001	1.881116978366956	4.118883021633039	0.9	0	9.845192985440619	14.833882466320418
10.0.5.0	3.49937749112883	2.826276143219876	3.674346365651259	41.40353953722365	0.005042607754249	1.883122502703153	4.11687749729684	0.9	0	9.052554395289382	13.501544293916862
10.0.75.0	3.412977553026788	2.918071577502562	3.668950869470616	40.60575913309067	0.004087860779725	1.884226212391237	4.115773787608755	0.9	0	8.313486844969642	12.287920393758938
11.0.	3.328710836997233	3.009707242338148	3.6615819206645863	39.84271008118507	0.0033538345812180004	1.8844760189879621	4.11552398101203	0.9	0	7.626139709734835	11.183010195304822
11.0.25.0	3.246524673599531	3.101135068632543	3.652340257767892	39.11678998720907	0.0027919802272730002	1.883916598051588	4.116083401948404	0.9	0	6.988391602144911	10.177532366629528
11.0.5.0	3.166367693806171	3.192309458347507	3.641322847846287	38.4294228473882	0.002364422044854	1.88258968414013	4.11741031585986	0.9	0	6.397930248814565	9.262896622804858
11.0.75.0	3.088189796895453	3.283187191782414	3.628623011322101	37.7812435404065	0.0020415953667750003	1.880534334694746	4.119465665305242	0.9	0	5.852319694053028	8.431171686295153
12.0.	3.011942119136902	3.373727337928108	3.614330542934959	37.17225371045717	0.001800408004755	1.877787166274444	4.122212833725542	0.9	0	5.34905618076861	7.675050748161651
12.0.25.0	2.937577003249844	3.463891167797674	3.598531828952451	36.60195324329281	0.0016228096565470002	1.8743825662507811	4.125617433749205	0.9	0	4.885614021286218	6.9878155163541535
12.0.5.0	2.865047968616061	3.553642070641743	3.581309960742164	36.069450867349516	0.0014946789894110001	1.870352882734033	4.129647117265953	0.9	0	4.459482704384912	6.363299715396215
12.0.75.0	2.7943096822278872	3.6429454729587603	3.562744844813324	35.573556872590586	0.0014049580391890001	1.865728595190661	4.134271404809324	0.9	0	4.068196400153438	5.795852715326362
13.0.	2.725317930353602	3.731768760213259	3.542913309433115	35.112860500340496	0.001344979073823	1.86053846792821	4.139461532071776	0.9	0	3.709356929031801	5.280303812205538
13.0.25.0	2.658029590902409	3.82008120117779	3.521889207919775	34.68579419510302	0.0013079411643630002	1.854809688368469	4.145190311631516	0.9	0	3.380651161550064	4.8119275536176165
13.0.5.0	2.592402606471733	3.907853874816679	3.499743518711557	34.29068660696941	0.0012885031413150002	1.848567991801834	4.151432008198151	0.9	0	3.079863715113165	4.386410396582197
13.0.75.0	2.5283959580599653	3.99505959963221	3.476544442307791	33.925805977897504	0.001282466976942	1.84183777411372	4.158162225886267	0.9	0	2.8048857167866803	3.999818898795745
14.0.	2.465969639428257	4.081672865396206	3.452357495175503	33.58939532731886	0.0012865313815370002	1.8346421937955322	4.165357806204456	0.9	0	2.553720308508602	3.648569574147629
14.0.25.0	2.405084632095311	4.167669767192298	3.427245600712353	33.27970066506472	0.001298099888457	1.827003264395844	4.172996735604144	0.9	0	2.324485484825641	3.329400487425576
14.0.5.0	2.345702880949572	4.253027941696395	3.4012691773539903	32.994993297114945	0.0013151312050140001	1.8189419384298442	4.181058061570142	0.9	0	2.115414773893112	3.039344618775188
14.0.75.0	2.2877872704635323	4.337726505625038	3.374486223911383	32.73358714807826	0.0013360223388370002	1.810478183644625	4.189521816355364	0.9	0	1.924856200419034	2.77570499386497
15.0.	2.231301601495327	4.421745996283412	3.3469524022212083	32.49385190044826	0.001359517139856	1.8016310524324841	4.198368947567505	0.9	0	1.7512699044958562	2.536031549161231
15.0.25.0	2.176210568663085	4.505068314146904	3.318721117189958	32.27422264206769	0.0013846345572640002	1.792418745092268	4.207581254907719	0.9	0	1.5932247326449471	2.318099681811025
15.0.5.0	2.122479738277922	4.587676667411971	3.289843594310053	32.07320661788311	0.001410612201234	1.782858667558206	4.217141332441782	0.9	0	1.4493940665463771	2.119890419154335
15.0.75.0	2.070075526821759	4.6695555184541355	3.260368954724052	31.88938759835188	0.001436861801093	1.772967484145231	4.227032515854756	0.9	0	1.318551110390312	1.939572132816013
16.0.	2.018965179956534	4.75069053213268	3.2303442879107322	31.721428303406444	0.0014629339279900002	1.7627611657981261	4.237238834201862	0.9	0	1.199563819062129	1.775483715801824
16.0.25.0	1.969116752051674	4.831068525883541	3.19981472206473	31.568071256520327	0.0014884899505360001	1.752255034277809	4.24774496572218	0.9	0	1.091389615933607	1.626119137321222
16.0.5.0	1.920499086217035	4.910677421543574	3.168823492239337	31.428138387140244	0.001513279655186	1.741463802670746	4.258536197329241	0.9	0	0.9930700203479271	1.490113288581504
16.0.75.0	1.87308179482883	4.989506198851139	3.137412006319977	31.300529650655484	0.0015371233199950002	1.7304016125658541	4.269598387434131	0.9	0	0.9037252804424251	1.366229033046846
17.0.	1.826835240536379	5.067544850569592	3.10561990889398	31.18422089237248	0.0015598973046610002	1.719082068206756	4.280917931793231	0.9	0	0.822549086261062	1.253345376221576
17.0.25.0	1.781730517737794	5.144784339181892	3.073485143080269	31.078261144934608	0.001581522430397	1.707518267895004	4.292481732104984	0.9	0	0.748803420711711	1.150446672564604
17.0.5.0	1.737739434513045	5.221216555106086	3.041044010380828	30.981769516631104	0.001601954584656	1.6957228328915561	4.304277167108431	0.9	0	0.6818135914009991	1.056612790398314
17.0.75.0	1.6948344950030831	5.296834276382992	3.008331228613888	30.893931800494162	0.0016211771095830001	1.683707934038658	4.316292065961327	0.9	0	0.620963474348964	0.971010159420128
18.0.	1.652988882224042	5.371631129788825	2.975379987987094	30.813996910463437	0.0016391946280770002	1.671485316302143	4.328514683697842	0.9	0	0.565690990702238	0.8928836294821451
18.0.25.0	1.612176441305743	5.44560155332702	2.942222005367194	30.74127323073104	0.001656028034374	1.6590663214144432	4.340933678585543	0.9	0	0.5154838295199521	0.8215490735338691
18.0.5.0	1.572371663144056	5.518740760054796	2.9088875768010993	30.67512494723864	0.001671710432306	1.646461908781178	4.353538091218811	0.9	0	0.46987542322809106	0.756386671915639
18.0.75.0	1.5335496684568741	5.591044703201465	2.875405628341608	30.61496841580089	0.0016862838478840002	1.633682674798623	4.366317325201365	0.9	0	0.42844117718531904	0.696834819461539
19.0.	1.495686192233754	5.662510042536723	2.84180376522947	30.56026860913139	0.0016997965767210001	1.620738870715545	4.37926112928444	0.9	0	0.39079495076636805	0.642384601056036
19.0.25.0	1.458757568569496	5.733134111948476	2.808108319481976	30.510535674843695	0.0017123010532080001	1.6076404191604832	4.392359580839498	0.9	0	0.35658578426514004	0.592574785341356
19.0.5.0	1.422740715872181	5.802914888190969	2.774344395936798	30.465321628018106	0.0017238521492450001	1.594396929444582	4.405603070555398	0.9	0	0.32549486359102203	0.5469872901583911
19.0.75.0	1.387613122436425	5.871850960765197	2.740535916798325	30.42421719492392	0.00173450582686	1.581017711740098	4.4189822882598815	0.9	0	0.29723271304262905	0.5052430770000711
20.0.	1.353352832372831	5.939941502894737	2.706705664732379	30.38684881875446	0.0017443180823090002	1.5675117902258981	4.432488209774081	0.9	0	0.27153660527734	0.466998435248045
20.0.25.0	1.31993843188484	6.007186243561261	2.672875324553845	30.352875833581162	0.0017533441299500002	1.5538879152832439	4.446112084716734	0.9	0	0.24816817685371903	0.431941620243656
20.0.5.0	1.287349035884419	6.073585440565106	2.639065523550419	30.321987808999477	0.0017616377829380002	1.540154574817987	4.459845425181993	0.9	0	0.226911237323622	0.39978981231036703
20.0.75.0	1.255564274938191	6.139139854577335	2.605295870484417	30.293902064981783	0.0017692509949340002	1.5263200047788161	4.473679995221166	0.9	0	0.207569759721161	0.37028636669874104
21.0.	1.224564282535884	6.203850724150728	2.571584993313328	30.26836135414549	0.0017762335329430002	1.512392198935373	4.487607801064611	0.9	0	0.189966040377745	0.34319832707161
21.0.25.0	1.1943296826731111	6.267719741658201	2.537950575668628	30.24513170688224	0.001782632756365	1.498378917974728	4.50162108202526	0.9	0	0.173939016237168	0.318314177593413
21.0.5.0	1.164841577740738	6.33074903012806	2.50440939213114	30.224000433483415	0.0017884934814300002	1.484287697969933	4.515712302030059	0.9	0	0.15934272821151202	0.29544181094238303
21.0.75.0	1.136081536713263	6.392941120946491	2.470977342340184	30.20477427645912	0.0017938579136950001	1.470125858270022	4.529874141729974	0.9	0	0.146044919574283	0.274406691637095
22.0.	1.108031583628826	6.454298932398585	2.4376694839725292	30.187277705614928	0.0017987656341710001	1.4559005088568862	4.544099491143109	0.9	0	0.13392575890434802	0.255050195970293
22.0.25.0	1.080674186353644	6.51482574902006	2.404500064626239	30.171351348064892	0.0018032536271390001	1.4416185572108111	4.558381442789179	0.9	0	0.12287667765109402	0.23722811158341603
22.0.5.0	1.053992245623862	6.57452520173275	2.371482552643333	30.156850545172578	0.0018073563397610001	1.427286714723251	4.572713285276736	0.9	0	0.11279931297006301	0.22080928130572902
22.0.75.0	1.027969084357954	6.63340124873775	2.338629666904243	30.143644028382504	0.0018111057653990002	1.412911502692366	4.587088497307615	0.9	0	0.10360454706525501	0.20567437733294203
23.0.	1.002588437233002	6.691458157140896	2.30595340562605	30.131612705998286	0.0018145315439720001	1.39849925793415	4.60150074206583	0.9	0	0.095211634858511	0.191714793142006
23.0.25.0	0.9778344405183431	6.748700485286073	2.273465074195535	30.12064855315227	0.0018176610739980001	1.384056138039441	4.615943861960535	0.9	0	0.08754741237942301	0.17883164174134902
23.0.5.0	0.9536916221602191	6.805133065772595	2.241175312067137	30.11065359747041	0.0018205196319400002	1.369588126304866	4.630411873695107	0.9	0	0.08054557882502901	0.16693484994864402
23.0.75.0	0.9301448921112411	6.860760989133662	2.20909411875505	30.101538993246503	0.001823130495434	1.355101036363581	4.64489896363639	0.9	0	0.074146045772396	0.155942339380222
24.0.	0.9071795328986181	6.915589588153577	2.177230878947758	30.093224177285208	0.00182551506762	1.3406005165398232	4.659399483460146	0.9	0	0.068294347536069	0.145779285735952
24.0.25.0	0.884781190425255	6.969624422802163	2.1455943867725358	30.08563609994074	0.001827693000491	1.326092053949434	4.673907946050534	0.9	0	0.06294110714418301	0.136377448778669
24.0.5.0	0.86293586499798	7.022871265765423	2.114192869236555	30.078708525257174	0.001829682315609	1.311580978366925	4.688419021633039	0.9	0	0.058041552860668005	0.12767456614542402
24.0.75.0	0.8416299025772731	7.075336088552225	2.083034008870462	30.072381394499384	0.001831499520979	1.2970724658781	4.702927534121863	0.9	0	0.053555080605999006	0.11961380479576601
25.0.	0.8208499862431341	7.127025048157397	2.052124965599431	30.06660024774396	0.0018331597232300002	1.282571542335838	4.717428457664122	0.9	0	0.049444858026252	0.11214326450731602
