time	ACA	ADP	AMP	ATP	BPG	EtOH	F6P	FBP	GAP	Glc	NAD	NADH	PEP	Pyr
36.0.300000000000004.0	0.04965544266506	0.119790529625189	0.0031964242315170002	4.478573838503922	0.273499803817425	1.549626995991836	0.673235797341552	0.010773206973359001	0.002599361598951	0.011282153759905001	3.67041090794113	0.5663951617296921	0.002003065702314	0.004288065577749
39.0.6.0	0.055658394289051005	0.144846505217492	0.0047005961837560005	4.452008548833763	0.26891091747364104	1.6383654008021682	0.6629966831427171	0.022761419049225	0.0053155778441440005	0.011283169552943001	3.668029565257605	0.568787027011466	0.002118587343711	0.005140291520621
42.0.900000000000006.0	0.06637950857178901	0.155691238820026	0.005466916939389	4.440392369291028	0.31932006202942503	1.7503038918746872	0.61541748839416	0.035108528802366	0.008187949080971	0.011283750599817	3.604877630852544	0.631949449347433	0.002598358038425	0.006682665024358001
46.0.2.0	0.06323916277371401	0.11984004635903502	0.00321916807091	4.4784862023211645	0.35177084164833905	1.8853211254693392	0.6123365462811531	0.017308707689861	0.00437964878801	0.011282331847089001	3.576601187034797	0.660236346542962	0.0025878445446210004	0.005659655603048001
49.0.50000000000001.0	0.052007646216621004	0.10546987683455401	0.002474901210099	4.493595547236724	0.31871163469700003	1.9962258955649572	0.645868112605088	0.007743010334746001	0.001954474637179	0.011281634050448	3.622515445750813	0.614332506765436	0.0022307468105110004	0.004393683678701001
52.0.800000000000004.0	0.049772520312661	0.116874801872079	0.0030411125137260004	4.4816193362	0.277795463344235	2.083786168216133	0.671418063035737	0.009824663390547	0.0023820784132700004	0.011282041339571001	3.666030725719801	0.5708276114091061	0.0020161568208010004	0.004244754971491
56.0.1.0	0.054818755645096	0.140926025995216	0.004444892072476001	4.45615927454143	0.266194576110297	2.169305687079406	0.667425775403929	0.020376269871923	0.0047809208161810005	0.011283006037574001	3.671828445777543	0.5650402417512881	0.0020743439190490003	0.004943962203626
59.0.400000000000006.0	0.06545485495567001	0.157424454145443	0.005586416218363001	4.438514280932447	0.309874875381209	2.274710163838534	0.6219920521973591	0.035008378983741005	0.008115639130499001	0.01128379221483	3.615466482535774	0.6214125212929531	0.0025311909473290004	0.006533140798558001
62.0.7.0	0.06536118069702701	0.12512901396672502	0.0035153182155040004	4.472875794410073	0.352177727912087	2.407466502670766	0.608783048686359	0.020294058895229002	0.005082909960481	0.011282563499244001	3.573747148132898	0.663142138008047	0.002634090620426	0.005940856700359
66.0.	0.05353138331792601	0.10547515794439101	0.002476403819694	4.493563556678453	0.32522784543419603	2.521466103056469	0.640887531047944	0.008164932245393	0.0020735050361630003	0.011281647953984002	3.614331918956208	0.6225676156212501	0.002277180153606	0.0044931341314520005
69.0.30000000000001.0	0.050018827352395004	0.11422994085356201	0.002903766635303	4.484376419303567	0.282705560186284	2.609230052797133	0.668986246452232	0.009047328548103	0.0022046947368350002	0.011281940628863	3.66088490151592	0.576024847733954	0.0020347374440880003	0.0042178919166140005
72.0.60000000000001.0	0.05411778843559	0.136977805234358	0.00419516861548	4.46033217773778	0.26479853533597403	2.692010023875043	0.6707624594210181	0.018193261207194	0.004289447275492	0.011282844027383	3.674131140696363	0.562788789573066	0.002040551957761	0.004774356907816001
75.0.9.0	0.064307434790944	0.15766181559592002	0.005598808384734	4.438239568793267	0.300561841549537	2.791261120334714	0.6294566479021431	0.033974453354746005	0.007850806883411	0.011283774026677	3.626214697445914	0.6107153803010791	0.0024549886970070003	0.006323864269547
79.0.2.0	0.06718023092238201	0.13102034348868402	0.0038600890110380005	4.466614817797617	0.350750740656519	2.920443137114167	0.606206714567887	0.023564464348374003	0.005829256190442	0.011282814530719	3.573048024740266	0.6638921670528081	0.0026703127373000003	0.0062139696221110005
82.0.5.0	0.055266223287511004	0.106078703018082	0.0025066061706990003	4.492905014915262	0.331503266379283	3.037563304077263	0.6357749684592561	0.008846284543201001	0.0022578403911080003	0.01128168776716	3.606148132165224	0.6308021403525891	0.002326822209294	0.004619285073998
85.0.80000000000001.0	0.050402021421240006	0.11187428849581602	0.00278430176566	4.48682682387892	0.28813582165878204	3.126043595980284	0.6660091442660021	0.008431650634616001	0.002065586698623	0.011281852367324001	3.655061161173287	0.581899158857703	0.00205827359014	0.0042069002246010005
89.0.10000000000001.0	0.053551707164531004	0.13309629321504202	0.003957148881764	4.464427078256118	0.26463486328283103	3.20654241939529	0.673039933031194	0.016235725704687003	0.0038466186431710004	0.011282686798894001	3.67503063871652	0.5619396957255041	0.002016697295796	0.004630719082012001
92.0.4.0	0.063053347692186	0.156573103015955	0.005516307793081001	4.439386231879299	0.291840233087358	3.300129148797717	0.637284063511486	0.032208662197623	0.007437447655585	0.011283705218135001	3.63651726001711	0.6004630558428581	0.0023755778849260003	0.0060786528595180005
95.0.7.0	0.068574421402396	0.13720123597671202	0.00423854852191	4.460030996594886	0.34738827469619404	3.424576328301587	0.604905181602979	0.026909179566543002	0.006566050004402001	0.011283069876506001	3.5747560804585152	0.6622341839350071	0.002692316444797	0.006454423069233
99.0.00000000000001.0	0.057202561503024	0.107361296693047	0.0025699674098600004	4.491534671412593	0.33735927565797	3.5445799190858622	0.630607727548066	0.009833562765451	0.002518216122604	0.011281756854937	3.598149721611791	0.6388504585392341	0.0023792883899870004	0.0047751119738700006
102.0.30000000000001.0	0.050932833334807005	0.109829875119272	0.002682856522299	4.4889483742599765	0.293994374083042	3.634307087336408	0.662550288211266	0.007972472222677001	0.001964147764927	0.011281777490258	3.648641123985236	0.588368939255223	0.0020863334858390002	0.004211735853515
105.0.60000000000001.0	0.053115234808036	0.129347537044001	0.003734230904815	4.468374524250233	0.26560027387671503	3.71296985261412	0.6743200044811201	0.014507877679859001	0.0034539246036820004	0.011282536587400001	3.674637876584928	0.5623820371845251	0.002002039641672	0.004511415981989
108.0.9.0	0.06178643864367501	0.15441428104153201	0.00535937264433	4.441677840669726	0.284068376329625	3.801436040319113	0.6449773634368391	0.029954157450180003	0.006925729933046001	0.011283597396485	3.645894803858975	0.5911349279863021	0.002298125923244	0.005819534838617001
112.0.2.0	0.069455170717703	0.143249196834591	0.004625179189614	4.45357233629471	0.34213022983947605	3.92023479655768	0.605158747267424	0.030038379866232003	0.007228440542831001	0.011283310717742	3.578949878682624	0.65808963889223	0.0026963536518860003	0.006636083957919
115.0.50000000000001.0	0.059313423434013	0.109405300278925	0.002671811956222	4.489364833801806	0.342585136587918	4.042585090682592	0.625480310257241	0.011178731905228001	0.002865678620604	0.011281858472192001	3.590572814688764	0.646476456375984	0.0024338995274280004	0.004962878426391
118.0.80000000000001.0	0.05162455549481	0.10812429264594701	0.0025998950597840003	4.490713007752063	0.30018922821135	4.134095062904174	0.658669055716193	0.007669828043192	0.0019010030342480001	0.011281717201968001	3.641703306783617	0.595355685637558	0.0021185806683280003	0.004232915885498001
122.0.10000000000001.0	0.05280362106206601	0.12577727747060602	0.003528235693472	4.472126947365634	0.267585203432452	4.211362059702736	0.674679290936061	0.013002617495713001	0.003110424760668	0.011282394909757	3.673069975217433	0.563998706532567	0.0019957458307140004	0.004414474448937
125.0.4.0	0.060573970595061005	0.151465640109079	0.005150785175579001	4.444811315916477	0.277491094363902	4.295267235732174	0.652131551712809	0.027442889783267	0.006362642673541001	0.011283462242156001	3.6540138685116723	0.5830644706450661	0.002226600625001	0.005563917417591001
128.0.70000000000002.0	0.06978693509189	0.148686658053328	0.00498606960308	4.447750309764268	0.335180924590121	4.4078069953740915	0.6071657142017051	0.032628208938039	0.0077506493899780005	0.011283517393192001	3.585484936734964	0.6516030280115991	0.0026800431487840003	0.0067370420474180005
132.0.	0.06154910204135001	0.11228318709899901	0.0028180192144340002	4.486317142823676	0.34693810616055903	4.531663889808764	0.62051161630212	0.012932253842328	0.003309425129495	0.011281995171735	3.583710472942721	0.653387085681574	0.002489520116449	0.005183109035058001
135.0.3.0	0.052492219996825004	0.10679249030840901	0.0025363069343730003	4.492084879056599	0.30662503875633	4.625475397931584	0.654422091077112	0.007529831689921	0.001878236615382	0.011281673045826002	3.634327170961722	0.60277994993269	0.002154762400721	0.004271545451178
138.0.60000000000002.0	0.052613934758123	0.12241762969710801	0.003339984538164	4.475651404621328	0.270479703541464	4.701790750547495	0.674199882719822	0.011707123421195	0.0028138917055710003	0.011282262822049001	3.670442617988558	0.566674033672489	0.001996977644276	0.0043379294973250005
141.0.9.0	0.05945862835144101	0.14798791332307001	0.004911401270946	4.448505062164034	0.272246670146713	4.7816853278660485	0.658459342319606	0.024864370073736004	0.0057865627625450005	0.011283310042458	3.660678884873478	0.57644726615451	0.002163632782546	0.005323771735505
145.0.20000000000002.0	0.06959529907532	0.153068136032041	0.0052852692417360006	4.443046344679399	0.32690218396994003	4.88767090731111	0.610971552544754	0.034392804095696006	0.00808033779608	0.011283673250811001	3.593985935701395	0.6431496833972921	0.0026431806854430003	0.006745411519114001
148.0.5.0	0.063833174397318	0.11603908719519102	0.0030142583965880004	4.482341792799814	0.350150544239684	5.01192899186255	0.6158533310408361	0.015130508842510002	0.003853411908862	0.011282167905466002	3.577911161185729	0.6592338947905191	0.0025443828046640003	0.005433169991544
151.0.8.0	0.053551288457037	0.10587836651514101	0.002493513676065	4.493018661831871	0.31319910684338803	5.108508842918542	0.6498650833928851	0.007565656923554	0.0018996229451940002	0.011281646964267	3.626598436308113	0.610556025455331	0.002194690880131	0.004329330408787
155.0.10000000000002.0	0.052545823351256	0.11929231613206401	0.003169720305917	4.478923924359599	0.274176775704685	5.1843285074992345	0.6729635978973061	0.010606637921243	0.0025616162931240004	0.011282141117476	3.6668656886258013	0.570298147936897	0.002004945305437	0.004280038804161001
158.0.4.0	0.058463690537852005	0.144199750260287	0.004658056506552001	4.452523587898374	0.26838511113790103	5.260740782422267	0.6637877710215511	0.022355345398605002	0.005225509462591001	0.011283149080077002	3.6658080681183343	0.5713651123577711	0.002110655948203	0.005106163562861
161.0.70000000000002.0	0.068959558635816	0.15607115444382902	0.005493477800835001	4.439812211331582	0.31777364329525604	5.360165180123513	0.616422158943406	0.035156907724532005	0.008190665373831	0.011283768025556001	3.603890306151622	0.633292187453798	0.0025880663591740004	0.0066625310015710005
