time	Cvar	Mvar	X
53.0.	0.575680106788367	0.629141793596927	0.15620682816355302
54.0.	0.5373905730334171	0.701355068310005	0.33248288987004204
55.0.	0.45272465682149204	0.684731921081683	0.5354331088863831
56.0.	0.33019422897162004	0.49818098770772906	0.641598211170581
57.0.	0.21784597176738302	0.069608768077579	0.44478088127288906
58.0.	0.19338295461885302	0.006216087104317001	0.00013061655024100002
59.0.	0.216318401321987	0.007500819207046001	7.56205018193904e-05
60.0.	0.23902241675638602	0.008987765322916001	9.088795373382768e-05
61.0.	0.261496567106746	0.010727454698113	0.00010886491335200001
62.0.	0.28374240270045603	0.012788608263525	0.000130325070324
63.0.	0.30576123835822905	0.015266354348477002	0.000156357248994
64.0.	0.327554061498587	0.018295466043783	0.000188535588355
65.0.	0.34912138790137504	0.022071630704471	0.00022920461448300002
66.0.	0.37046302832362904	0.02688607734379	0.00028197051384300004
67.0.	0.391577698871497	0.033181860298261	0.00035256814598400005
68.0.	0.41246235292514905	0.041642553722443	0.00045041412775500005
69.0.	0.43311101231584903	0.053320063343191004	0.00059139375315
70.0.	0.45351270232534	0.069783041643106	0.0008028253219430001
71.0.	0.47364778430993304	0.093206653227468	0.0011324074980410001
72.0.	0.49348127792827307	0.126262805332715	0.0016658392276310001
73.0.	0.512949628716116	0.171724056552735	0.0025685676898630004
74.0.	0.531929874678926	0.23189606472604202	0.004207912328954001
75.0.	0.550150287145128	0.30809491233914404	0.007595911580707
76.0.	0.5668546168389921	0.40013410239030905	0.016423709454300002
77.0.	0.579300716050392	0.505001429995763	0.046035266148377
78.0.	0.578399067874497	0.6120418173774961	0.13296769474886502
79.0.	0.547179682584782	0.693315222225632	0.29769917487315
80.0.	0.47079038651463806	0.6971852224103251	0.5026101021604761
81.0.	0.35271588754660504	0.5470079164146381	0.6381364511721861
82.0.	0.23300476108242402	0.15769433743480502	0.5111861244664521
83.0.	0.19012211086629702	0.006059412177833	0.052278044317965004
84.0.	0.21235218385538102	0.0072643995457920005	7.320127256651248e-05
85.0.	0.23509628815919603	0.008713033180697001	8.80603790331865e-05
86.0.	0.257610238356531	0.010404494729136	0.00010551824525500001
87.0.	0.279895620065136	0.012403876336454001	0.00012630597289800001
88.0.	0.30195379390105304	0.014800938714947	0.00015144771296600002
89.0.	0.323785812657925	0.017722324128252	0.000182416972201
90.0.	0.34539228763468205	0.021351119647341002	0.000221396635814
91.0.	0.366773174400278	0.025958662864016	0.00027172512227
92.0.	0.38792741712993906	0.031956329788385	0.000338680849612
93.0.	0.408852341266545	0.039977842652364	0.00043088506846500005
94.0.	0.429542593931785	0.05100049144312	0.00056282082442
95.0.	0.44998827385570406	0.066493511950175	0.0007593251488070001
96.0.	0.47017161464204504	0.08852710871010801	0.001063638876211
97.0.	0.49006099047945906	0.119707480981648	0.001552896725862
98.0.	0.5095992777409111	0.162828607361189	0.00237351845024
99.0.	0.528677614538003	0.22031797284561103	0.003841084397799
100.0.	0.547062413481624	0.29369649124476405	0.006788429583672001
