time	D_1	E_1	RS_1	R_1	X_1	theta_1
94.0.3.0	0.14502629485587	1.691977460710023	1.428503868302416	0.349391474915686	0.612192872904561	0.503175236772728
98.0.39999999999999.0	0.139105379141151	1.7223996769529801	1.423378071826312	0.346403990545236	0.727953028718324	0.5202406718601761
102.0.49999999999999.0	0.147459103417764	1.553537657396964	1.4440605268786841	0.383005754323655	0.9427762740222171	0.49991939870927404
106.0.6.0	0.16890103330421702	1.3500573065421642	1.479639020639914	0.411393169780975	0.9016261443865901	0.46865793622220603
110.0.69999999999999.0	0.16920552017371301	1.485955115873769	1.4794167392237951	0.358932746989901	0.5467283649793601	0.49179376853108603
114.0.79999999999998.0	0.144490813428369	1.747892836241757	1.440725948737344	0.303258646277951	0.562822921230274	0.5522355568448041
118.0.89999999999999.0	0.135871207354878	1.733455744493889	1.427989489891747	0.330987393752377	0.8667927046362711	0.5585606111114041
122.0.99999999999999.0	0.168762793228516	1.149786339285016	1.485608972928442	0.442874773766525	2.066580987549466	0.47921609052363806
127.0.1.0	0.350746416751671	0.24515404272909203	1.583979264661283	0.566948037671641	4.284375560473079	0.37512554337796
131.0.2.0	0.445966442167386	0.690674050378532	1.5061703477969042	0.437432188540024	0.42432865886456406	0.480544128256343
135.0.29999999999998.0	0.25116010636963804	1.388951880861109	1.357045947937475	0.24861037456515303	0.390252713719464	0.662825559874272
139.0.39999999999998.0	0.14969728073253902	1.755699824619032	1.300573434340989	0.261119390913963	0.6874548080703571	0.6902674003329791
143.0.5.0	0.151977514842062	1.379513500006658	1.374931745329776	0.40013225617797504	1.7798117547890762	0.561646133347943
147.0.6.0	0.381247750621654	0.08344064653081	1.551069788357744	0.614673553793469	10.636680703343636	0.361095720901459
151.0.7.0	0.5736430009723681	0.45724750032129	1.481995924308541	0.5358443511462241	0.7817912049462811	0.44757141131444406
155.0.79999999999998.0	0.34891048339339803	1.176648070138998	1.3222981040056991	0.287870428104888	0.34725669153808003	0.6414439930468521
159.0.89999999999998.0	0.17072169356376302	1.6903673283611882	1.242954721187194	0.249306927595616	0.579536402917299	0.704135763481742
164.0.	0.14337589219878802	1.611274551579978	1.296093106670558	0.35377524954357903	1.137798015502425	0.6014531159385641
168.0.1.0	0.24303044103932303	0.246143377162574	1.459523640778571	0.5857165378218591	12.643936592726636	0.40372938816497805
172.0.2.0	0.529701223193474	0.282463866352684	1.504120555435461	0.6173287005815871	1.79405401607381	0.37734299172294
176.0.29999999999998.0	0.432212367283313	0.9416036166875211	1.367148409952923	0.36877418777151605	0.311511547259861	0.556579280838397
180.0.39999999999998.0	0.204025324847351	1.5763661960134172	1.252250356901227	0.24526760018531302	0.46780396626777304	0.685011014910463
184.0.49999999999997.0	0.14144004826796402	1.7455583152002951	1.2589859342815362	0.306145904487226	0.8372677544647351	0.640768092450207
188.0.6.0	0.171442971384236	1.047733566608367	1.378326245665849	0.486213918157721	2.918935998103211	0.48108032763999503
192.0.7.0	0.44175116454504604	0.14466125167054	1.519956289572222	0.648665900111971	5.098733271849642	0.341848039480924
196.0.79999999999998.0	0.521486546287679	0.6560396128272911	1.422641682404389	0.48367575448507805	0.40692000759594305	0.47350390379396506
200.0.89999999999998.0	0.27159994487315403	1.367414425255204	1.282008211149605	0.26487310793843	0.378765539766427	0.651808818710604
204.0.99999999999997.0	0.151957437379261	1.756794957962076	1.239301384528899	0.269172945543583	0.6525210270903931	0.673012526909185
209.0.1.0	0.14707803230344801	1.488137597852552	1.316835774615746	0.39786409388569005	1.418698176157919	0.552229121190794
213.0.2.0	0.31104622538986004	0.097120189261199	1.492265822085421	0.6308124388156261	12.49176078155664	0.357306985452358
217.0.29999999999998.0	0.547904255029534	0.39398265375733804	1.475128093593286	0.5900851568435851	0.979192645562133	0.40104906484302005
221.0.39999999999998.0	0.371956882944176	1.09816560068209	1.331745319364186	0.323987195415641	0.31739184877872	0.591408937842943
225.0.49999999999997.0	0.179399978303334	1.6632097660368732	1.240519817483535	0.248720895871043	0.5204795766219921	0.6844268254728011
229.0.59999999999997.0	0.14006916696202001	1.700121850988451	1.272320870800281	0.33287043063302	0.9647234269905011	0.612406980544115
233.0.7.0	0.19692508906261602	0.6793778392472161	1.411950132871012	0.542138889138268	5.672292581401979	0.43799791081690603
237.0.79999999999998.0	0.49125877134310403	0.204538171406063	1.5110853578358592	0.6435864528863791	3.022939670302681	0.352251537287506
241.0.89999999999998.0	0.48037452597516006	0.799685474781838	1.391930040038691	0.42669343137062204	0.32874282477388	0.511633878606041
245.0.99999999999997.0	0.23321223283941303	1.481222305037388	1.263071749546544	0.252174512363859	0.41843412664738505	0.668496351355995
250.0.09999999999997.0	0.144880944057101	1.767637426415703	1.245077091397437	0.285976313895676	0.7311796712785741	0.6572674357843811
