time	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
55.0.	9.332711887915611	37.65891415589187	0.8056165608986111	0.007881056317155001	3.379979572040668	0.38510833408259404	0.157768080599428	30.651294909405728	0.5391090077410461	0.001464944444088	0.003998934600047	0.004368480136436001	0.020422305990756003	0.022124347848171	0.100121307749539	2.191847016524447	4.9199823993200535	0.0006206940813900001	2.7703339165934002
60.0.5.0	6.265272902745993	37.44287849468067	1.04329658515086	0.003197688231325	3.644419835213315	0.20439498382588	0.23632712919817403	33.136132369501055	0.176753027931108	0.0005883958460120001	0.001532362580879	0.0015221256438300002	0.006654256641762	0.008506473510188	0.033008798675206	1.28532467922345	3.28283775429015	0.00048591697722800005	1.8442168300333952
66.0.	4.106405131220845	37.10389577231096	1.389603579420717	0.0015476964039300002	3.7615476542986643	0.11360761154842001	0.34409024867216303	34.82273277745638	0.06679669053414901	0.000283498699707	0.000711442423029	0.0005843243999670001	0.0023784579831250003	0.003958010741587001	0.011881951769819	0.776344590602374	2.134821637971381	0.00038408720643200004	1.197971248693632
71.0.5.0	2.677764932036995	36.65851700433813	1.837833598709564	0.0008899516298270001	3.816872785117351	0.06687002356105701	0.48299763790860306	35.87126598504883	0.030188459665988	0.00016301847960700002	0.00039495490328300003	0.00026362375766600003	0.0009953094940340001	0.002201471939536	0.004998258069887	0.479915670005129	1.374525828949418	0.000305673267163	0.770904874825971
77.0.	1.7564397041309752	36.116339791110626	2.38119657255903	0.000613890365855	3.845752959463752	0.041039319398665	0.653280352017614	36.469127817919016	0.016712962546953	0.00011282006183	0.00026378567451300003	0.000144768635386	0.000506750306284	0.001473140228104	0.0025562021959080004	0.30137379864359404	0.882540457875378	0.00024311095464600002	0.49480826123333005
82.0.5.0	1.1682905971467301	35.48905704552542	3.008925256288162	0.0005128419758720001	3.862023868509588	0.025934490760558003	0.85330632064568	36.76177897805574	0.011480319180421	9.475440458432974e-05	0.00021379983907500002	9.844687114865947e-05	0.00032040521661100003	0.001196301966826	0.0016227886420910002	0.191448585958089	0.566939649620612	0.000192113132619	0.317782938545325
88.0.	0.7942932256937381	34.79177788106666	3.706209261076721	0.0005209902690240001	3.871540712723132	0.016834042451262	1.079763181612952	36.850196710650295	0.009817606095824001	9.688380015329365e-05	0.00021116182617800003	8.333382795280935e-05	0.000253448433007	0.0011838219611880001	0.001288462564642	0.12295564512102601	0.365212767430021	0.00015056050693100002	0.204676779799804
93.0.5.0	0.5569263998640971	34.041888695735736	4.45566970268868	0.0006424502455610001	3.877039228325078	0.011346090326767	1.328130907121326	36.80241866079245	0.010411394104605001	0.00012029968537900001	0.000253727855151	8.752849969341899e-05	0.000250307088725	0.0014251237894160002	0.001276845759734	0.08017853111854001	0.23668304745044	0.000117471060634	0.132649913575178
99.0.	0.406836511157992	33.257372139186934	5.23905049582172	0.0009552815517390001	3.879798561953111	0.008216380814244001	1.593229936022536	36.664112590670506	0.013568727000301001	0.00018012370631800002	0.000368501981027	0.00011307189830700001	0.000306034770874	0.002073457752204	0.0015659505634600002	0.05385362014279901	0.15541240763745	9.256238034155763e-05	0.08715250328918801
104.0.5.0	0.313400150495663	32.455630524657245	6.038102064542575	0.0016956092506980002	3.880116224924814	0.006901614522489	1.8695817151175862	36.46588097510852	0.021465692166064	0.00032186903058000003	0.0006404410872170001	0.00017743920764200002	0.00045746990610400005	0.0036094914316390004	0.002347251438948	0.038748329491339	0.105292362599119	7.657156052123196e-05	0.059168375614281
110.0.	0.25910198947338103	31.653612604747227	6.8334221405336795	0.003547724375655	3.8770247881699973	0.007581589014475001	2.151251473505442	36.22775361146538	0.040635587147561006	0.0006777335282040001	0.001315420868961	0.000333307907726	0.000823774502116	0.007424375946224001	0.004236540405684001	0.032813906773438005	0.077252175608628	7.298005288722172e-05	0.043669759367688
115.0.5.0	0.23793337026199302	30.870602970471047	7.598201621332786	0.008616995964680001	3.866636249045023	0.011814579321473001	2.43045657035573	35.96116456376521	0.090600507704472	0.0016559522226970002	0.0031460098366220004	0.000736873692906	0.001757697027453	0.017776450172126	0.009054600913143	0.038208457005614004	0.06883408989676601	9.374932256781732e-05	0.039451026659731006
121.0.	0.260940946105199	30.13783279566319	8.276599201482432	0.023791569483771	3.83631720839346	0.024983396680078002	2.692679746070167	35.667088022809004	0.233535313663841	0.0045979850733270005	0.008594582331198001	0.001876262726116	0.004359505132816	0.048583865966045005	0.022463627067527	0.06688971198551401	0.088353265618065	0.00017852918944300002	0.051700436313309006
126.0.5.0	0.381926761713462	29.528482256154987	8.71305262771951	0.07188367774502201	3.745370876007118	0.06429275563160901	2.900704982212296	35.323884389958195	0.6776857865093661	0.013973090465187	0.025979347086248	0.0053055602714890005	0.012230706834536	0.146629000829005	0.062800101255247	0.16090802952792801	0.17235825548317002	0.00045828514680200003	0.10259408719954301
132.0.	0.7870774443191471	29.243280619201975	8.463522840103446	0.216818934677549	3.472774239897184	0.179098552852532	2.946035432860731	34.84303412979939	2.100150117452536	0.042468791806238006	0.080863735884818	0.015314281157972	0.036767630140971	0.45304507832594204	0.186045295951338	0.45710328261432204	0.44345339644046405	0.001318190074306	0.266158850825128
137.0.5.0	2.030303946694489	29.748155767181263	6.733055532667778	0.517742807718166	2.7983261058601583	0.44894401542619206	2.558427318539269	33.95488788466667	6.088599590950939	0.102904152561317	0.21541373343865103	0.036583477518697005	0.103398002333194	1.18272800643279	0.502748398861755	1.30687804024569	1.239279976238869	0.0032865828146490003	0.7441182377405821
143.0.	5.013423762752976	31.473115482058773	4.000465718182845	0.6850924354275351	1.899701714530806	0.7791937619464651	1.518599816144299	32.20488783929224	12.422684633303444	0.139711494898445	0.346799169616263	0.05344308822302601	0.20685797493714703	1.8548156998161072	0.950803460362552	2.975373572428598	2.9917048473400483	0.004540646807291	1.780266850416174
148.0.5.0	9.005254576633932	33.855843697424795	2.2871703814031052	0.48691157408907404	1.54206070828414	0.9369383238412021	0.5382731563213871	29.845516997185012	13.884400282834168	0.100116831449871	0.280152884701501	0.050941474049247	0.24744195776119302	1.489804630931632	1.112617536064214	4.511202813221183	5.115998926544349	0.002656796044106	2.997554123905202
154.0.	11.40220512863962	35.858064573943025	1.508754552824589	0.23183007235122702	1.8004377907331	0.9510701717444091	0.199669268071649	28.40226743379626	9.099880303025504	0.046226376363346006	0.13393294684104	0.039382727773607004	0.197308991884822	0.721191477676769	0.9018003178640591	4.781204263589714	6.272686290548302	0.001292928496226	3.624084079087627
