time	T	Tstar	Tstarstar	Ttot	V
1606.0.	555.7132205570182	6.456507559376677	0.080641123516417	562.2503692399109	11.226459536784121
1642.0.5.0	554.917599582425	6.49788571194005	0.08116819957669201	561.4966534939418	11.30006856490503
1679.0.	554.2460501790501	6.532989457686294	0.08161541444938901	560.860655051186	11.362525915818704
1715.0.5.0	553.6792729130848	6.562737308699581	0.08199444259555301	560.3240046643796	11.415461429494462
1752.0.	553.2009826094505	6.587921996631066	0.082315364254801	559.8712199703361	11.46028247941351
1788.0.5.0	552.7974282747633	6.6092253321827545	0.082586852491677	559.4892404594373	11.498200045517057
1825.0.	552.4569933106964	6.627231994079395	0.082816347196347	559.1670416519714	11.530252978233943
1861.0.5.0	552.1698613255753	6.642442096320309	0.083010213963809	558.8953136358588	11.557330160397846
1898.0.	551.9277358905504	6.655282485295429	0.08317388712166	558.6661922629672	11.580190462621921
1934.0.5.0	551.7236049185324	6.666116785949468	0.083311997065559	558.4730337015471	11.599480512483709
1971.0.	551.5515421463316	6.675254258523973	0.08342848262232501	558.3102248874774	11.615750376659541
2007.0.5.0	551.4065396048547	6.68295755192099	0.083526689489063	558.1730238462644	11.629467301377492
2044.0.	551.2843660665515	6.6894494518967065	0.083609455963931	558.0574249744118	11.641027680175913
2080.0.5.0	551.1814473359448	6.694918726112818	0.083679187241965	557.9600452492989	11.650767426235145
2117.0.	551.0947649516626	6.699525166438639	0.08373791953548501	557.878028037636	11.65897092475372
2153.0.5.0	551.0217704367367	6.703403923867618	0.08378737521962501	557.8089617358232	11.665878732722573
2190.0.	550.9603126977347	6.706669224433064	0.08382901011847001	557.7508109322858	11.671694181651514
2226.0.5.0	550.9085765548105	6.7094175465744055	0.083864053949043	557.7018581553336	11.676589025145189
2263.0.	550.8650307008288	6.711730332185868	0.083893544837758	557.6606545778523	11.680708258940243
2299.0.5.0	550.8283836511492	6.713676295508412	0.08391835872268501	557.6259783053799	11.684174226905013
2336.0.	550.797546466347	6.7153133863714665	0.08393923435858901	557.5967990870766	11.687090113067857
2372.0.5.0	550.7716012157941	6.716690457206401	0.08395679455229	557.5722484675525	11.68954290726953
2409.0.	550.7497743067054	6.717848676812011	0.083971564174418	557.5515945476917	11.691605920671858
2445.0.5.0	550.7314139358228	6.718822728074056	0.083983985420467	557.5342206493171	11.693340917145436
2482.0.	550.7159710332875	6.719641821712251	0.08399443072904801	557.5196072857284	11.694799917485543
2518.0.5.0	550.7029831636272	6.720330553614165	0.084003213707941	557.5073169309493	11.69602672541125
2555.0.	550.6920609298144	6.720909629369727	0.08401059836845601	557.4969811575525	11.69705821730871
2591.0.5.0	550.6828764952007	6.721396476189986	0.08401680692502701	557.4882897783154	11.697925431595483
2628.0.	550.675153896684	6.721805759426062	0.084022026379233	557.480981682489	11.698654488315903
2664.0.5.0	550.6686608722027	6.722149818346483	0.084026414074924	557.4748371046236	11.699267365035507
2701.0.	550.6632019679446	6.722439033633821	0.08403010238314401	557.4696711039609	11.699782551199542
2737.0.5.0	550.6586127265699	6.722682137179429	0.084033202651647	557.4653280664004	11.700215599775866
2774.0.	550.6547547882534	6.722886473146432	0.084035808533248	557.4616770699326	11.700579592143168
2810.0.5.0	550.6515117622354	6.723058217899478	0.08403799878986801	557.458607978924	11.70088552974651
2847.0.	550.6487857485298	6.72320256523178	0.08403983965419401	557.4560281534151	11.701142663965136
2883.0.5.0	550.6464944080603	6.723323882327465	0.08404138681826301	557.4538596772054	11.701358773871911
2920.0.	550.6445684952625	6.723425841054404	0.084042687107546	557.4520370234236	11.701540400064397
2956.0.5.0	550.6429497805547	6.723511528468398	0.084043779889986	557.450505088912	11.70169304147645
2993.0.	550.6415893013891	6.723583539804279	0.08404469826175201	557.4492175394545	11.701821321002154
3029.0.5.0	550.6404458901559	6.723644056717407	0.08404547004493401	557.4481354169174	11.701929124852382
3066.0.	550.6394849352996	6.72369491310597	0.084046118626887	557.4472259670316	11.702019719793519
3102.0.5.0	550.6386773388559	6.723737650478521	0.084046663666269	557.4464616530001	11.702095851766359
3139.0.	550.6379986393698	6.72377356452216	0.08404712168688	557.4458193255783	11.702159828833093
3175.0.5.0	550.6374282740502	6.7238037442659255	0.084047506577078	557.4452795248924	11.702213590935742
3212.0.	550.6369489581236	6.723829105013884	0.08404783000975101	557.4448258931465	11.702258768557856
3248.0.5.0	550.6365461628219	6.723850416036862	0.08404810179545401	557.4444446806534	11.70229673205052
3285.0.	550.6362076763684	6.7238683238553	0.084048330179322	557.4441243304021	11.702328633105486
3321.0.5.0	550.6359232347961	6.7238833718139315	0.084048522090698	557.4438551286999	11.702355439623274
3358.0.	550.635684211515	6.723896016537916	0.08404868335299301	557.4436289114051	11.70237796502651
3394.0.5.0	550.6354833562947	6.72390664176653	0.08404881886010401	557.4434388169207	11.702396892902025
3431.0.	550.6353145758125	6.723915569981771	0.08404893272470701	557.4432790785182	11.702412797715166
3467.0.5.0	550.6351727491583	6.723923072182981	0.08404902840292	557.4431448497434	11.702426162221679
3504.0.	550.6350535727339	6.723929376102711	0.08404910879907	557.4430320576348	11.702437392102942
3540.0.5.0	550.6349534298714	6.723934673112286	0.084049176353767	557.4429372793368	11.7024468282672
3577.0.	550.6348692812373	6.723939124025613	0.08404923311791501	557.44285763838	11.70245475718823
3613.0.5.0	550.6347985727092	6.7239428639771255	0.08404928081492101	557.4427907175003	11.70246141959472
3650.0.	550.634739157941	6.723946006521462	0.084049320892984	557.4427344853544	11.702467017773307
