time	beta	g	ins	mbeta	tamox
27072.0.	288.29511439653004	5.378140424552974	10.396025507338303	13.186408381702675	8.756247937937653e-10
27648.0.	289.95516199413447	5.377598942671028	10.397634230038433	12.63285191022739	5.776969265882462e-10
28224.0.	291.6219471149502	5.376518679186586	10.400460662991195	12.102531620460537	3.8113783592577104e-10
28800.0.	293.29365947904824	5.374937740608033	10.404419511788282	11.594471186352427	2.514571971709976e-10
29376.0.	294.9685699656249	5.372892597742559	10.409429696050456	11.107735472808884	1.65899882008588e-10
29952.0.	296.64502618366515	5.370418114415195	10.415414145870999	10.641428782968857	1.0945310438558341e-10
30528.0.	298.32144859972044	5.367547579257213	10.422299611374651	10.194693179979884	7.221211922876032e-11
31104.0.	299.9963271507174	5.3643127401040385	10.430016484294445	9.766706880472107	4.764223173733508e-11
31680.0.	301.6682182781544	5.360743840581212	10.4384986305651	9.356682716925572	3.1432151128587e-11
32256.0.	303.3357423273702	5.356869658493839	10.447683233018108	8.963866666152057	2.073748622896893e-11
32832.0.	304.99758126196326	5.352717545669869	10.457510643342992	8.587536441162323	1.368163869336831e-11
33408.0.	306.65247664904393	5.34831346894069	10.467924242550929	8.227000143755232	9.026515329248759e-12
33984.0.	308.29922787593307	5.343682051973598	10.478870309242467	7.88159497524194	5.955279247993613e-12
34560.0.	309.93669056327934	5.338846617699822	10.49029789504123	7.550686002801985	3.929019076349922e-12
35136.0.	311.56377514345235	5.333829231108782	10.50215870661033	7.233664979056512	2.5921859008580526e-12
35712.0.	313.17944557652066	5.328650742204411	10.514406993718664	6.9299492125343445	1.710204917317341e-12
36288.0.	314.78271817923894	5.323330828942437	10.526999442870896	6.638980486798027	1.128314469362811e-12
36864.0.	316.37266054526094	5.317888039988763	10.539895076057547	6.36022402608801	7.44409941102543e-13
37440.0.	317.9483905373289	5.31233983715856	10.553055154221113	6.093167505432943	4.911274077033085e-13
38016.0.	319.50907533449197	5.3067026374133395	10.566443085070754	5.8373201032620745	3.2402325288687354e-13
38592.0.	321.0539305195015	5.30099185430942	10.58002433491163	5.592211594641442	2.1377562474545543e-13
39168.0.	322.58221919344214	5.295221938805776	10.593766344186108	5.357391483338721	1.410393153211913e-13
39744.0.	324.0932511064174	5.28940641935239	10.607638446453015	5.132428171001861	9.30512470257359e-14
40320.0.	325.5863817947078	5.283557941192146	10.621611790557413	4.916908161814041	6.139092885785991e-14
40896.0.	327.0610117163006	5.2776883048199235	10.635659265768075	4.710435301061821	4.05029085208115e-14
41472.0.	328.51658537803667	5.271808503552083	10.649755429682418	4.512630046124678	2.672195435328053e-14
42048.0.	329.9525904488595	5.265928760168164	10.663876438719228	4.323128768462418	1.762991524650393e-14
42624.0.	331.36855685478673	5.260058562594108	10.6779999810387	4.141583085242201	1.163140642670675e-14
43200.0.	332.7640558522542	5.254206698603232	10.692105211746808	3.9676592193093043	7.673866469100785e-15
43776.0.	334.1386990774234	5.248381289517143	10.706172690256524	3.801037386265242	5.062863803845481e-15
44352.0.	335.4921375698932	5.242589822894177	10.72018431969343	3.641411207473591	3.3402444516723966e-15
44928.0.	336.8240607700207	5.236839184197722	10.73412328824568	3.488487147867931	2.2037395097323753e-15
45504.0.	338.13419548974053	5.231135687440927	10.747974012370568	3.3419839774878	1.453925871899569e-15
46080.0.	339.4223048573782	5.225485104808119	10.761722081780176	3.201632255717576	9.592333538711377e-16
46656.0.	340.68818723748575	5.219892695256453	10.775354206138058	3.06717383724987	6.328580053236921e-16
47232.0.	341.93167512719054	5.214363232104281	10.78885816340736	2.938361398839387	4.1753057614809144e-16
47808.0.	343.1526340309442	5.208901029615246	10.802222749797833	2.814957985955478	2.754674517064703e-16
48384.0.	344.35096131589114	5.203509968589361	10.81543773126583	2.69673657848179	1.817407425575996e-16
48960.0.	345.52658505034884	5.198193520974315	10.828493796526727	2.583479674649634	1.199041748880848e-16
49536.0.	346.6794628281132	5.192954773511941	10.841382511543989	2.474978892428134	7.910725439583752e-17
50112.0.	347.80958058146064	5.18779645043631	10.854096275463004	2.371034587628741	5.219132447964178e-17
50688.0.	348.9169513858447	5.18272093524121	10.866628277961183	2.271455488014731	3.4433433087049274e-17
51264.0.	350.00161425935	5.17773029153587	10.878972457988414	2.176058342737618	2.271759389096916e-17
51840.0.	351.0636329600032	5.172826283008806	10.891123463874306	2.084667586452251	1.4988022567784722e-17
52416.0.	352.1030947840349	5.168010392520418	10.903076614779941	1.997115017490819	9.88840726577671e-18
52992.0.	353.1201093681469	5.163283840345704	10.914827863473471	1.913239489503036	6.5239158675965305e-18
53568.0.	354.1148074987748	5.158647601589022	10.92637376040952	1.8328866159955761	4.3041793388487315e-18
54144.0.	355.0873399312396	5.154102422793253	10.937711419092764	1.755908487228404	2.8396993702798062e-18
54720.0.	356.0378762215716	5.149648837766119	10.94883848270657	1.682163398949066	1.8735029093198594e-18
55296.0.	356.9666035736481	5.145287182646639	10.959753091987244	1.611515592468352	1.2360509665092191e-18
55872.0.	357.8737257041461	5.141017610234936	10.970453854324466	1.543835005602028	8.154895219047317e-19
56448.0.	358.7594617276389	5.13684010360866	10.980939814068	1.478997034023688	5.380224427270394e-19
57024.0.	359.6240450639996	5.132754489049356	10.991210424020162	1.416882302593131	3.5496243802355913e-19
57600.0.	360.4677223700948	5.12876044830205	11.001265518093325	1.357376446244278	2.3418787606994467e-19
