time	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
207.0.	8.460487110252063e-05	1.1581982911597111e-05	7.622136165063499e-11	0	2.7159093337837137e-07	8.037577951629622e-19	2.1682293906265492e-05	2.607330074229757e-06	0.18982990476015002	9.010083831948075e-07	0.32326381613474703	0.029098169491218004	2.5991804314380342e-09	0.457771062732274
216.0.	8.522906373920629e-05	1.130506190619218e-05	7.898849159330069e-11	0	2.7957138242430526e-07	8.971510107825676e-19	2.0729758733684612e-05	2.492787155865582e-06	0.18393393438743402	9.268704252314579e-07	0.30679877605204003	0.0297336949304	2.790609616330525e-09	0.479497857710924
225.0.	8.586011419629396e-05	1.101401988301975e-05	8.157155894636208e-11	0	2.873241408799215e-07	9.964483713486934e-19	1.9811932011973824e-05	2.382417978308722e-06	0.17788142818621702	9.501364332714041e-07	0.29105985172375104	0.03033351794999	2.9860573022284873e-09	0.500690753241964
234.0.	8.649595728649605e-05	1.071138240230032e-05	8.396645317516075e-11	0	2.948482447976213e-07	1.101693692397628e-18	1.8927385340504622e-05	2.276050760681564e-06	0.171721838534093	9.708333890981669e-07	0.27602065588614	0.03089891387051	3.185295349611804e-09	0.521325407939856
243.0.	8.713461547880533e-05	1.0399460145019911e-05	8.617020968172775e-11	0	3.0214230046085227e-07	1.2129194670524532e-18	1.807484470409718e-05	2.173532289333644e-06	0.16549905258012002	9.890025773723615e-07	0.26165584894495403	0.031431111298997005	3.3881037624735493e-09	0.541382044719637
252.0.	8.777419930757022e-05	1.008036797301579e-05	8.818095200899728e-11	0	3.092046256842223e-07	1.3301468150890062e-18	1.7253168673869193e-05	2.0747252962447363e-06	0.159251885879576	1.004697710565586e-06	0.24794102773810503	0.031931297275014	3.5942704015403864e-09	0.560845063260572
261.0.	8.841290875519849e-05	9.756040987740408e-06	8.999783666183532e-11	0	3.160333791976844e-07	1.453385445329043e-18	1.6461329044732102e-05	1.979506130467552e-06	0.15301452771228602	1.017983204869547e-06	0.23485263025729902	0.032400621646246006	3.8035907284228696e-09	0.579702685597832
270.0.	8.904903530888927e-05	9.428248139914402e-06	9.162099911174161e-11	0	3.226266784924058e-07	1.5826336417199742e-18	1.5698393615242293e-05	1.887762687213917e-06	0.146816944910935	1.028932593860565e-06	0.22236785455521602	0.032840200758026	4.015867575962634e-09	0.5979466297046181
279.0.	8.96809644221253e-05	9.098603855007223e-06	9.305149987311098e-11	0	3.289827063063706e-07	1.7178782821475804e-18	1.4963510874449412e-05	1.799392566276819e-06	0.140685249872145	1.037627068884785e-06	0.21046459026952102	0.0332511205318	4.230910940560732e-09	0.6155718068855001
288.0.	9.030717814055933e-05	8.768578066470869e-06	9.429126982967117e-11	0	3.3509980580504225e-07	1.8590948976529833e-18	1.4255896406180942e-05	1.714301436989174e-06	0.134642037458951	1.0441541369133088e-06	0.199121361359157	0.033634439000117006	4.448537792734474e-09	0.632576039609093
