time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
58.0.32.0	7.91441207973467	1.685459955468848	5.32015667008182	0.250343234344241	3.74859021984787	0.22942016832924503	0.24169901386839301	0.609148913011548	0.9172771200366291	0.27665296598002703	7.785597050368975	1.302341518582193	0.7171120430482211	2.4340886844815692	0.7890276346953821	0.11641614121143201
59.0.04.0	8.018995680269107	1.6447338593548322	4.984634808687169	0.25034139772520203	4.092204936709611	0.206292163257233	0.24422615060850303	0.545509923369987	0.9141942498013791	0.23766459688901803	7.128617962753903	0.80132529699773	0.719502595040427	1.749088042524095	0.6942633446094241	0.11387928768259101
59.0.76.0	8.124593116391397	1.618904036765839	4.522488525208783	0.249985010896341	4.293663693379378	0.187767470350853	0.245980033155511	0.48238560520236407	0.9109973637998681	0.21526719421821003	6.290884525018097	0.389324596716893	0.720942437969853	1.101914987523959	0.5996052948530061	0.11080724380594001
60.0.48.0	8.230143460667179	1.605739520133871	3.975182305239768	0.24924166411039303	4.340875647252648	0.17475994878803602	0.247102383210259	0.425577770953244	0.9078461178418641	0.20406773328124403	5.392538836243109	0.13127166538092802	0.7212903820103591	0.536713670790134	0.49945413395811106	0.10680178975875
61.0.199999999999996.0	8.335021991041293	1.603048973372339	3.390952481728868	0.24804239833336802	4.2373066593075635	0.16705021637433	0.247694639856531	0.37739440269864305	0.9048705803232261	0.201293949235948	4.57272312328179	0.033175925201163005	0.720428863230243	0.150300822723613	0.397707359133916	0.10124171632323901
61.0.919999999999995.0	8.438783723362613	1.608940151332838	2.8276828129921032	0.24629651158854401	4.001473726484677	0.16394100609061502	0.24781733188897803	0.33782561091151303	0.9021690603376561	0.205618895575398	3.884841582318794	0.010801250126817001	0.7183217511284311	0.021032409837575	0.320166093664673	0.09442215445754601
62.0.64.0	8.54103792495345	1.621882964136784	2.330322714607382	0.243930553810487	3.6646364565015093	0.16465926618610102	0.24749479907569302	0.305553653394792	0.8998105744013261	0.216490963921035	3.292861090357743	0.0075471552795170005	0.71493188193733	0.005099633101912001	0.275071320965734	0.08831513819006001
63.0.36.0	8.641371954158926	1.640693031719105	1.9043278885794401	0.24087642492703001	3.260823571603342	0.16851169007025502	0.24671681813558802	0.278676048220168	0.8978393891616001	0.233903297365149	2.763626952340125	0.008765990902722	0.710109606494662	0.004799060168649	0.245024482686221	0.08358906083266
64.0.08.0	8.739279724551533	1.6645066152905752	1.536154028024623	0.236994338727526	2.818161401734618	0.174938342926822	0.24542775527816302	0.25507545624293804	0.896280208654443	0.258458313217773	2.283705899802353	0.012285304660175	0.7035558948259191	0.006760869970477001	0.21982449210950902	0.07954702177565101
64.0.8.0	8.834067678196098	1.6927687801619271	1.212550810156952	0.23199425219107903	2.357926843939194	0.18351924553995402	0.24350122807981503	0.232625467664293	0.895143365171259	0.29149009905064804	1.847963647300322	0.018986224914079003	0.6947753196660561	0.010615513260654	0.19574052617359303	0.07550786548667801
65.0.52.0	8.924714445580229	1.725232877206206	0.9249552964208291	0.225332391261183	1.896681567238089	0.193941723646216	0.24069115433621802	0.20930201005501703	0.894429669071331	0.33522146892633503	1.45575015752778	0.031663514032553006	0.6829776663159941	0.018048673957639	0.17149927047059502	0.07103378711267
