time	Act_C_Cyt	Act_C_Nuc	Ca_Cyt	Ca_Nuc	Inact_C_Cyt	Inact_C_Nuc	NFAT_Act_C_Cyt	NFAT_Act_C_Nuc	NFAT_Cyt	NFAT_Nuc	NFAT_Pi_Act_C_Cyt	NFAT_Pi_Act_C_Nuc	NFAT_Pi_Cyt	NFAT_Pi_Nuc
64.0.	0.001831507658288	0.022060595688936	0.9622244122630401	0.9621277331992011	0.0020767841946600003	0.024771603260185	0.000165589501232	0.016551299038576002	4.8515751244337645e-05	0.00017772179219	9.415095544214373e-05	5.135341681539876e-05	0.002891493515896	5.51755249163616e-05
68.0.	0.0017880184154960002	0.021995273469731003	0.9620677686604011	0.9619653813647541	0.002027425744378	0.024710686985776	0.000161619084841	0.016919917176366	4.712365821615029e-05	0.00018297620667600002	8.895344064513602e-05	5.1825125972504244e-05	0.002745936293935	5.247320349948742e-05
72.0.	0.0017492973194720002	0.021930512400472002	0.9619220610754841	0.9618146540249071	0.001983479308779	0.024649439917291002	0.000158186444901	0.017261393057718	4.583713901328606e-05	0.00018787901638100003	8.435674849927672e-05	5.226407561723166e-05	0.002610617411891	4.9963025333147265e-05
76.0.	0.0017148145456030001	0.021866306636446002	0.961786136482299	0.9616742930030491	0.0019443432182660002	0.024587960017607	0.00015520410917800001	0.017578748611630002	4.464543896448602e-05	0.00019247108472400003	8.027024584690429e-05	5.2673761005297355e-05	0.0024844464026780003	4.7624180647853206e-05
80.0.	0.0016841155798270001	0.021802651681683	0.9616590050864711	0.9615432220983331	0.0019095013688740002	0.02452633174253	0.00015260109506	0.017874557357929	4.353915674621015e-05	0.000196787507287	7.661961686880222e-05	5.3057176167999626e-05	0.002366488370822	4.543887519734362e-05
84.0.	0.001656808319436	0.021739543931324	0.9615398123043281	0.9614205153153341	0.0018785085599070002	0.024464628119997	0.000150319364623	0.018151024804741	4.2510037922678945e-05	0.00020085836787300001	7.334347890208511e-05	5.341690098899229e-05	0.002255937222468	4.33918029000315e-05
88.0.	0.0016325527318160002	0.021676980380590002	0.9614278163594161	0.9613053715210311	0.001850978740091	0.024402912505405	0.00014831113260300002	0.018410052096873002	4.155080504041368e-05	0.000204709478152	7.039078826399483e-05	5.375517060037483e-05	0.002152094221169	4.1469725477742434e-05
92.0.	0.001611052498215	0.021614958432796	0.961322370204653	0.9611970940570491	0.001826575510811	0.024341240048083003	0.000146536801475	0.018653286880606003	4.065501708708906e-05	0.00020836304132700002	6.771883233557395e-05	5.4073931216502294e-05	0.0020543506740060002	3.9661134455452664e-05
96.0.	0.0015920482118240002	0.021553475768257002	0.9612229068148391	0.9610950742100671	0.0018050043965390002	0.024279658911354002	0.00014496336273200002	0.01888216430098	3.981695263796454e-05	0.00021183822314200002	6.529166138423511e-05	5.4374885439072836e-05	0.0019621738496120003	3.7955977215750646e-05
100.0.	0.001575311803035	0.021492530252069	0.9611289271324781	0.9609987777134601	0.001786006510446	0.024218211287182	0.000143563148333	0.019097940304661002	3.9031512200374555e-05	0.00021515163268300003	6.307885352106068e-05	5.4659529301445765e-05	0.0018750954461680001	3.634543334005274e-05
104.0.	0.00156064194119	0.021432119867649	0.9610399901216151	0.960907733650405	0.0017693533300570002	0.024156934241538003	0.00014231284769900001	0.019301718887268	3.8294136194545946e-05	0.00021831772289600002	6.105453438429631e-05	5.492918277014864e-05	0.001792702087	3.482173076792548e-05
