time	Bar1	Bar1a	Bar1aex	Cdc28	Far1	Far1PP	Far1U	Fus3	Fus3PP	GaGDP	GaGTP	Gabc	Gbc	Sst2	Ste11	Ste12	Ste12a	Ste2	Ste20	Ste2a	Ste5	Ste7	alpha	complexA	complexB	complexC	complexD	complexE	complexF	complexG	complexH	complexI	complexK	complexL	complexM	complexN
3.0.5999999999999996.0	0.9661402047297061	192.66649602832516	6.36736376694619	282.8566844080466	0.00031658003208500003	0.006584357343948	481.1537987368328	274.64084610053277	228.68773403333324	0.858636263545815	133.22812690739596	1532.5799035290518	0.5094752778300711	191.97046076094395	116.66331351593779	0.48467193095287403	199.5153280690472	1272.2382234020515	868.1203610073482	155.28133553420707	116.66331351593779	48.68148373251151	73.16663318897915	119.110978920976	37.09280870450219	132.34440440380956	0.0016641666217160002	0.487076062270877	0.09578093141395601	0.012904171749100002	0.08262968598498101	81.47165329229256	45.56717037904231	4.162424469901674	1.695984733834707	17.14331559195527
3.0.9.0	0.9633490951902021	192.09214959645755	6.944501308353418	282.85223211432697	0.00031961757413200004	0.006588051712498001	481.1543385536544	282.88030083085647	220.18956700921242	1.298862480881772	127.37461613579752	1537.9931880833149	0.324991721024707	194.0350744836264	118.34199706717341	0.503329455591314	199.49667054440874	1258.1891259597178	873.3435876321075	149.25375446837663	118.34199706717341	48.67571280435016	68.91230823453573	118.67451907762246	38.3408033405456	136.32598285093295	0.001088636375757	0.327057637807938	0.06469932141041	0.008724271869657001	0.05618790646258601	78.43629646890203	43.87262118181562	3.890825579627764	1.6909858913829932	17.147767885674888
4.0.2.0	0.9605728623988171	191.51950876752204	7.519918370080355	282.84776816348244	0.000322913477117	0.006590414452511	481.1548837376355	291.0896825789251	211.72427035013553	2.051430585125148	121.35652989125245	1543.258706223615	0.19722416532168202	195.5632540499797	119.97318810658837	0.5234000561047181	199.47659994389534	1245.3702425641238	878.4759108762097	142.55205169217024	119.97318810658837	48.654920900302045	64.56959434275103	118.25698721000558	39.57525441639182	140.24505947026475	0.000676089348014	0.205965924402556	0.040850296562156004	0.0055104881960560004	0.03558657436268	75.41515455474035	42.18538931337562	3.635631972154369	1.685971097914243	17.152231836519555
4.0.5.0	0.9578106888704611	190.9485692488819	8.093620062248846	282.8433041365511	0.00032645606059600004	0.00659149141105	481.15543471734185	299.1390411091934	203.4243182299039	3.186713075856643	115.183863616399	1548.2960900077376	0.12094744073728401	196.69388615757416	121.53214690604625	0.5446962397492641	199.45530376025076	1233.629784942711	883.4317454889679	135.36139368510584	121.53214690604625	48.6195095414352	60.18850676928195	117.86284402282892	40.775481387540026	144.03633129134138	0.00042326874798300006	0.129044210964765	0.025563353904106002	0.003447776590903	0.022245130455353	72.45645517406014	40.53234530764709	3.39915355741359	1.680951471734665	17.156695863450963
4.0.8.0	0.955061292873921	190.37932722405364	8.665611483073718	282.8388492126687	0.00033023588501400003	0.006591703107138001	481.15599190263566	306.91194545214825	195.4126902991724	4.7079012889163785	108.88622042285371	1553.0725449882227	0.077553652931565	197.5298673235372	123.0041992060863	0.566963846692899	199.4330361533071	1222.8336849886787	888.1596438357487	127.838001311683	123.0041992060863	48.57495587790593	55.81616896910804	117.49718063768468	41.92642396596507	147.65798746842907	0.000276523545186	0.08385696101618001	0.016561772651902	0.002232741087066	0.014365577774096002	69.60302489666199	38.93759818884116	3.182716026222759	1.675935371038368	17.161150787333042
5.0.1.0	0.9523236545108	189.81177862645583	9.235897719034462	282.8344090547064	0.00033424752510900004	0.006591409935123	481.1565556907962	314.34619690442804	187.75601822625092	6.57445309133996	102.50581118323227	1557.586402425421	0.052334341263092006	198.14743299455608	124.3859682655777	0.590015658226418	199.40998434177357	1212.8618835378327	892.6431876010731	120.11462460234306	124.3859682655777	48.52634067789939	51.496071617560794	117.16189817121708	43.02152575899547	151.0951313363437	0.000189827931304	0.057222600582867	0.011265195855183001	0.0015179835074480002	0.009737043396253	66.87731326647295	37.41389751506177	2.9858587940540673	1.670927706447493	17.1655909452952
5.0.3999999999999995.0	0.949597162349693	189.24591899384495	9.80448384380644	282.82998691529	0.000338489255517	0.006590820667948001	481.15712647308726	321.4228904580258	180.47462999463707	8.726587612046506	96.09111317293008	1561.8489659150173	0.036970738455103	198.60306330234368	125.68045593420722	0.6137465803352941	199.3862534196647	1203.6057416509839	896.8853373295015	112.30457775784194	125.68045593420722	48.47672361470261	47.26748012550412	116.85610139047088	44.059833710075566	154.34864376107743	0.0001362437428	0.040876280724137	0.008024640235419	0.001080876645355	0.0069146799423820005	64.28574526980904	35.96497066601984	2.8070502571259723	1.6659311322767651	17.17001308471161
5.0.7.0	0.946881492649925	188.68174359017175	10.371374917179548	282.8255847337784	0.00034296234443200005	0.0065900440130560005	481.15770464050627	328.14655334157925	173.56365861749185	11.09813664289558	89.69252696627049	1565.8760030908275	0.027128819621863	198.93859906509542	126.89329555425807	0.638106161498125	199.36189383850186	1194.9662728604417	900.8975137536046	104.50471824149312	126.89329555425807	48.42769280668614	43.16499654114086	116.57755130051518	45.043154048187134	157.4265654425949	0.00010145623310100001	0.030341626452123002	0.005942899398795	0.000800208753241	0.005107932835954	61.82617986230664	34.58970072626467	2.644412990387884	1.660947086912099	17.174415266223324
6.0.	0.9441764864167431	188.11924752899503	10.936575984589432	282.8212037693198	0.00034767008075900003	0.006589136337683	481.1582905880354	334.5323240630867	167.0068750970351	13.622829873346923	83.35958735637759	1569.6842494702692	0.020529440868396	199.18503316632732	128.0308601495783	0.6630748359973181	199.33692516400257	1186.8529660499146	904.694166419344	96.79766020517613	128.0308601495783	48.380028205993916	39.218275780037	116.32360909263356	45.97444103631795	160.33961934379573	7.783333304455116e-05	0.023232264951716	0.004542060197405	0.0006114215159580001	0.0038959779254860005	59.49265417551659	33.28480156292142	2.496096117631338	1.655976374863343	17.178796230682
6.0.3.0	0.94148207473304	187.55842584858394	11.500092076684185	282.8168449236493	0.000352616963861	0.006588127676256001	481.1588847173462	340.5994035905092	160.78375529731255	16.237580662262104	77.13913034008493	1573.2899556976463	0.015926517380721	199.36532032219046	129.09943131226638	0.688650012808482	199.31134998719142	1179.1830233190647	908.290296133129	89.25344137721402	129.09943131226638	48.33409166384118	35.45189080957291	116.09167370154279	46.85701335006785	163.09912996288548	6.115643121617671e-05	0.018237583971064	0.0035603213365360004	0.00047916280359500005	0.003048914047473	57.27778538302423	32.04617529101928	2.360417210672851	1.651019461660329	17.18315507635246
