time	_101	_105	_11	_129	_13	_147	_15	_153	_174	_181	_19	_198	_21	_25	_27	_5	_75	_79	_84	_9	_96	_99	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_28	species_29	species_3	species_30	species_31	species_4	species_5	species_6	species_7	species_8	species_9
110.0.	0.0042696271328720005	0.0030364750698530004	5.444417839278572e-05	0.002275270251428	7.168619562059418e-08	0.08200880941913201	0.010784572545657001	0.003352688672449	0.011493098631072	0.00013501501128400001	0.005579988461557	0.00021079052110400002	0.161828600874334	0.000767357633861	2.0815854904481855e-05	0.08343284462948301	0.046252952049038	0.004524327326154	0.427708967562947	0.025341043944904003	5.3276561781146284e-05	0.086124989191816	0.001644364840338	8.66645661670685e-05	7.167840335631143e-08	8.129854922747124e-06	3.0196577721368466e-20	2.917840833857773e-20	0.00019783334584000002	7.025580224889706e-05	0.11334534802113501	0.027662648438296	0.026462936436702	0.00011187302103600001	0.005947249145258001	7.169315949468058e-08	5.1521783057837204e-05	5.936293938245649e-05	0.006862877263138001	1.3267717741617152e-05	7.168464332755399e-08	0.030636952664032	0.08885903922044	5.836732459011722e-07	0.11340536070303602	0.011140372290713001	0.00019649427992800002	0.002429378221635	0.0038976557696380003	0.0038168541131580005	0.00010915807059700001	1.047357969249791e-05	0.000133232717554
121.0.	0.004383616558053	0.0035751147370230003	5.3473018994324256e-05	0.001834391036661	8.239341824966612e-08	0.08984694352906401	0.011608518874495	0.002335548119459	0.011165612073788	0.00019917457306200002	0.004498420455364	0.000237588342261	0.141183583941656	0.0007847165574610001	2.3569985284156994e-05	0.09517999795036201	0.046962140634485006	0.004777855717775	0.43306028893966503	0.021330334801821	4.2397302676113456e-05	0.08971351440594401	0.001728862646159	0.000126410178891	8.238662972383477e-08	9.103727837021107e-06	1.473751194022777e-20	1.4852459254033082e-20	0.00019857663824800003	7.979055151533971e-05	0.10347425100940201	0.023024638827577004	0.026931760334047	0.000109486635655	0.004858648366423001	8.239829034377127e-08	5.040606218291479e-05	6.720918027897903e-05	0.007308391563406001	1.4853778773699531e-05	8.23909605908842e-08	0.030326160863831	0.09021756133005501	6.711718345537507e-07	0.127551969725741	0.009781762682510001	0.00019769695230700002	0.001985490625366	0.004832745683880001	0.0026947399152150004	0.00010698899917500001	1.230272880849527e-05	0.00013877686053
132.0.	0.004463925013035001	0.0038205482594040004	5.270465508722815e-05	0.0016100212899470001	9.31017418960352e-08	0.09548166164572501	0.012170566563352001	0.0017634104214200002	0.010078370354319001	0.000249961130157	0.003945672143914	0.000250885413913	0.12742188885250302	0.0007318144676370001	2.3683219457552672e-05	0.10311554733691701	0.047522767296736004	0.0049836483063920006	0.43695903508295203	0.017419974007433	3.7335227189325615e-05	0.08831927268898901	0.0017771750304310001	0.000157843307012	9.309607582722271e-08	9.29659145378362e-06	9.255014404822676e-21	9.779245433135738e-21	0.00019906493675200002	8.876387400826027e-05	0.097829427251247	0.018825551684564002	0.025181685423776003	0.000106402973466	0.00432104873509	9.310563452855779e-08	4.951634116002082e-05	7.431148410864637e-05	0.007687874139297001	1.494938475781501e-05	9.309951315262327e-08	0.027909908846335003	0.091785260719434	7.574612820033019e-07	0.134366077590123	0.008213977003683	0.000198487035883	0.001767440759847	0.005507474796220001	0.002087584036629	0.000104243615067	1.3379313551649743e-05	0.00014324775810300002
143.0.	0.004509003468336	0.0038544757242640003	5.2486346126842484e-05	0.001551444428275	1.016395825728507e-07	0.098380779154287	0.012458301560018	0.001533333394823	0.008794702557275	0.000271678287011	0.0037969484441750002	0.00025593218502800003	0.120436689508447	0.0006474162028770001	2.1931191077615103e-05	0.106712131015036	0.047968001099845003	0.005151275038836001	0.43979810338044806	0.014529243688104002	3.6378663832309844e-05	0.08485590206410701	0.0017946492641390001	0.000172369093938	1.016346237495932e-07	9.018991153266712e-06	7.917993997565752e-21	8.726879511820133e-21	0.00019938571956000002	9.581147124887832e-05	0.095704081623583	0.015859060297124	0.022477731659516	0.000103866859025	0.004208640636628	1.016432031943375e-07	4.9105652160723447e-05	7.95364496091859e-05	0.008018736697406001	1.407020488703259e-05	1.0163779461205859e-07	0.024735684393568002	0.09309182570242201	8.254636181752568e-07	0.135660201192949	0.006907344018359	0.00019900607336900003	0.001724313339583	0.0058858722829880005	0.0018654402054050002	0.00010189398109300001	1.3747379056634682e-05	0.000147183016319
154.0.	0.004545067167818001	0.0037630408414760005	5.2784965657770104e-05	0.001631726520139	1.070694011769669e-07	0.09882968566952001	0.012514135339047001	0.001560517675031	0.007698609136353	0.00026016241145500004	0.003984485004024	0.00025702550953400003	0.11959123432385901	0.0005634085616350001	1.940380254497303e-05	0.106647914410798	0.048323379472508005	0.005288455452909	0.44186488540411306	0.012933952318541001	3.8898410668999775e-05	0.08037998394699	0.001789766547426	0.00016760438274900002	1.070646629210534e-07	8.543397862286161e-06	9.079030333591736e-21	1.0362062650770668e-20	0.00019959645461500001	0.00010048160515	0.09676838149908301	0.014364996479983001	0.019813252813265	0.00010235474349000001	0.004460461624795	1.070733095725463e-07	4.914746989362549e-05	8.260270519260646e-05	0.008316527496096	1.2816444398484151e-05	1.070680530429509e-07	0.021807773452365002	0.09392793196429601	8.68051129780191e-07	0.13252068035203401	0.006071195168974	0.000199347049851	0.0018322499888860002	0.006002958983824001	0.0019447061849740001	0.00010040585429200001	1.3609859046155072e-05	0.000150932089132
165.0.	0.004622151425964001	0.0036085246526650003	5.351545112751476e-05	0.001853709976704	1.092895606299171e-07	0.09722988638659501	0.012391531848097001	0.0018432323820380002	0.007005902591954	0.00022191301181300003	0.0045121163774050005	0.00025784032534100003	0.12494244100501702	0.000499355259679	1.6968028814692173e-05	0.10370640159012201	0.04860868432322701	0.0054016020733590004	0.44336984241208205	0.012776870332696	4.521718263908689e-05	0.07493653836504101	0.001770852342084	0.00014682526055300002	1.0928450377373839e-07	8.002231520617984e-06	1.3458643666407859e-20	1.579374494134597e-20	0.00019973489491000002	0.00010282114853200001	0.10123330119597901	0.014519346762043	0.017851715219989	0.00010202055791800001	0.00509080565234	1.092944157428791e-07	4.960465973220607e-05	8.369280992715252e-05	0.008592784881864001	1.1666579551392601e-05	1.09288677070476e-07	0.019797363257860003	0.09419012410475101	8.846271850684141e-07	0.12496260793050201	0.005808986452463001	0.000199571050954	0.0020988514212750002	0.005915335889026	0.00234256215544	0.00010001775240200001	1.3106209365936242e-05	0.00015472139919300002
176.0.	0.004811607801582	0.003432222145572	5.469462105888902e-05	0.002232115808019	1.0851027998651519e-07	0.09374422253831201	0.012143666243198	0.002457309477025	0.006856203180542001	0.00017066259013400002	0.0054129592510640005	0.000262354488073	0.137091071986173	0.00046664079790200005	1.5212212792147041e-05	0.098282502810538	0.04883944713360001	0.005496208237844	0.444467410090827	0.014336031079921001	5.6232627047592486e-05	0.068275417552216	0.001746303015609	0.00011755365261200001	1.085041723333918e-07	7.42892933387835e-06	2.4459539680312396e-20	2.925159363060622e-20	0.000199825841865	0.000103027658184	0.10950727963247801	0.016691132233602	0.017081070764594003	0.000103033370059	0.006138839906355001	1.08517095497902e-07	5.0541549263839356e-05	8.311702991541876e-05	0.008856380751212001	1.0991495287819181e-05	1.085099935210805e-07	0.019229940075864	0.093762806130497	8.769113581967764e-07	0.112414915803677	0.006236312142544001	0.00019971820621800002	0.00254172165001	0.005670789352908	0.003169142129574	0.00010097884911500001	1.2269099178896902e-05	0.00015874625294900002
187.0.	0.005186142164028001	0.003273059202082	5.6446044257735654e-05	0.00273176257694	1.0497353648018299e-07	0.08847544836974201	0.011843106958456001	0.003464466462356	0.007382351513607	0.000123941940848	0.006606777932137001	0.000275899988643	0.155590936548717	0.00047407171527900005	1.4594136915905313e-05	0.09069334440629301	0.049028056849464006	0.005576898115129	0.44527079938969305	0.017945370500715003	7.163968579576016e-05	0.06113008692273301	0.001727110967523	9.027327079090728e-05	1.049653380166855e-07	6.842838239088548e-06	4.8850720179727914e-20	5.830585793461276e-20	0.00019988558855700003	0.000101293574345	0.12084132456515301	0.021260613379978	0.017954053832776002	0.00010568066265400001	0.007481658510521001	1.0498375010632929e-07	5.211068227399424e-05	8.115458483290232e-05	0.009115271359239	1.1143430823604571e-05	1.0497404292602841e-07	0.020622422135742002	0.092511853176951	8.46869668206154e-07	0.09586497430070401	0.007487295137780001	0.000199814878397	0.0031066348333340004	0.005308903599143	0.004489673495274	0.000103591089642	1.1103199107915341e-05	0.00016320143377
198.0.	0.005707480019572	0.0032116047734970002	5.870983829852743e-05	0.0031717691859890003	9.936069040542091e-08	0.082637785855246	0.011611397731820001	0.004618050966215001	0.008643917819922001	9.727943709799411e-05	0.007673318517889001	0.00030443611541900004	0.175646891627873	0.000528324802714	1.5503671756682985e-05	0.082831143847198	0.049184228407865	0.005646513078991	0.44586086014479104	0.023197964402334	8.534113375242177e-05	0.057115706326171	0.001726900278374	7.552166768760835e-05	9.934932833212168e-08	6.395831382250265e-06	8.780231948286061e-20	9.978715409067424e-20	0.00019992483854900002	9.808628176301394e-05	0.13098728319580502	0.027429978704463003	0.020747429186876002	0.000109952464956	0.008547458498560001	9.937492608869778e-08	5.4249145845951305e-05	7.827098860597178e-05	0.009375222465032002	1.245224550322613e-05	9.93614812354835e-08	0.024213707539882	0.09054634591599901	8.004764358176149e-07	0.08197782826338701	0.009452848791965	0.00019987838621700002	0.0035455056477510004	0.004932260824634001	0.005872932409741001	0.00010771756387100001	9.842158502199696e-06	0.000168107002294
209.0.	0.006103910725207	0.003388567969748	6.074620717646298e-05	0.0032881229566070003	9.37957874404864e-08	0.07919723749280301	0.011584710571094002	0.0052546711879960005	0.010371241813925	9.684777382358228e-05	0.007976660520297	0.000347838375214	0.187773697918896	0.0006229752652730001	1.8008738041417234e-05	0.07886471844696401	0.049314503858277	0.005704638362802001	0.44629089957689505	0.028112995792357	8.647296418924791e-05	0.06080964392225301	0.0017526209198290002	7.897794130241558e-05	9.378112310152088e-08	6.440435250442315e-06	1.134109259579477e-19	1.182337080219858e-19	0.000199950623437	9.486345525869205e-05	0.13406993116308202	0.032410772650641004	0.024997498117871	0.00011463179603800001	0.008651068532692001	9.38115092359976e-08	5.6187681552562965e-05	7.569012202482605e-05	0.009632965349155	1.4939595280437723e-05	9.379457303934123e-08	0.029177657512475003	0.08856922618578	7.558035217999216e-07	0.080035221336009	0.011430013195097	0.000199920107043	0.0035748395938980005	0.0047929918125140004	0.006388299225136	0.000111976697505	9.13693424810346e-06	0.00017299371940600002
220.0.	0.00614360412222	0.0038600468987490004	6.148161342709105e-05	0.002990336504832	9.131746152940803e-08	0.080351127935833	0.011816416436777001	0.004926979146782	0.011908016143225002	0.000120989140777	0.0072760513246700005	0.000393603952239	0.184809319056459	0.0007269946271240001	2.1495476493893204e-05	0.081599042291739	0.049421941756675004	0.005749362255214	0.44659603430139105	0.030235629648133002	7.43484466816332e-05	0.07160762795421201	0.001797619735441	0.00010073272604000001	9.130109307300316e-08	7.210514158792909e-06	9.303163930318568e-20	9.112594349835017e-20	0.000199967562561	9.381808630414028e-05	0.12862842894548002	0.033760562498776	0.029234887952753003	0.00011758432893700001	0.007758307286939	9.133083832955768e-08	5.6849853065505954e-05	7.514821242004632e-05	0.009872755324272	1.7962901021056524e-05	9.131253149492584e-08	0.033610833054262004	0.08748942165101001	7.375367487650711e-07	0.091076772691582	0.012509835996641001	0.000199947515122	0.0031948217033580003	0.005098820879826001	0.0057385320745570005	0.000114370641464	9.539831695116783e-06	0.000177082460312
231.0.	0.005961677052900001	0.004432844294552	6.0650061980968755e-05	0.0024892547835500003	9.357501830750385e-08	0.08538229823356501	0.012238892371039001	0.003932070159583001	0.012632606103744	0.00016477093229500003	0.006070309012547	0.000426882478568	0.169628682516048	0.0007979055268760001	2.4766873097166224e-05	0.08966440368775301	0.049508001252759004	0.005781415159397001	0.44680601300982703	0.028774782592556003	5.9144220782389456e-05	0.08262987220804101	0.0018478814817410002	0.000136804459811	9.35595088923373e-08	8.384374229728864e-06	5.3082378219181397e-20	5.140525447644771e-20	0.00019997869054900002	9.615032083898718e-05	0.11859890575793201	0.031410986987525	0.031766601204171005	0.00011757744293300001	0.006465565762949	9.358479756292147e-08	5.6012537472813385e-05	7.745695590498139e-05	0.010076762480791	2.043018549948585e-05	9.356785099980266e-08	0.035815059421724006	0.087680185387982	7.58009202144491e-07	0.107651983845056	0.012319051787215	0.00019996552058500002	0.002656673668619	0.005743485271371001	0.0044957532520880005	0.00011406440774900001	1.086807383101079e-05	0.00017988815219300002
242.0.	0.005783219002779	0.0048416243179100005	5.902018156662106e-05	0.0020506412308040002	9.965122942809742e-08	0.09164489476082201	0.012695893432298001	0.0029117931682660003	0.012360939195861	0.000217444734586	0.0050077181961530005	0.00044264778424500006	0.15157075789312202	0.0008100566207230001	2.66013907645003e-05	0.09901058851913801	0.049574913291013004	0.005804101232708	0.446948237961151	0.025048242163443	4.771083353895206e-05	0.088380448732832	0.00188825820812	0.00017794502153600003	9.963823069600807e-08	9.301322230826831e-06	2.7375616857015994e-20	2.7142807777628586e-20	0.00019998600097000002	0.00010102698613700001	0.109090289002054	0.027057183536719	0.031823483016058	0.00011514356006900001	0.005377934652418001	9.965826986959116e-08	5.44513609567545e-05	8.17227867996754e-05	0.010237975145813	2.150426759258552e-05	9.964422391486627e-08	0.035306241454989	0.088844044802648	8.086342689256281e-07	0.12173879802957001	0.011155141747482	0.000199977349093	0.002207142451462	0.00643958223279	0.0033439822367070005	0.00011176606395500001	1.2374514584771862e-05	0.00018149002655600002
253.0.	0.005654429233555001	0.004992834465497	5.7500929070618454e-05	0.001772323876375	1.0705978438157499e-07	0.09680287691447101	0.013039960165477002	0.002203226283293	0.011353458897794001	0.000262823230604	0.004330693636204	0.00044391723957200004	0.136944336657419	0.0007672443212170001	2.6450944428226212e-05	0.106210550583425	0.04962603677852501	0.005820770108931001	0.44704460159887105	0.020878611634832	4.1088862716454885e-05	0.08905008308810501	0.0019088022196420001	0.00021180479182900003	1.0704937960763849e-07	9.632724164760303e-06	1.606001474829461e-20	1.653097017772865e-20	0.000199990803477	0.000106526917823	0.10241044462700301	0.022528021345291003	0.029823167978914003	0.000111732493387	0.004704004168882001	1.070652390586387e-07	5.2996433087060875e-05	8.623766608298409e-05	0.010362522347633001	2.106072419672033e-05	1.0705401379931649e-07	0.032740722526512	0.090395723644711	8.688873518152343e-07	0.13029871176787902	0.009603402652336	0.00019998511971300003	0.0019298331191190002	0.0069727063543660005	0.002575723130847	0.00010869722849300001	1.3453463718738091e-05	0.00018233182193300003
264.0.	0.005547496229850001	0.004931061121303	5.6520779674164756e-05	0.0016476234372460002	1.134717479634952e-07	0.09981177008860201	0.013202581147748001	0.0018261483101350002	0.010044719880687001	0.00028636671437000003	0.004024950205628	0.000435889427092	0.12763666514722102	0.0006923488692600001	2.4655522495709564e-05	0.10990885036021	0.049665014531577005	0.005833774317682	0.44711067468067905	0.017403236672010002	3.8443160230280295e-05	0.08679241208912901	0.001907929114982	0.00022851672619600001	1.1346322807272419e-07	9.476936647785644e-06	1.1952089019615749e-20	1.2791230729242959e-20	0.000199993958436	0.00011106253599400001	0.09880806315298	0.018894060021163003	0.026746808245230003	0.00010855589623100001	0.00442186416723	1.1347647789314079e-07	5.200207033356071e-05	8.967909817151782e-05	0.010462930571826	1.9549655845303652e-05	1.1346723291853619e-07	0.029213725971378002	0.09185191464509	9.201975724525983e-07	0.133661856781745	0.008147160341737	0.000199990224545	0.001814991770658	0.007256326724195	0.002184488956981	0.00010580434551200001	1.3943226305115603e-05	0.000182886577554
275.0.	0.00545573339125	0.004735387786677	5.6116237430705647e-05	0.0016556519124780002	1.175534216942669e-07	0.10060006545680701	0.013183395043559	0.001717343402141	0.008807874100419001	0.000281467733343	0.004039682734982	0.00042324679231400006	0.12379765709937202	0.00061067888946	2.2013220075626594e-05	0.11023254594046801	0.049695113639029	0.005844655792817	0.44715713264406703	0.015083797954915	3.9123687627682894e-05	0.08304437305350701	0.0018895973988420002	0.00022421876111600002	1.1754597353789939e-07	9.054764391916492e-06	1.155130249906745e-20	1.2805537302218749e-20	0.00019999603105500002	0.00011384989577700001	0.09813639232827201	0.016582409501880002	0.023533254409646	0.000106233791919	0.0044832071453990005	1.175580741653668e-07	5.1498535795826706e-05	9.147325457827572e-05	0.010551115757513	1.759096062342689e-05	1.175498930332619e-07	0.02570475889778	0.092939566142317	9.522096273153767e-07	0.132707550980936	0.007059476832455	0.000199993578112	0.001842920997912	0.00729135665025	0.002101866675722	0.00010362267567	1.3938425424200661e-05	0.00018348990061000002
