time	M	MStar	T	TStar	V
3102.0.5.0	8388.13489210602	293.7780511517111	47.612595182273246	25.452776971063372	4678.751310087537
3139.0.	8916.166990013595	351.58042452738044	40.320087147469664	25.42580932543969	5519.0141936388145
3175.0.5.0	9469.40821444907	425.153459102642	33.73074717038907	25.392491475309992	6588.417027164593
3212.0.	10043.635447745532	519.8129696839882	27.861892115946187	25.354605480589967	7964.226942001309
3248.0.5.0	10631.882999456364	642.9063220711962	22.714711900989293	25.313975578398722	9753.225369206857
3285.0.	11223.312329576014	804.6134399724042	18.274073104082966	25.272368657469205	12103.34700307861
3321.0.5.0	11801.690592940886	1019.0135204569707	14.50929451818365	25.23139991746194	15219.188154495956
3358.0.	12343.43709164328	1305.418114153993	11.37586941522576	25.19245262432629	19381.407294502875
3394.0.5.0	12815.336232729507	1689.8344578984031	8.818017133362966	25.156618964282607	24968.067391001052
3431.0.	13172.361207650549	2206.1049317773277	6.771862580379806	25.124666452896232	32471.371318972164
3467.0.5.0	13356.745572525322	2895.656964094299	5.168976304382125	25.09703152232313	42494.379060632986
3504.0.	13300.53308189489	3803.880112697293	3.93996820466741	25.073839170862197	55698.94853598629
3540.0.5.0	12934.90534118245	4970.371362801623	3.017822058246693	25.054945074540424	72664.72151897357
3577.0.	12209.080200938224	6411.129783644452	2.340689510293076	25.039994562542113	93630.77272363131
3613.0.5.0	11116.833468840025	8095.584050876022	1.85392996032303	25.028491332165192	118160.76540863153
3650.0.	9719.040685528496	9930.256062092862	1.511280457716194	25.019867925694374	144902.19578615902
