time	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s27	s28	s19	s20	s21	s22	s23	s24	s25	s26	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	nnamed: 5
48	1.1006200000000002	1.10071	1.1006799999999999	1.1006200000000002	1.1006200000000002	1.10186	1.10107	1.10077	1.10074	1.10138	1.10227	1.10227	1.10127	1.10277	1.1033600000000001	1.10297	1.10372	1.1048200000000001	1.10608	1.1072600000000001	1.1040299999999998	1.1057700000000001	1.10477	1.10477	1.10477	1.10477	1.10477	1.10479	1.10764	1.10661	1.1071	1.1069	1.10755	1.10769	1.10703	1.10742	1.10788	1.10786	1.10748	1.10766	1.10713	1.1074700000000002	1.10713	1.1074700000000002	1.10724	1.10753	1.10703	1.10742	1.10761	1.10772	1.10761	1.10772	1.10754	1.10754	1.10754	1.10754	1.1076	
51	1.10179	1.10186	1.10184	1.10179	1.10179	1.1027200000000001	1.1021299999999998	1.10191	1.10188	1.10236	1.10303	1.10303	1.10228	1.1034	1.10384	1.10355	1.1041100000000001	1.10493	1.10588	1.10676	1.1043399999999999	1.10564	1.1049	1.1049	1.1049	1.1049	1.1049	1.10491	1.10704	1.10627	1.10663	1.10649	1.10697	1.1070799999999998	1.10659	1.1068799999999999	1.10722	1.10721	1.1069200000000001	1.10705	1.10666	1.10691	1.10666	1.10691	1.10674	1.10696	1.10659	1.1068799999999999	1.10701	1.1071	1.10701	1.1071	1.10697	1.10697	1.10697	1.10697	1.10701	
54	1.10267	1.1027200000000001	1.1027	1.10267	1.10267	1.1033600000000001	1.1029200000000001	1.10275	1.10274	1.10309	1.10359	1.10359	1.10303	1.1038700000000001	1.1042	1.10398	1.1044	1.1050200000000001	1.10572	1.10638	1.10458	1.10555	1.10499	1.10499	1.10499	1.10499	1.10499	1.105	1.10659	1.10602	1.10629	1.10618	1.1065399999999999	1.1066200000000002	1.10625	1.10647	1.10673	1.1067200000000001	1.1065	1.1066	1.1063100000000001	1.1065	1.1063100000000001	1.1065	1.10637	1.10653	1.10625	1.10647	1.10657	1.10664	1.10657	1.10664	1.1065399999999999	1.1065399999999999	1.1065399999999999	1.1065399999999999	1.10657	
57	1.10332	1.1033600000000001	1.10335	1.10332	1.10332	1.10384	1.10351	1.1033899999999999	1.10337	1.10364	1.10401	1.10401	1.10359	1.10422	1.10447	1.1043	1.1046200000000002	1.1050799999999998	1.10561	1.1061	1.10475	1.1054700000000002	1.10506	1.10506	1.10506	1.10506	1.10506	1.10506	1.10626	1.1058299999999999	1.1060299999999998	1.10595	1.10622	1.10628	1.1059999999999999	1.10616	1.10636	1.10635	1.10619	1.10626	1.10604	1.10619	1.10604	1.10619	1.10609	1.1062100000000001	1.1059999999999999	1.10616	1.10624	1.10629	1.10624	1.10629	1.1062100000000001	1.1062100000000001	1.1062100000000001	1.1062100000000001	1.10624	
60	1.10381	1.10384	1.1038299999999999	1.10381	1.10381	1.1042	1.10395	1.10386	1.10385	1.10405	1.10433	1.10433	1.10402	1.10448	1.10467	1.10455	1.1047799999999999	1.10513	1.10552	1.10589	1.1048799999999999	1.10542	1.10511	1.10511	1.10511	1.10511	1.10511	1.10511	1.10601	1.10568	1.10584	1.1057700000000001	1.10598	1.10602	1.10582	1.10594	1.10608	1.10608	1.10596	1.10601	1.10585	1.10595	1.10585	1.10595	1.10588	1.1059700000000001	1.10582	1.10594	1.10599	1.1060299999999998	1.10599	1.1060299999999998	1.1059700000000001	1.1059700000000001	1.1059700000000001	1.1059700000000001	1.10599	
63	1.10418	1.1042	1.10419	1.10418	1.10418	1.10447	1.10428	1.10422	1.1042100000000001	1.10436	1.10456	1.10456	1.10433	1.1046799999999999	1.1048200000000001	1.10473	1.1049	1.1051600000000001	1.10545	1.1057299999999999	1.1049799999999999	1.10538	1.10515	1.10515	1.10515	1.10515	1.10515	1.10515	1.10582	1.10558	1.10569	1.10565	1.1058	1.1058299999999999	1.10568	1.1057700000000001	1.1058700000000001	1.1058700000000001	1.10578	1.10582	1.1057	1.10578	1.1057	1.10578	1.10572	1.10579	1.10568	1.1057700000000001	1.10581	1.10584	1.10581	1.10584	1.10579	1.10579	1.10579	1.10579	1.10581	
66	1.10445	1.10447	1.10446	1.10445	1.10445	1.10467	1.10453	1.10448	1.10447	1.10459	1.10474	1.10474	1.10457	1.10483	1.10493	1.10486	1.10499	1.10519	1.10541	1.10561	1.10505	1.10535	1.1051799999999998	1.1051799999999998	1.1051799999999998	1.1051799999999998	1.1051799999999998	1.1051799999999998	1.10568	1.1055	1.10558	1.10555	1.10566	1.10569	1.1055700000000002	1.10564	1.10572	1.10572	1.10565	1.10568	1.10559	1.10565	1.10559	1.10565	1.10561	1.10566	1.1055700000000002	1.10564	1.1056700000000002	1.10569	1.1056700000000002	1.10569	1.10566	1.10566	1.10566	1.10566	1.1056700000000002	
69	1.10466	1.10467	1.10467	1.10466	1.10466	1.1048200000000001	1.1047200000000001	1.1046799999999999	1.10467	1.10476	1.10487	1.10487	1.10474	1.10494	1.1050200000000001	1.10496	1.10506	1.10521	1.10537	1.10552	1.1051	1.10533	1.1052	1.1052	1.1052	1.1052	1.1052	1.1052	1.1055700000000002	1.10544	1.1055	1.10548	1.10556	1.10558	1.1054899999999999	1.10554	1.1056	1.1056	1.10555	1.10558	1.10551	1.10555	1.10551	1.10555	1.10552	1.10556	1.1054899999999999	1.10554	1.1055700000000002	1.10558	1.1055700000000002	1.10558	1.10556	1.10556	1.10556	1.10556	1.1055700000000002	
72	1.10481	1.1048200000000001	1.1048200000000001	1.10481	1.10481	1.10493	1.10485	1.10483	1.1048200000000001	1.1048799999999999	1.10497	1.10497	1.10487	1.1050200000000001	1.1050799999999998	1.10504	1.10511	1.10522	1.10534	1.10546	1.10514	1.10531	1.10522	1.10522	1.10522	1.10522	1.10522	1.10522	1.1055	1.1053899999999999	1.10544	1.10542	1.1054899999999999	1.1055	1.10544	1.1054700000000002	1.10552	1.10552	1.10548	1.1055	1.10545	1.10548	1.10545	1.10548	1.10546	1.10548	1.10544	1.1054700000000002	1.1054899999999999	1.1055	1.1054899999999999	1.1055	1.1054899999999999	1.1054899999999999	1.1054899999999999	1.1054899999999999	1.1054899999999999	
75	1.1049200000000001	1.10493	1.10493	1.1049200000000001	1.1049200000000001	1.1050200000000001	1.10496	1.10494	1.10493	1.1049799999999999	1.10505	1.10505	1.10497	1.1050799999999998	1.10512	1.1051	1.10515	1.10523	1.10532	1.10541	1.10517	1.1053	1.10523	1.10523	1.10523	1.10523	1.10523	1.10523	1.10544	1.1053600000000001	1.1054	1.10538	1.10543	1.10544	1.1053899999999999	1.10542	1.10545	1.10545	1.10543	1.10544	1.1054	1.10542	1.1054	1.10542	1.10541	1.10543	1.1053899999999999	1.10542	1.10543	1.10544	1.10543	1.10544	1.10543	1.10543	1.10543	1.10543	1.10543	
