time	x1	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x2	x20	x21	x22	x23	x24	x25	x3	x4	x5	x6	x7	x8	x9	nnamed: 2
156000	0.143843	1.26846e-309	-2.818959999999999e-60	-2.0596199999999988e-241	-2.630899999999999e-243	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9297	1.77547e-29	2.0818999999999986e-308	0.00205408	0.07	0.8	0	2721.67	9.8e-322	0.263521	0.07675019999999999	2291.81	8.15606e-27	-1.6892700000000002e-26	
162000	0.143844	4.14277e-313	1.4338299999999997e-61	-6.768209999999998e-242	-8.645479999999995e-244	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9301	-9.87146e-31	1.0081e-311	0.00205408	0.07	0.8	0	2721.69	-0.0	0.263521	0.07538660000000001	2335.99	-3.5617099999999997e-28	-1.0696700000000002e-26	
168000	0.143845	8.04444e-318	4.45669e-62	-1.0602199999999994e-244	-1.3542899999999994e-246	90.0963	1.5	15.0	0.0	0.2	0.5	32.9305	-4.17895e-35	2.21201e-316	0.00205408	0.07	0.8	0	2721.7	-5e-324	0.263521	0.0740966	2379.37	-2.9795099999999996e-30	-3.6110499999999997e-28	
174000	0.143846	-1.69e-321	-5.781919999999999e-63	1.471379999999999e-247	1.8794999999999991e-249	90.0963	1.5	15.0	0.0	0.2	0.5	32.9308	2.26141e-34	-5.332e-320	0.00205408	0.07	0.8	0	2721.72	-0.0	0.263521	0.0728738	2421.98	1.31513e-29	-3.52356e-27	
180000	0.143846	1.5e-323	3.3816399999999996e-64	-1.486109999999999e-249	-1.898309999999999e-251	90.0963	1.5	15.0	0.0	0.2	0.5	32.9311	3.56554e-31	4.6e-322	0.00205408	0.07	0.8	0	2721.73	-0.0	0.263521	0.07171260000000002	2463.86	1.5655699999999999e-28	-6.973499999999999e-27	
186000	0.143847	-5e-324	1.8709699999999998e-65	8.361049999999995e-252	1.0680099999999994e-253	90.0963	1.5	15.0	-5e-324	0.2	0.5	32.9315	-2.8949699999999998e-36	-1.53e-322	0.00205408	0.07	0.8	0	2721.74	-5e-324	0.263521	0.070608	2505.05	1.64342e-29	1.91657e-28	
192000	0.143848	-5e-324	-1.2007699999999997e-65	-2.3611399999999988e-254	-3.016049999999998e-256	90.0963	1.5	15.0	0.0	0.2	0.5	32.9318	5.8158e-36	-1.04e-322	0.00205408	0.07	0.8	0	2721.76	5e-324	0.263521	0.06955549999999999	2545.58	-3.71513e-29	1.53104e-27	
198000	0.143849	0.0	2.1847799999999995e-67	8.903249999999996e-257	1.1372699999999994e-258	90.0963	1.5	15.0	-5e-324	0.2	0.5	32.9321	2.76734e-32	-9e-323	0.00205408	0.07	0.8	0	2721.77	0.0	0.263521	0.0685511	2585.48	8.52158e-30	8.82728e-29	
204000	0.14385	1e-323	3.5432099999999995e-67	1.629189999999999e-258	2.0810799999999988e-260	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9323	-2.80597e-35	2.1e-322	0.00205408	0.07	0.8	0	2721.78	0.0	0.263521	0.0675913	2624.79	1.3469799999999998e-29	-1.8464499999999998e-28	
210000	0.14385	-5e-324	-2.1848699999999997e-67	3.958359999999998e-262	5.056289999999997e-264	90.0963	1.5	15.0	0.0	0.2	0.5	32.9326	1.37202e-34	-3.5e-323	0.00205408	0.07	0.8	0	2721.79	-0.0	0.263521	0.066673	2663.52	-1.5265e-29	1.2085099999999998e-27	
