time	Cdiff	Commensal_Beneficial	Commensal_Dead	tDC_LP	tDC_MLN	Commensal_Harmful	N_Lum	E	E_d	E_i	M_LP	eDC_LP	Th17_LP	Th1_LP	iTreg_LP	eDC_MLN	iTreg_MLN	Th17_MLN	Th1_MLN	nnamed: 2
57.4	5.233159999999998e-282	26715500000.0	52757.9	6.208599999999999e-63	4.5084699999999995e-64	74857200.0	-2.20693e-10	1052500.0	-6.816080000000001e-10	6.924810000000001e-48	-2.5876200000000004e-08	-3.0404499999999993e-142	-6.753569999999999e-39	4.100609999999999e-21	2.83336e-07	-1.5160299999999995e-144	1.3138699999999997e-62	2.2571699999999998e-50	1.1192600000000001e-32	
58.8	-2.6069499999999987e-303	26715500000.0	37197.9	3.7475699999999996e-65	2.7213599999999994e-66	66960300.0	-1.08526e-10	1052500.0	-3.3518099999999993e-10	2.0911100000000002e-49	-1.2724600000000001e-08	-2.486039999999999e-150	-4.2880699999999995e-40	1.01822e-21	1.3933e-07	-1.2395999999999997e-152	7.930629999999998e-65	6.77283e-52	1.4515799999999998e-33	
60.2	-6.04e-321	26715500000.0	26227.0	2.26207e-67	1.6426399999999998e-68	59896500.0	-5.33677e-11	1052500.0	-1.6482499999999997e-10	6.31461e-51	-6.2573299999999995e-09	-1.2282699999999998e-158	-4.69487e-40	2.52833e-22	6.85157e-08	-6.124399999999998e-161	4.786999999999999e-67	2.03225e-53	1.88257e-34	
61.6	1.4437e-320	26715500000.0	18491.8	1.36541e-69	9.915109999999999e-71	53577900.0	-2.62436e-11	1052500.0	-8.10529e-11	1.9068499999999997e-52	-3.0770500000000002e-09	1.911889999999999e-167	-1.4553799999999997e-40	6.27809e-23	3.3692599999999994e-08	9.533099999999997e-170	2.8894799999999997e-69	6.09794e-55	2.4415299999999996e-35	
63.0	5.637e-321	26715500000.0	13038.0	8.241719999999997e-72	5.984849999999999e-73	47925900.0	-1.29053e-11	1052500.0	-3.98578e-11	5.758189999999999e-54	-1.51314e-09	9.288459999999997e-175	-2.6282100000000003e-41	1.55891e-23	1.65684e-08	4.631429999999999e-177	1.7441199999999996e-71	1.8297400000000001e-56	3.16644e-36	
64.4	-3.646e-321	26715500000.0	9192.68	4.9747799999999995e-74	3.6125099999999993e-75	42870100.0	-6.34618e-12	1052500.0	-1.96001e-11	1.7388200000000003e-55	-7.44086e-10	8.798269999999997e-183	5.343429999999999e-41	3.87092e-24	8.147499999999999e-09	4.3870099999999986e-185	1.0527699999999997e-73	5.4903e-58	4.10659e-37	
65.8	-8.577e-321	26715500000.0	6481.46	3.002819999999999e-76	2.18055e-77	38347600.0	-3.1207299999999998e-12	1052500.0	-9.63835e-12	5.25079e-57	-3.65905e-10	4.421589999999998e-191	1.36919e-41	9.61185e-25	4.00654e-09	2.204699999999999e-193	6.354589999999999e-76	1.6474099999999998e-59	5.32589e-38	
67.2	5.09e-321	26715500000.0	4569.87	1.8125299999999994e-78	1.3162e-79	34302200.0	-1.53462e-12	1052500.0	-4.73966e-12	1.5856e-58	-1.7993400000000003e-10	5.871389999999997e-200	-2.77937e-42	2.38671e-25	1.97021e-09	2.9275999999999985e-202	3.8356899999999995e-78	4.943209999999999e-61	6.9072e-39	
68.6	-7.796e-321	26715500000.0	3222.07	1.0940599999999998e-80	7.944699999999999e-82	30683600.0	-7.54651e-13	1052500.0	-2.33073e-12	4.7880999999999993e-60	-8.84825e-11	-1.730849999999999e-207	3.67152e-43	5.92643e-26	9.68854e-10	-8.630409999999996e-210	2.3152599999999993e-80	1.4832499999999996e-62	8.958019999999999e-40	
70.0	-2.703e-321	26715500000.0	2271.78	6.603859999999999e-83	4.795499999999999e-84	27446800.0	-3.711e-13	1052500.0	-1.14614e-12	1.4458799999999998e-61	-4.35113e-11	-2.097209999999999e-215	-5.557399999999999e-43	1.47159e-26	4.76434e-10	-1.0457199999999995e-217	1.3975099999999998e-82	4.45063e-64	1.16178e-40	
