time	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
612.0.	3.5469134037089116e-10	1.5600414703575649e-10	1.8403620160186664e-12	7.283400129662631e-16	7.874126826634681e-10	9.689974132490844e-11	6.050487156556487e-13	4.019045237263768e-12	9.96342771314384e-10	5.043898401869951e-11	4.549178702833533e-13	2.249119012581115e-11	1.099686938750593e-14	3.8692738757785065e-16	4.938125277041881e-13	3.265691430805212e-08	5.595078301561099e-09	6.362061197413285e-11	5.17421891116652e-12	4.118506255830367e-10	4.1158345264532283e-10	2.017629780539492e-11	1.5208402132897161e-09	2.8273957265133136e-09	1.120949245451101e-12	1.5442779054396987e-07	9.882124368596991e-10	1.5060819478995818e-07	7.636324866629864e-09	9.253936082275286e-15
624.0.	3.54691340370891e-10	1.5599930651164792e-10	1.844960858313002e-12	7.305947682350682e-16	7.940126867223205e-10	9.804275718310223e-11	6.181176323343477e-13	4.1032677400543075e-12	1.003803379570981e-09	5.0818447671558614e-11	3.568793234196818e-13	2.263358544895313e-11	1.1074053892408739e-14	3.895136517758467e-16	4.968514889416779e-13	3.154487255089806e-08	5.511009763224525e-09	6.32020836217701e-11	5.120860092947181e-12	4.03242638249305e-10	4.05754102896543e-10	1.987071843384568e-11	1.4690499938349232e-09	2.8213047858019763e-09	1.119299400573051e-12	1.5567072826581748e-07	1.00659707206291e-09	1.5180304792133257e-07	7.696701501750094e-09	7.25859378776175e-15
636.0.	3.54691340370891e-10	1.559944121276526e-10	1.8495877715606783e-12	7.328648554807178e-16	8.003867047701103e-10	9.916869330783345e-11	6.310989315048863e-13	4.186275176245861e-12	1.0110314263642922e-09	5.118607858547062e-11	2.8092975600213814e-13	2.276878368293869e-11	1.1147784029130609e-14	3.9198266578624344e-16	4.997493798367425e-13	3.047068374316389e-08	5.430123304175071e-09	6.277714662278982e-11	5.067181014247174e-12	3.949438770704894e-10	3.998464982727803e-10	1.95626475996963e-11	1.4190231609804892e-09	2.815184162685599e-09	1.117641305174937e-12	1.5687118628162158e-07	1.0247001351394991e-09	1.5295716836054898e-07	7.755019860202612e-09	5.712813549836235e-15
648.0.	3.54691340370891e-10	1.559894690374814e-10	1.854241298987394e-12	7.351495742244145e-16	8.065424262369321e-10	1.0027819373521002e-10	6.439913859645234e-13	4.268052677998451e-12	1.018034829871733e-09	5.154227965041385e-11	2.2209833008618662e-13	2.289696517454958e-11	1.121814556253171e-14	3.94336378451195e-16	5.02506459439385e-13	2.9433062983829413e-08	5.352289322135136e-09	6.234670426504536e-11	5.013263798914922e-12	3.8694273720787693e-10	3.938726594917505e-10	1.9252606187574497e-11	1.370699746654265e-09	2.8090356762145802e-09	1.115975387946991e-12	1.580306326951326e-07	1.0425208222993021e-09	1.540719545591275e-07	7.811350609906718e-09	4.51542747586886e-15
660.0.	3.546913403708908e-10	1.559844814503946e-10	1.8589200220341778e-12	7.374482421676154e-16	8.124872795456227e-10	1.013718763406489e-10	6.567939495994094e-13	4.348587785841101e-12	1.024821236609425e-09	5.188743993295646e-11	1.76532922766541e-13	2.3018322076791402e-11	1.128522959720061e-14	3.965771779332408e-16	5.051240748667533e-13	2.84307681946792e-08	5.2773840515821135e-09	6.191160579873346e-11	4.9591853857803595e-12	3.79228080954384e-10	3.8784388178055693e-10	1.894108259933673e-11	1.3240218063820302e-09	2.802861053932916e-09	1.1143020507853928e-12	1.591504841239549e-07	1.0600587054395601e-09	1.551487562296917e-07	7.865761955686448e-09	3.5880360693856254e-15
672.0.	3.5469134037089074e-10	1.559794528369829e-10	1.863622562288391e-12	7.397601960598555e-16	8.18228441034722e-10	1.024503340341131e-10	6.695057463585614e-13	4.427870300489534e-12	1.0313980311065589e-09	5.222193516859012e-11	1.412477066904297e-13	2.313305386802038e-11	1.134913051580249e-14	3.9870776209388e-16	5.076043760397773e-13	2.7462598839529503e-08	5.2052892664403856e-09	6.147264926392085e-11	4.905017795981773e-12	3.717892167346703e-10	3.817707707685429e-10	1.862853438335527e-11	1.278933353020769e-09	2.7966619408612833e-09	1.112621672401196e-12	1.602321075922595e-07	1.0773137073346231e-09	1.561888761325567e-07	7.91831972957096e-09	2.8698709194959822e-15
684.0.	3.546913403708908e-10	1.559743860876163e-10	1.868347582684989e-12	7.420847922321687e-16	8.237728431282044e-10	1.035141358476158e-10	6.821260601217437e-13	4.5058921462328154e-12	1.0377723447266222e-09	5.254612821064551e-11	1.1392902664294672e-13	2.3241363952367057e-11	1.140994441645128e-14	4.007310396094578e-16	5.099500973186979e-13	2.6527394719618013e-08	5.1358920093713566e-09	6.103058407049396e-11	4.850828377941832e-12	3.6461587996649167e-10	3.756632754855354e-10	1.831538973222229e-11	1.235380295568033e-09	2.7904399067215982e-09	1.1109346111619148e-12	1.612768222571945e-07	1.0942860787496721e-09	1.571935717041754e-07	7.969087473101507e-09	2.313843847949551e-15
696.0.	3.546913403708908e-10	1.559692836366626e-10	1.873093788008529e-12	7.444214068080927e-16	8.291271827608153e-10	1.0456382801761331e-10	6.946543247572542e-13	4.582647236620504e-12	1.0439510646961211e-09	5.2860369489761826e-11	9.278358109231846e-14	2.334345707397192e-11	1.1467767925865831e-14	4.0265005387886515e-16	5.121643883211487e-13	2.5624034689724453e-08	5.069084324847714e-09	6.058611354320849e-11	4.7966800501125226e-12	3.576982139609511e-10	3.695307212694741e-10	1.800204897452665e-11	1.1933103753894581e-09	2.784196452073111e-09	1.1092412074153431e-12	1.622859011698215e-07	1.110976376033672e-09	1.581640567178668e-07	8.018126521268805e-09	1.8834570583225663e-15
708.0.	3.546913403708909e-10	1.559641475582268e-10	1.877859924993718e-12	7.467694357315044e-16	8.342979291748446e-10	1.0559993497830512e-10	7.070901149274628e-13	4.658131349924584e-12	1.049940842432944e-09	5.3164997437713306e-11	7.642164677483753e-14	2.343953737528932e-11	1.1522697309392009e-14	4.0446792530215347e-16	5.142506848255296e-13	2.4751435449613953e-08	5.004763014194965e-09	6.013989726016271e-11	4.7426315250232516e-12	3.510267523598157e-10	3.6338184024605854e-10	1.768888595637494e-11	1.152673106873265e-09	2.7779330133497383e-09	1.107541785343181e-12	1.632605728993238e-07	1.1273854403422281e-09	1.5910150281490328e-07	8.065496079897616e-09	1.5504264907485462e-15
720.0.	3.54691340370891e-10	1.559589796408762e-10	1.882644782053579e-12	7.491282946235855e-16	8.39291331608658e-10	1.066229603193929e-10	7.194331372744616e-13	4.732342009553308e-12	1.05574810172261e-09	5.3460338903491465e-11	6.376622565066897e-14	2.3529806944337307e-11	1.1574827806532551e-14	4.061878073580878e-16	5.162126095988354e-13	2.390855033138414e-08	4.94282940121711e-09	5.969255330034492e-11	4.688737525316007e-12	3.445924021890673e-10	3.5722480083422526e-10	1.7376249377828088e-11	1.1134197185739901e-09	2.771650967168492e-09	1.105836654484304e-12	1.642020231237882e-07	1.143514377732652e-09	1.600070410039146e-07	8.111253301429196e-09	1.2928327558412961e-15
