time	PX	PY	PZ	X	Y	Z
740.0.	2345.914153947253	274.1494672838002	68.56150336545963	27.094376709651232	0.117860257833425	1.394881352140158
750.0.	1974.0149098994173	142.79118147405399	181.11921672555314	8.048665507218612	0.11700813348828801	4.74679690918366
760.0.	1152.706999282644	78.26017664911667	556.420072011382	1.206834295497634	0.16418936380602	14.12922634777493
770.0.	601.8238458084384	51.74873771539175	1398.0846246649398	0.236366436800778	0.36216737125937004	28.84750771414769
780.0.	308.6575933402645	61.054249709454254	2279.549949951055	0.12263841764701901	1.121619771695275	29.84471866857781
790.0.	160.06489864202402	148.57983533790983	2111.0769440276867	0.114501884335828	3.830690269043753	10.762925681345232
800.0.	86.49745578546464	458.57156693841597	1285.534544657839	0.14979392634142003	11.861104333303714	1.711096326098
810.0.	54.1790954006997	1217.5076655666387	677.5881173225223	0.304627737720437	26.44236844913802	0.29598641880195603
820.0.	55.78024631353704	2173.616436590081	347.6371515510141	0.9044627453089821	31.727390723603317	0.129803079262551
830.0.	122.70295411914866	2226.992384503929	179.64116529954697	3.082062413165803	14.001692311871876	0.11314556541545501
840.0.	376.01442488957605	1427.9070191787005	95.98812464705875	9.85488357467051	2.43096375119269	0.138689821015185
850.0.	1046.6962974439762	762.3808413835868	57.604562282254356	23.77010080058169	0.38369981295266203	0.259468847433628
860.0.	2035.096387727775	391.6381435046329	52.36934094395899	32.64511646584625	0.14029236481023402	0.732357268187776
870.0.	2312.7528940698885	201.80762109467125	102.33453947362817	17.639571612161586	0.112881245996927	2.474837136729366
880.0.	1577.7710085073447	106.8580032542749	307.2649451592784	3.44121825205217	0.130202909267675	8.11647898712658
890.0.	856.9382848203721	62.010496149507624	889.4217154471087	0.512844628146481	0.224085724115024	20.989951647899748
900.0.	441.26835821749927	50.534301368656415	1872.4458503558192	0.155535262558702	0.596265820596646	32.609403510274056
910.0.	226.89031664032976	86.4953527331511	2360.5223312847447	0.113740246962688	1.985319613010856	21.44324265426414
920.0.	119.25747682846284	250.66984868964096	1731.7407513274072	0.12381406716925901	6.6359040446510935	4.827783332425744
930.0.	67.41102535270039	747.9950406957217	961.8825703729418	0.19641469725257402	18.23690861592315	0.7027175650407781
940.0.	50.057499334093954	1694.523363288974	497.1928389210401	0.48886087538064105	31.712845892401777	0.177689292126047
950.0.	74.37006904866041	2365.0752346971985	255.2573820974033	1.592685644383454	25.09940503025587	0.115858991559053
960.0.	204.5585989874633	1884.8325643987205	133.36282484883628	5.392966667455191	6.677445704758189	0.11913104121261701
970.0.	623.4393307600147	1077.6142897185205	73.84643489344765	15.615948647646299	0.9807548359166641	0.17482575710209503
980.0.	1509.7732149272576	560.129542651867	50.77956181660596	30.098999489123493	0.20999425248496903	0.404240220462087
990.0.	2324.8156330413017	287.3229303347295	65.29063537644275	28.277754076012968	0.119509134207606	1.2790760993529942
1000.0.	2030.3586997542536	149.37806574789832	167.34530458672697	9.058096504853802	0.115867725294424	4.361976761830693
