time	A	I1	I2	S
39.0.6.0	1715.3751762112272	7568.204004845851	2363.5862527206777	2152.993656055361
40.0.199999999999996.0	1715.5621402801817	7565.975276314321	2369.8484865242976	2153.859087314252
40.0.8.0	1715.7430646724529	7563.823184500672	2375.8990156865248	2154.6952661759597
41.0.4.0	1715.9181367119843	7561.7451164208815	2381.7448749794503	2155.5031615044304
42.0.	1716.0875377742348	7559.7385439564305	2387.392874165818	2156.283711791057
42.0.6.0	1716.2514435893233	7557.80102180215	2392.84960452739	2157.0378259354447
43.0.199999999999996.0	1716.4100245084264	7555.930185346608	2398.1214452614568	2157.766384026411
43.0.8.0	1716.5634457393826	7554.123748508508	2403.2145697420965	2158.4702381200877
44.0.4.0	1716.7118675565057	7552.379501548621	2408.134951643708	2159.1502130124722
45.0.	1716.8554454888174	7550.695308873352	2412.8883709250736	2159.8071070042197
45.0.6.0	1716.9943304902058	7549.069106843226	2417.480419672927	2160.4416926558347
46.0.199999999999996.0	1717.1286690944655	7547.498901597132	2421.9165078045726	2161.054717531754
46.0.8.0	1717.258603557676	7545.982766901124	2426.2018686295924	2161.646904932065
47.0.4.0	1717.3842719899599	7544.518842028838	2430.3415642711275	2162.2189546108752
48.0.	1717.5058084783393	7543.105329679201	2434.3404909476026	2162.7715434805373
48.0.6.0	1717.6233432020863	7541.740493935752	2438.2033841160537	2163.3053263010984
49.0.199999999999996.0	1717.737002541751	7540.422658271033	2441.934823478525	2163.8209363545247
49.0.8.0	1717.846909182822	7539.150203598497	2445.5392378532156	2164.3189861033534
50.0.4.0	1717.9531822148172	7537.921566373792	2449.020909912254	2164.8000678335534
51.0.	1718.0559372264547	7536.7352367465855	2452.3839807881545	2165.2647542814548
51.0.6.0	1718.1552863974318	7535.589756763656	2455.6324545511347	2165.713599244708
52.0.199999999999996.0	1718.2513385872471	7534.483718623551	2458.770202559594	2166.1471381772767
52.0.8.0	1718.3441994214127	7533.415762982774	2461.800967686147	2166.5658887685527
53.0.4.0	1718.43397137534	7532.3845773132025	2464.7283684216663	2166.970351506708
54.0.	1718.5207538561242	7531.388894310169	2467.555902859865	2167.361010226452
54.0.6.0	1718.6046432824041	7530.427490350555	2470.286952564977	2167.7383326413847
55.0.199999999999996.0	1718.6857331624465	7529.49918399998	2472.924786325124	2168.102770861187
55.0.8.0	1718.7641141705558	7528.602834568164	2475.47256379398	2168.4547618938873
56.0.4.0	1718.8398742219076	7527.737340711394	2477.933339023369	2168.794728133468
57.0.	1718.9130985458646	7526.901639080985	2480.310063889392	2169.1230778331064
57.0.599999999999994.0	1718.9838697578298	7526.09470301657	2482.6055914147146	2169.4402055643372
58.0.199999999999996.0	1719.052267929675	7525.315541283035	2484.822678989606	2169.746492662445
58.0.8.0	1719.1183706587758	7524.563196849875	2486.96399149432	2170.042307658384
59.0.4.0	1719.182253135671	7523.836745711761	2489.032104325358	2170.3280066975617
60.0.	1719.243988210368	7523.135295749099	2491.029506328156	2170.6039339457807
