time	EC	Fraction_Inactive_Channels	Rho	Y	Z
9.0.959999999999999.0	-0.17611416437999303	-0.292844248916379	0.292844248916379	0.300564622757575	0.235549541622418
10.0.08.0	-0.166481526799544	-0.36433948252292103	0.36433948252292103	0.356462809718456	0.170018717081088
10.0.2.0	-0.265946472226311	-0.6062873519102201	0.6062873519102201	0.550860952337307	0.07508551988900401
10.0.32.0	-0.41842370963740505	-0.7748238554810001	0.7748238554809991	0.7034143860247021	0.075009323612704
10.0.44.0	-0.5632478627664891	-0.8611368111876321	0.8611368111876321	0.838870497293785	0.08437736547270401
10.0.559999999999999.0	-0.690687573226279	-0.8900262523615661	0.8900262523615661	0.9388497522011171	0.11183782102516301
10.0.68.0	-0.610624470630041	-0.164568073269265	0.164568073269265	0.761832864196736	0.20879160643330502
10.0.799999999999999.0	-0.6096301686864011	-0.253585393386466	0.253585393386466	0.664146634743846	0.305483533942555
10.0.92.0	-0.5385486320397791	-0.23970252055872202	0.23970252055872202	0.6799753554266551	0.218573276613123
11.0.04.0	-0.47136502970456806	-0.18134575079738302	0.18134575079738302	0.5861514849292431	0.24521354477532703
11.0.16.0	-0.420943124846954	-0.20521032323836902	0.20521032323836902	0.521811228705663	0.259131896141292
11.0.28.0	-0.36859169209235404	-0.23460936185362002	0.23460936185362002	0.492970364446263	0.23562132764609303
11.0.4.0	-0.31685398422813404	-0.22486842141599503	0.22486842141599503	0.44081006276683204	0.236043921461303
11.0.52.0	-0.27804941227685204	-0.24828152084107802	0.24828152084107802	0.3994700371725	0.238579375104354
11.0.639999999999999.0	-0.24120772255887402	-0.271616428428958	0.271616428428958	0.38143168461980603	0.21977603793906902
11.0.76.0	-0.209620941444281	-0.266799033638736	0.266799033638736	0.33925117253945203	0.23036976890483002
11.0.879999999999999.0	-0.192589992647965	-0.3267293892174	0.3267293892174	0.347840651805058	0.20474934084290802
12.0.	-0.164353163980119	-0.27594963319959104	0.27594963319959104	0.300441505046041	0.22391165893407902
