time	ACA	ACA0	ADP	AMP	ATP	DHAP	DHAPCN	DPG	EtOH	EtOH0	F6P	FBP	G6P	GAP	Glc	Glc0	Glyc	Glyc0	HCN	HCN0	NAD	NADH	OAc	OAc0	PEP	Pyr	PyrCN	glycogen	lacto
9.0.72.0	0.042431823594284004	0.036396588931196	1.763841272411569	0.6195663851063941	1.546592342482049	1.886004535295445	3.214372057259033	0.00014036365800800001	13.61024198912843	11.438486561025128	0.253241710038881	1.9948562197718211	2.150528887458509	0.076367599061354	0.10320985410100901	13.826078658239659	2.60993234054128	1.128337994944842	4.442529957710273	4.466081254132662	0.663726130141296	0.31627386985870204	0.0052448900288580005	0.004403209161162	0.029478543463107004	9.519787965667426	13.190033109404048	179.83818198992728	0.049391497086428
9.0.99.0	0.04317357895612001	0.036224362000624004	1.70266740474865	0.524811663063374	1.702520932187988	2.011371625717805	3.291891540087896	0.000157997754837	13.974445366526538	11.772152818050426	0.264000326005211	2.248323449626846	2.222984346639387	0.081172653836518	0.086950397054881	13.53467825429023	2.835462804189243	1.155948208021106	4.429257124618249	4.453538025661646	0.6556307164138121	0.32436928358618605	0.005351439542281	0.004527993817813001	0.030169920196931002	9.746507263014689	13.568963950948607	184.72643557014607	0.050964684873855005
10.0.260000000000002.0	0.045266725469274	0.036462593435622005	1.6608616941092489	0.472691082056985	1.796447223833774	1.694665255795748	3.363667012117904	0.00016607105435500002	14.352503716426348	12.113216818910537	0.276805068637065	1.5698592679865682	2.318237844198165	0.066180184414645	0.07390666860425	13.248924186823734	2.749175012020218	1.184762193325494	4.417786106100279	4.441033758847788	0.7308989797376391	0.24910102026235903	0.005626565889156001	0.004664094277726001	0.029859996306153002	9.62004877263904	13.950340369806838	190.47696902151603	0.052534025942572005
10.0.530000000000001.0	0.042737018472980004	0.036572990945187005	1.759905584289108	0.612215692643298	1.557878723067602	1.829724246931061	3.428039439899334	0.00014059427268400002	14.620405029658942	12.45052494516017	0.253265594924639	1.875338647724565	2.149103849337321	0.07381245500955601	0.098876581615046	12.961136392347372	2.665796848707155	1.2103554364486	4.405848313709971	4.428848070892734	0.674810773462402	0.305189226537596	0.005671520398849	0.004807278436127001	0.029320205373013	9.46162401004913	14.320925479385771	195.68017997154953	0.054110634674809005
10.0.8.0	0.042998892923608006	0.036375498388171	1.715964895077551	0.5431001619260021	1.670934942996456	2.004799864108433	3.502514847409816	0.000153846419642	14.969995160416863	12.782739866976993	0.259893883481909	2.240364452325238	2.191701477627203	0.081160693668023	0.088076577697124	12.670806127061258	2.885917909892972	1.237330576423513	4.392731809660113	4.416513897175743	0.651874028053362	0.328125971946635	0.0057516364476510005	0.0049333827630450005	0.029955233150968003	9.670428928313783	14.692444929947504	200.48326645850923	0.055678121259726
11.0.07.0	0.045252477118762006	0.036546529697978	1.654350907853608	0.465579872694841	1.810069219451559	1.7259540932547681	3.574015069106719	0.00016751058173500002	15.354164208442059	13.12166942826261	0.276074989325976	1.628952863187969	2.3090539367544443	0.067594797448691	0.071575324597693	12.385645424108546	2.853466803977713	1.266086204872873	4.381157682442875	4.404157295976522	0.723379916177457	0.25662008382254103	0.006014894702926	0.005067165604071	0.029852362940858003	9.608913090836259	15.067658609405871	206.09777654513712	0.057239311917626004
11.0.34.0	0.043070682542356006	0.036724805066450004	1.754127806153024	0.6018641483825671	1.574008045464418	1.778166167436026	3.636280826986099	0.000141281146168	15.627020380430656	13.458993532594206	0.253505241207141	1.768570890662797	2.148902535056156	0.07145645847972401	0.094018644293008	12.10009352205845	2.728065733791317	1.2918379557082451	4.369663873910913	4.3921286256283505	0.6856450129829671	0.294354987017031	0.006098457599235001	0.005212027068651001	0.029170982586184002	9.401067813769064	15.432813482214781	211.4108351723729	0.058807664923092
11.0.610000000000001.0	0.042850073127382	0.036512818148611	1.726882643011726	0.558971256842828	1.644146100145456	1.990709249618404	3.707697724365853	0.000150208802862	15.962324468375149	13.789801252543233	0.256207336710134	2.214604054353665	2.163064485808742	0.08078449660530801	0.08836475395403401	11.811130651223078	2.935120949968164	1.318243469774398	4.3567456246897684	4.380004343830291	0.6497806302977871	0.33021936970221005	0.006155046609538001	0.005339643698712	0.029728130377573003	9.58574324175807	15.796865149652406	216.15015768840968	0.060368705047638006
11.0.88.0	0.045133922174551006	0.036618788838524	1.652548477119222	0.463733966522119	1.813717556358669	1.755402661812643	3.778531841226336	0.00016761525532900002	16.348786688845514	14.126452121476369	0.274176371002853	1.687410740971238	2.29154811029137	0.06900546199745801	0.069896593726363	11.526780458617182	2.949774273600272	1.3468415499708621	4.345102410593196	4.367810294713021	0.715138687407004	0.264861312592994	0.006403355297252	0.005471484366262	0.029796690890647	9.579615132377878	16.16539095275781	221.6244743033736	0.06192140320117401
12.0.15.0	0.043415317627892004	0.036851175135081	1.747176342497867	0.5899371170652961	1.592886540436847	1.730905315517824	3.8390059047608283	0.000142209060825	16.628852718435944	14.463369392269092	0.253787489387985	1.673170401321617	2.148616232184377	0.069292874127218	0.088921703093238	11.243516548733734	2.794535387874812	1.372750230570857	4.334000903424825	4.355939790463047	0.6959724516987761	0.284027548301222	0.00652487406666	0.005617337772232001	0.029021040775762	9.335373456830482	16.524810141721424	227.0197634559696	0.063480654374784
12.0.420000000000002.0	0.042708374719773005	0.036632400697619	1.736011541120722	0.5729061050381671	1.62108235384112	1.971612905946802	3.90739588616668	0.00014693714269	16.950249348087894	14.79271961044285	0.25274590844161604	2.177254168426443	2.135629810807984	0.08016830740837501	0.08791294933476501	10.95621261989708	2.98382397730997	1.39863861541624	4.321310088012068	4.344026775450675	0.648743397582756	0.33125660241724203	0.006560376502222001	0.005746542627832	0.029487001776330003	9.492512935062505	16.881276088173554	231.7086434648865	0.06503443057362901
12.0.690000000000001.0	0.044951910753911	0.036676132666214	1.6537650843200051	0.46518852092067503	1.811046394759326	1.7803708515154102	3.977255726614477	0.00016678659494700002	17.336547459990832	15.126946941320517	0.27149441094631	1.739269552034957	2.268383995252864	0.07027161675080701	0.068465938266283	10.672949505016103	3.039213750251084	1.4270113343540871	4.309635915727855	4.332007494353395	0.707051398051038	0.27294860194896003	0.006792902621682	0.005876710493365	0.029695557003137002	9.532776854283894	17.242669481346336	237.04361034390556	0.06657811510569
12.0.96.0	0.043755663476331	0.036950677047419	1.7396034543190941	0.577506834496592	1.61288971118432	1.6868743334182752	4.03611417599787	0.00014319436787	17.624662307787485	15.463041362402155	0.253957817546145	1.5866118299481151	2.14706563354349	0.067283807626231	0.083767792074387	10.392078067789322	2.8631426897456	1.453051881861674	4.298886509732894	4.3202996838157315	0.705725476649801	0.27427452335019703	0.006950259078775001	0.006023047104622	0.028860049102636003	9.26157372046147	17.595974728910043	242.49461746190428	0.068127420178772
13.0.23.0	0.04255543310143901	0.036729965504146006	1.7438894709425061	0.5854719831189901	1.60063854593851	1.9491825413023371	4.101524310104546	0.00014388608233800002	17.93245652176136	15.790788530195044	0.24933387851552502	2.132584593104942	2.108074120156308	0.079398571820116	0.086816225998482	10.106735657562249	3.032191473684037	1.478458101603937	4.28644311383564	4.308600707052426	0.6482925982300121	0.33170740176998603	0.00696649014385	0.006153826785092	0.029227712558944	9.389649877593591	17.94465260740479	247.13919273883357	0.069673027795338
