time	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
660.0.	1.935612285383692e-06	3.321333037699381e-109	1.5627946857932373e-10	9.501785454772166e-07	9e-08	1.034501930091027e-10	8.35884335358766e-11	1.630730935831224e-11	6.654064096724103e-12	0	2.3316497345714948e-11	0	0	0	0	0	0	0	-4.978777593187645e-50	8.194668081904086e-97	-2.189463757797806e-49	2.4596126592431502e-11	6.524424999525497e-10	6.524424999525497e-10	1.0100000000000001e-08	2.412744906067498e-10	3.344881452046953e-08	4.094271675203164e-08	6.346040565135464e-08	2.476683502654284e-09	1.975872550939318e-08	3.969162077269817e-111	-4.543097676823588e-84	4.506651750542051e-07
672.0.	1.934174796336703e-06	2.1507995098989212e-111	1.325278965560647e-10	9.502022970492397e-07	9e-08	1.032066370046742e-10	8.476404535440671e-11	1.573217581295062e-11	6.297141827984179e-12	0	2.371528007477464e-11	0	0	0	0	0	0	0	-4.809562571426168e-50	6.491080355564105e-99	-2.1150498779875e-49	2.363494900066408e-11	6.543357333584188e-10	6.543357333584188e-10	1.0100000000000001e-08	2.458431163889753e-10	3.2811908277303876e-08	4.017238546282981e-08	6.487296751450212e-08	2.476284719925225e-09	1.975415688361096e-08	2.5633936556993068e-113	-1.069145380783351e-85	4.506651750542051e-07
684.0.	1.932768891250505e-06	6.1757953017800476e-114	1.1239973527263022e-10	9.50222425210523e-07	9e-08	1.029341038839138e-10	8.593585889594493e-11	1.516962890778428e-11	5.9604083123728346e-12	0	2.4133266597035876e-11	0	0	0	0	0	0	0	-4.670571299232634e-50	1.764937324710077e-101	-2.05392717318254e-49	2.2720140283255538e-11	6.561498224966049e-10	6.561498224966049e-10	1.0100000000000001e-08	2.5062540475367714e-10	3.2209105200471064e-08	3.939612043669046e-08	6.625757262587686e-08	2.475866733402964e-09	1.974937459524627e-08	7.391949879411854e-116	-2.5185735024201923e-87	4.506651750542051e-07
696.0.	1.9313941240897987e-06	-8.868105001140764e-116	9.533990513047303e-11	9.502394850406654e-07	9e-08	1.02633519776408e-10	8.71035734557295e-11	1.462017252790343e-11	5.6427342399748684e-12	0	2.457040590122535e-11	0	0	0	0	0	0	0	-4.555835881742377e-50	-2.6482097520664986e-103	-2.0034712061045077e-49	2.1848682993951856e-11	6.578884102381874e-10	6.578884102381874e-10	1.0100000000000001e-08	2.5562291221595744e-10	3.163847562262592e-08	3.8615962719370154e-08	6.761411224188117e-08	2.4754295940987755e-09	1.9744377087783992e-08	-1.056082285852137e-117	-5.93921378087145e-89	4.506651750542051e-07
708.0.	1.930050067621605e-06	-2.008316403029232e-117	8.087875214387379e-11	9.502539461936519e-07	9e-08	1.023058477273704e-10	8.826689933954356e-11	1.4084212482604749e-11	5.343040450497151e-12	0	2.5026688021503795e-11	0	0	0	0	0	0	0	-4.460721564648915e-50	-3.332320964643673e-105	-1.961643800435944e-49	2.101782400170633e-11	6.595549230652094e-10	6.595549230652094e-10	1.0100000000000001e-08	2.608376010351868e-10	3.109819849990085e-08	3.7833778517500723e-08	6.894254423120467e-08	2.474973311978497e-09	1.973916239896475e-08	-2.397445699198717e-119	-1.4020674268291511e-90	4.506651750542051e-07
720.0.	1.928736306250635e-06	-2.5426013601968614e-119	6.861883485584538e-11	9.502662061109397e-07	9e-08	1.019520788673749e-10	8.94255581830084e-11	1.3562064476280228e-11	5.0602984733523985e-12	0	2.5502140060326466e-11	0	0	0	0	0	0	0	-4.381588294368612e-50	-2.0795593039366663e-107	-1.926844208754682e-49	2.022504837735473e-11	6.611525886730304e-10	6.611525886730304e-10	1.0100000000000001e-08	2.662718138260424e-10	3.058655644407892e-08	3.7051270185290924e-08	7.024288702604325e-08	2.4744978599396734e-09	1.97337281861739e-08	-3.0268766631410502e-121	-3.313588757601706e-92	4.506651750542051e-07
732.0.	1.927452430509281e-06	-2.4205227802334098e-121	5.82237662158147e-11	9.502766011795797e-07	9e-08	1.015732245028689e-10	9.057928317327029e-11	1.305396186814355e-11	4.7935304557332425e-12	0	2.599682273090559e-11	0	0	0	0	0	0	0	-4.315548563558896e-50	-9.264919207959612e-111	-1.8978026228480466e-49	1.946805579815081e-11	6.626844518779902e-10	6.626844518779902e-10	1.0100000000000001e-08	2.7192825132656353e-10	3.010193073336666e-08	3.626998683646784e-08	7.151521397376732e-08	2.4740031772690943e-09	1.972807174867338e-08	-2.8900815259601392e-123	-7.8401996040929e-94	4.506651750542051e-07
744.0.	1.92619803289603e-06	-1.7539418106120193e-123	4.940878889129314e-11	9.502854161569043e-07	9e-08	1.011703090647061e-10	9.17278191845141e-11	1.256006315740048e-11	4.541808593395297e-12	0	2.6510827329200038e-11	0	0	0	0	0	0	0	-4.2602914900255148e-50	1.3055821580808432e-111	-1.873502810775933e-49	1.874473925465263e-11	6.641533889945695e-10	6.641533889945695e-10	1.0100000000000001e-08	2.7780995286313533e-10	2.9642796356103203e-08	3.5491334541814025e-08	7.275964807368177e-08	2.4734891726707992e-09	1.9722190047136802e-08	-2.086960242929412e-125	-1.857289388323047e-95	4.506651750542051e-07
756.0.	1.924972704808034e-06	-7.557955311864382e-126	4.193281313287253e-11	9.502928921326628e-07	9e-08	1.007443638526804e-10	9.287092283778254e-11	1.2080459145513048e-11	4.3042541640400895e-12	0	2.704427306372963e-11	0	0	0	0	0	0	0	-4.213953178849345e-50	1.0916110450774261e-113	-1.853125107410232e-49	1.805316585864275e-11	6.655621208318222e-10	6.655621208318222e-10	1.0100000000000001e-08	2.839202791211439e-10	2.920771713120731e-08	3.471658608454661e-08	7.397635708226696e-08	2.4729557269362693e-09	1.97160797208788e-08	-9.032185865487814e-128	-4.4051936962609173e-97	4.506651750542051e-07
768.0.	1.923776034356966e-06	3.0554848365428513e-128	3.5591688918949944e-11	9.502992332568766e-07	9e-08	1.002964215153829e-10	9.400836249467019e-11	1.1615179740445911e-11	4.080036249517092e-12	0	2.759730468526785e-11	0	0	0	0	0	0	0	-4.1750199086740496e-50	2.627751231110608e-116	-1.83600383970428e-49	1.739155956459943e-11	6.669132244454558e-10	6.669132244454558e-10	1.0100000000000001e-08	2.902628968829609e-10	2.879534094003149e-08	3.394689025582208e-08	7.51655489694652e-08	2.4724026953147323e-09	1.9709737103116982e-08	3.630909685979728e-130	-1.046187831271774e-98	4.506651750542051e-07
780.0.	1.9226076048936643e-06	1.1687358983928598e-129	3.021251996122028e-11	9.503046124258343e-07	9e-08	9.982751120654837e-11	9.513991819360386e-11	1.1164200379203259e-11	3.868370220660724e-12	0	2.8170090368930578e-11	0	0	0	0	0	0	0	-4.142254923882933e-50	-3.061054577427498e-118	-1.8215951328716828e-49	1.675828563064668e-11	6.682091437695077e-10	6.682091437695077e-10	1.0100000000000001e-08	2.9684176544252455e-10	2.8404395096440893e-08	3.3183280681039004e-08	7.632746770811093e-08	2.4718299096310695e-09	1.970315823455743e-08	1.3932507053674862e-131	-2.48784118415806e-100	4.506651750542051e-07
792.0.	1.921466994097374e-06	1.664827786360983e-131	2.5648857335024526e-11	9.503091760884608e-07	9e-08	9.933865436130329e-11	9.626538153660942e-11	1.0727448054696599e-11	3.668516047406911e-12	0	2.876281980935349e-11	0	0	0	0	0	0	0	-4.1146424291477367e-50	-4.2889527412844916e-120	-1.809452281468194e-49	1.615183665784217e-11	6.694521992400727e-10	6.694521992400727e-10	1.0100000000000001e-08	3.036611244414006e-10	2.8033681875242462e-08	3.242668417452952e-08	7.746238937843139e-08	2.471237180190645e-09	1.969633887555855e-08	1.9780685126409022e-133	-5.924223582746423e-102	4.506651750542051e-07
804.0.	1.920353773510773e-06	1.7092438289118331e-133	2.177663591409089e-11	9.503130483098814e-07	9e-08	9.883086103828917e-11	9.738455553370897e-11	1.0304806941116819e-11	3.47977648690132e-12	0	2.9375702496079264e-11	0	0	0	0	0	0	0	-4.0913442780964287e-50	-1.687555258932116e-122	-1.799206702830512e-49	1.557082005906039e-11	6.706445965129397e-10	6.706445965129397e-10	1.0100000000000001e-08	3.107254829045626e-10	2.768207421343365e-08	3.167792862586589e-08	7.857061856961424e-08	2.4706242975039192e-09	1.968927451709539e-08	2.038233367329088e-135	-1.4126848914601862e-103	4.506651750542051e-07
816.0.	1.91926750842309e-06	1.3519467097206731e-135	1.849073819685273e-11	9.503163342075989e-07	9e-08	9.83051267764177e-11	9.849725441138219e-11	9.896123618681788e-12	3.301495193534628e-12	0	3.0008966141462366e-11	0	0	0	0	0	0	0	-4.071666141730498e-50	9.378527010024676e-125	-1.790553059323085e-49	1.501394682055493e-11	6.717884343672467e-10	6.717884343672467e-10	1.0100000000000001e-08	3.1803960927806493e-10	2.734851159400331e-08	3.09377504255199e-08	7.965248506070276e-08	2.4699910338585373e-09	1.96819603907219e-08	1.605303395473332e-137	-3.3735955716968966e-105	4.506651750542051e-07
828.0.	1.91820775802127e-06	7.180082425637924e-138	1.570208814765262e-11	9.503191228576481e-07	9e-08	9.776242991795183e-11	9.96033033908703e-11	9.50121190402839e-12	3.133054787165805e-12	0	3.0662855237572683e-11	0	0	0	0	0	0	0	-4.055030836764179e-50	1.281995796163688e-126	-1.783237529227203e-49	1.448002143050513e-11	6.728857118783186e-10	6.728857118783186e-10	1.0100000000000001e-08	3.256085222944028e-10	2.703199611808778e-08	3.020680144116312e-08	8.070834076349391e-08	2.469337144762426e-09	1.967439147770556e-08	8.567474070234565e-140	-8.068338308376566e-107	4.506651750542051e-07
840.0.	1.917174075743796e-06	-1.19518785316703e-141	1.333519287606999e-11	9.503214897529195e-07	9e-08	9.720372935262483e-11	1.007025384414916e-10	9.119857296775671e-12	2.97387490912422e-12	0	3.133762972202843e-11	0	0	0	0	0	0	0	-4.0409571201539887e-50	4.221272324781587e-129	-1.777048481438104e-49	1.3967932859448379e-11	6.739383349346695e-10	6.739383349346695e-10	1.0100000000000001e-08	3.334374825072946e-10	2.673158876805979e-08	2.948565555861509e-08	8.173855691064531e-08	2.4686623702779704e-09	1.966656251749267e-08	-1.399770528540307e-143	-1.932630158142772e-108	4.506651750542051e-07
852.0.	1.9161660097839652e-06	-6.505313254035109e-142	1.1326062790099928e-11	9.503234988830055e-07	9e-08	9.66299626405572e-11	1.0179480601357741e-10	8.75182105604833e-12	2.823410289833442e-12	0	3.203356373551014e-11	0	0	0	0	0	0	0	-4.0290426992943297e-50	-2.45818558850879e-131	-1.771809004040465e-49	1.3476646487458709e-11	6.749481221666772e-10	6.749481221666772e-10	1.0100000000000001e-08	3.415319843544807e-10	2.644640586151192e-08	2.87748148034696e-08	8.274352147281862e-08	2.467966436264489e-09	1.965846801564549e-08	-7.739970585862911e-144	-4.6365695416413803e-110	4.506651750542051e-07
864.0.	1.9151831036995502e-06	-1.065524121184592e-143	9.620451661815405e-12	9.503252044941339e-07	9e-08	9.604204447475657e-11	1.0287996275512322e-10	8.39684392315732e-12	2.68114884697933e-12	0	3.275094445608448e-11	0	0	0	0	0	0	0	-4.0189505246282487e-50	-3.2128770958060963e-133	-1.767370876356475e-49	1.3005196882252409e-11	6.759168103476286e-10	6.759168103476286e-10	1.0100000000000001e-08	3.498977486175472e-10	2.617561569400352e-08	2.8074715060858768e-08	8.372363678936434e-08	2.4672490555439153e-09	1.965010225138242e-08	-1.262957458262142e-145	-1.1141916475757321e-111	4.506651750542051e-07
876.0.	1.914224897094171e-06	-1.175805980214628e-145	8.172367154487412e-12	9.503266525786412e-07	9e-08	9.544086544695506e-11	1.0395787521577891e-10	8.054649508320107e-12	2.546609828962363e-12	0	3.349007099743377e-11	0	0	0	0	0	0	0	-4.0103976609327925e-50	-5.71485374636306e-136	-1.7636096749900567e-49	1.2552681341087119e-11	6.768460593216481e-10	6.768460593216481e-10	1.0100000000000001e-08	3.585407151599034e-10	2.591843536679352e-08	2.738573141175817e-08	8.467931739777669e-08	2.466509929002566e-09	1.9641459284840072e-08	-1.399792286420108e-147	-2.68193512801409e-113	4.506651750542051e-07
888.0.	1.913290926342622e-06	-9.983655902315071e-148	6.94281004501907e-12	9.503278821357504e-07	9e-08	9.482729108341654e-11	1.050284195413733e-10	7.724947360379427e-12	2.419342014847244e-12	0	3.425125335977524e-11	0	0	0	0	0	0	0	-4.00314620130435e-50	1.2750835794947398e-137	-1.7604207781674042e-49	1.2118254117385628e-11	6.777374565074055e-10	6.777374565074055e-10	1.0100000000000001e-08	3.67467035830578e-10	2.567412779451347e-08	2.670818310477078e-08	8.561098804789125e-08	2.465748746640225e-09	1.963253296416938e-08	-1.182437963992394e-149	-6.46688619831811e-115	4.506651750542051e-07
900.0.	1.912380725338154e-06	-6.036646497782873e-150	5.898706859236857e-12	9.503289262389362e-07	9e-08	9.420216112011291e-11	1.0609148116177761e-10	7.407435739060735e-12	2.298921979065241e-12	0	3.503481142366374e-11	0	0	0	0	0	0	0	-3.9969958117164223e-50	1.132090798393144e-139	-1.757716087136912e-49	1.1701121260475419e-11	6.785925210214163e-10	6.785925210214163e-10	1.0100000000000001e-08	3.7668306743030254e-10	2.544199888678444e-08	2.604233818253654e-08	8.651908188755389e-08	2.4649651885763373e-09	1.962331693256965e-08	-7.190203419939242e-152	-1.562108885170073e-116	4.506651750542051e-07
912.0.	1.911493826244402e-06	-1.116985973701278e-152	5.012006109130994e-12	9.50329812939686e-07	9e-08	9.356628898930523e-11	1.071469544745623e-10	7.10180410947824e-12	2.1849524266707018e-12	0	3.584107397810287e-11	0	0	0	0	0	0	0	-3.991777586355894e-50	6.0928063480689444e-142	-1.7554213239961506e-49	1.130053600371383e-11	6.794127074601551e-10	6.794127074601551e-10	1.0100000000000001e-08	3.8619536464017364e-10	2.522139489709609e-08	2.5388417781853133e-08	8.740403880724236e-08	2.464158926021897e-09	1.961380463535978e-08	-1.3230647527555298e-154	-3.780345975424828e-118	4.506651750542051e-07
924.0.	1.910629760238558e-06	3.461697692336664e-154	4.258912939384925e-12	9.503305660328557e-07	9e-08	9.292046149206104e-11	1.0819474252657939e-10	6.807735378450392e-12	2.077060602925677e-12	0	3.667037777542899e-11	0	0	0	0	0	0	0	-3.987348963432037e-50	1.0186110560603061e-143	-1.753473795871576e-49	1.0915794642590079e-11	6.801994093760516e-10	6.801994093760516e-10	1.0100000000000001e-08	3.9601067281966153e-10	2.5011699931800503e-08	2.4746600126326518e-08	8.826630393186514e-08	2.463329622224571e-09	1.960398932718029e-08	4.107798757849195e-156	-9.165727727813489e-120	4.506651750542051e-07
936.0.	1.9097880582355162e-06	6.705928171273296e-156	3.619240889446706e-12	9.503312057049057e-07	9e-08	9.226543863358491e-11	1.0923475669531891e-10	6.5249078917769e-12	1.974896779335767e-12	0	3.752306660635677e-11	0	0	0	0	0	0	0	-3.98358950394065e-50	2.698104457216806e-145	-1.7518205385908012e-49	1.0546232850189549e-11	6.809539624787156e-10	6.809539624787156e-10	1.0100000000000001e-08	4.061359205827098e-10	2.4812333611787533e-08	2.411702422993335e-08	8.910632624868884e-08	2.462476933393643e-09	1.9593864079417253e-08	7.925148895205201e-158	-2.226662132668552e-121	4.506651750542051e-07
948.0.	1.908968251585361e-06	7.923055015097106e-158	3.075862769591897e-12	9.503317490830259e-07	9e-08	9.16019536004347e-11	1.1026691637162931e-10	6.252997211031981e-12	1.87813281692052e-12	0	3.8399490389363887e-11	0	0	0	0	0	0	0	-3.980397376325941e-50	6.653848780769331e-147	-1.750416770779957e-49	1.0191222382700269e-11	6.816776475893653e-10	6.816776475893653e-10	1.0100000000000001e-08	4.165782120655665e-10	2.462274887926942e-08	2.3499793329320728e-08	8.992455736104787e-08	2.4616005096106373e-09	1.9583421787934392e-08	9.412638335486664e-160	-5.4200730295043886e-123	4.506651750542051e-07
960.0.	1.9081698727386277e-06	7.126659900464012e-160	2.614245429933225e-12	9.503322107003656e-07	9e-08	9.093071286073574e-11	1.1129114864516121e-10	5.991677687682299e-12	1.7864608064373078e-12	0	3.930000426931015e-11	0	0	0	0	0	0	0	-3.9776864212682873e-50	1.730402434960699e-148	-1.749224603076809e-49	9.850168132468274e-12	6.8237169337343e-10	6.8237169337343e-10	1.0100000000000001e-08	4.2734481880076917e-10	2.4442429942080608e-08	2.289497806201565e-08	9.07214503581674e-08	2.460699995730692e-09	1.957265518119919e-08	8.414511319329948e-162	-1.3220810085173839e-124	4.506651750542051e-07
