time	ADP	AMP	ATP	NADH	Pyr
384.0.	0.375187863943004	1.375657672557257	14.549154463499727	-32.132485227634874	0.018732361585032
390.0.	0.37518799769154504	1.37565815250221	14.549153849806233	-32.6944561793179	0.018732368298888
396.0.	0.375188106742031	1.375658543820391	14.549153349437562	-33.25642731318755	0.018732373772961
402.0.	0.37518819565521705	1.375658862877652	14.549152941467115	-33.818398595601195	0.018732378236190003
408.0.	0.37518826814966505	1.375659123017716	14.549152608832603	-34.38036999912861	0.018732381875238003
414.0.	0.37518832725726703	1.37565933512025	14.549152337622466	-34.94234150140492	0.018732384842298
420.0.	0.375188375450041	1.3756595080558771	14.549152116494064	-35.50431308419511	0.018732387261460003
426.0.	0.37518841474352504	1.375659649057169	14.549151936199289	-36.06628473263149	0.018732389233898
432.0.	0.37518844678106406	1.375659764021128	14.549151789197792	-36.62825643459179	0.018732390842106
438.0.	0.37518847290254204	1.375659857755815	14.549151669341626	-37.19022818019227	0.018732392153342003
444.0.	0.37518849420042105	1.375659934181433	14.54915157161813	-37.75219996137433	0.018732393222444
450.0.	0.37518851156542904	1.375659996494279	14.549151491940279	-38.31417177156748	0.018732394094126
456.0.	0.375188525723811	1.37566004730042	14.549151426975754	-38.876143605414505	0.018732394804843
462.0.	0.375188537267702	1.375660088724688	14.549151374007595	-39.43811545854748	0.018732395384318
468.0.	0.37518854667989604	1.37566012249954	14.549151330820548	-40.000087327405055	0.018732395856788
474.0.	0.37518855435403103	1.375660150037522	14.549151295608436	-40.56205920908355	0.018732396242011
480.0.	0.37518856061106004	1.375660172490334	14.549151266898601	-41.12403110121544	0.018732396556099002
486.0.	0.375188565712664	1.375660190797004	14.54915124349033	-41.68600300187036	0.018732396812187
492.0.	0.375188569872204	1.3756602057231602	14.549151224404635	-42.24797490947447	0.018732397020986002
498.0.	0.375188573263643	1.375660217893049	14.549151208843313	-42.809946822744536	0.018732397191228
504.0.	0.37518857602881805	1.375660227815644	14.549151196155545	-43.37191874063429	0.018732397330034
510.0.	0.37518857828337604	1.3756602359059311	14.5491511858107	-43.93389066229063	0.018732397443207
516.0.	0.37518858012160605	1.375660242502263	14.549151177376139	-44.49586258701804	0.018732397535482
522.0.	0.37518858162038804	1.375660247880513	14.549151170499105	-45.0578345142494	0.018732397610717003
528.0.	0.37518858284240403	1.375660252265615	14.549151164891986	-45.61980644352234	0.018732397672059
534.0.	0.375188583838763	1.375660255840963	14.549151160320282	-46.18177837445987	0.018732397722074003
540.0.	0.375188584651134	1.375660258756087	14.54915115659279	-46.7437503067546	0.018732397762853
546.0.	0.37518858531349203	1.375660261132903	14.549151153553614	-47.3057222401559	0.018732397796102
552.0.	0.37518858585353904	1.375660263070815	14.549151151075655	-47.86769417445944	0.018732397823211
558.0.	0.37518858629386104	1.375660264650873	14.549151149055275	-48.429666109498605	0.018732397845314
564.0.	0.375188586652872	1.375660265939156	14.549151147407983	-48.991638045137556	0.018732397863336
570.0.	0.37518858694558904	1.375660266989543	14.549151146064885	-49.55360998126552	0.018732397878029
576.0.	0.375188587184252	1.375660267845966	14.549151144969803	-50.11558191779221	0.01873239789001
582.0.	0.37518858737884403	1.375660268544241	14.549151144076928	-50.67755385464401	0.018732397899778
588.0.	0.375188587537502	1.375660269113575	14.549151143348935	-51.23952579176086	0.018732397907742
594.0.	0.375188587666863	1.375660269577774	14.549151142755369	-51.80149772909385	0.018732397914236
600.0.	0.37518858777233605	1.375660269956255	14.549151142271416	-52.36346966660304	0.018732397919530002
