time	Ib	It	Iv	Sb	St	Sv
5.0.1000000000000005.0	223521.61001859684	116849.87785410226	1069473.9652592721	2423323.567835263	2523398.110917697	15609627.30488802
5.0.2.0	229856.69767895437	119993.20828429631	1100030.527381603	2416366.375767626	2523126.930793111	15593752.611318292
5.0.300000000000001.0	236337.60459580412	123224.2027503469	1131371.8455937877	2409211.605074231	2522735.3516218686	15576804.312653909
5.0.4.0	242966.69432973323	126544.720703062	1163513.3400960711	2401855.7871495853	2522220.851380613	15558761.05322439
5.0.5.0	249746.30017853764	129956.63883596443	1196470.4558687054	2394295.466605663	2521580.876770434	15539601.33766061
5.0.6000000000000005.0	256678.7203512112	133461.84970536217	1230258.6438901871	2386527.206406144	2520812.844490324	15519303.549800748
5.0.7.0	263766.21291525377	137062.26024250867	1264893.3412040777	2378547.5932675963	2519914.1426306684	15497845.972907862
5.0.800000000000001.0	271010.9905154498	140759.79015409827	1300389.9498063633	2370353.243331261	2518882.1321914024	15475206.811236449
5.0.9.0	278415.2148629608	144556.3702074092	1336763.81432716	2361940.8081084113	2517714.14872944	15451364.212983664
6.0.	285980.99099434906	148453.94039649912	1374030.198482763	2353306.980701459	2516407.504139903	15426296.294658931
6.0.1000000000000005.0	293710.36130098393	152454.4479859698	1412204.2602764512	2344448.502302183	2514959.488575607	15399981.166903418
6.0.2.0	301605.2993301969	156559.84542895653	1451301.0259292673	2335362.1689674896	2513367.37250914	15372396.961788148
6.0.300000000000001.0	309667.7033605369	160772.08815616267	1491335.3625250526	2326044.838672148	2511628.40894174	15343521.861616591
6.0.4.0	317899.38975454005	165093.13223294675	1532321.9493574877	2316493.4386368147	2509739.835762993	15313334.129254267
6.0.5.0	326302.0860935715	169524.9318816959	1574275.247970679	2306704.9729285124	2507698.8782651923	15281812.140004091
6.0.6000000000000005.0	334877.42410051206	174069.43686696634	1617209.4708889814	2296676.5303294505	2505502.7518159607	15248934.415042082
6.0.7.0	343626.9323573615	178728.58974115463	1661138.5490363098	2286405.292468721	2503148.664692471	15214679.656423513
6.0.800000000000001.0	352552.02882620774	183504.32294878404	1706076.097850136	2275888.542209962	2500633.821080297	15179026.783664627
6.0.9.0	361654.0131834538	188398.55578783635	1752035.3821006562	2265123.6722865533	2497955.424239588	15141954.971899508
7.0.	370934.05897872936	193413.19122695227	1799029.27943142	2254108.1941743046	2495110.6798408884	15103443.691606024
7.0.1000000000000005.0	380393.2056315025	198550.11257774525	1847070.2426437766	2242839.7471898394	2492096.7994725006	15063472.749888238
7.0.2.0	390032.3502800797	203811.1800219371	1896170.2607540905	2231316.107801185	2488911.004320812	15022022.333296012
