time	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
75.0.	2.535562548827731e-56	7.112693471129811e-06	2.887306522104512e-06	3.337135738109359e-08	2.7171782112532333e-57	5.966792043315875e-06	-6.88303586102423e-32	2.112530070432837e-06	6.765687039706251e-15	1.634006969659501e-10
78.0.	6.64213656543706e-58	7.112693471074739e-06	2.887306522006959e-06	2.7082776230865232e-08	7.8354628171624395e-59	5.973080624466104e-06	-2.8886233266230413e-32	2.112530070377764e-06	6.9183124716720354e-15	1.634006969659501e-10
81.0.	1.1606935229060192e-59	7.112693471021869e-06	2.887306521913308e-06	2.197923097706379e-08	1.853330094649706e-60	5.9781841697199054e-06	-1.427598217896752e-32	2.112530070324894e-06	7.064832978919209e-15	1.634006969659501e-10
84.0.	-2.077497361911552e-61	7.1126934709711156e-06	2.8873065218234025e-06	1.783741033027559e-08	-3.7840942179904843e-62	5.982325990366692e-06	-8.056139845429228e-33	2.112530070274139e-06	7.205492754742247e-15	1.634006969659501e-10
87.0.	1.24299986236862e-62	7.112693470922392e-06	2.887306521737094e-06	1.447608461987468e-08	1.409390398274568e-63	5.985687316077095e-06	-5.0629609233699466e-33	2.112530070225414e-06	7.340526224839466e-15	1.634006969659501e-10
90.0.	-1.5560769219304732e-63	7.112693470875615e-06	2.8873065216542365e-06	1.1748175468042378e-08	-2.149209896511541e-64	5.988415225228927e-06	-3.472371811452785e-33	2.112530070178639e-06	7.470158438026106e-15	1.634006969659501e-10
93.0.	-2.782465937212693e-66	7.1126934708307105e-06	2.887306521574696e-06	9.534320209250545e-09	-2.8248884049629488e-67	5.9906290804877185e-06	-2.5564708446561222e-33	2.112530070133734e-06	7.594605441309127e-15	1.634006969659501e-10
96.0.	-1.757512933779247e-67	7.112693470787603e-06	2.8873065214983363e-06	7.737649350739231e-09	-8.52078897089073e-68	5.992425751346231e-06	-1.9936385583439413e-33	2.1125300700906263e-06	7.714074639931998e-15	1.634006969659501e-10
99.0.	-6.454571512250194e-69	7.112693470746219e-06	2.88730652142503e-06	6.279547580326529e-09	-7.703460175740821e-69	5.993883853116646e-06	-1.629045255119161e-33	2.112530070049241e-06	7.828765143066952e-15	1.634006969659501e-10
102.0.	-1.5392371298059172e-70	7.112693470706491e-06	2.8873065213546558e-06	5.0962140978240735e-09	3.872420278227177e-71	5.995067186599148e-06	-1.382544920462778e-33	2.112530070009512e-06	7.938868095636366e-15	1.634006969659501e-10
