time	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
120.0.	4.1224225201204017e-11	4.9999999999999996e-06	9.7119423001751e-10	3.729070261368788e-08	4.507335253493693e-23	6.785371019667012e-07	8.714904425860078e-12	1e-05	1e-05
130.0.	4.12242247978323e-11	4.9999999999999996e-06	9.711942205141726e-10	3.885725170121456e-08	4.507335203145418e-23	7.084369267986619e-07	9.080432709454802e-12	1e-05	1e-05
140.0.	4.122422444598792e-11	4.9999999999999996e-06	9.71194212224794e-10	4.0223687347436894e-08	4.507335159228651e-23	7.345554417045948e-07	9.39926784138622e-12	1e-05	1e-05
150.0.	4.122422414056453e-11	4.9999999999999996e-06	9.71194205029074e-10	4.1409840757229145e-08	4.507335121106046e-23	7.572569187514734e-07	9.676037102792472e-12	1e-05	1e-05
160.0.	4.122422387654493e-11	4.9999999999999996e-06	9.711941988088133e-10	4.243519684674835e-08	4.507335088151387e-23	7.769026918677576e-07	9.915286974615866e-12	1e-05	1e-05
170.0.	4.1224223649140864e-11	4.9999999999999996e-06	9.711941934512036e-10	4.3318351535652016e-08	4.5073350597670153e-23	7.938401148684098e-07	1.0121356505626049e-11	1e-05	1e-05
180.0.	4.122422345388402e-11	4.9999999999999996e-06	9.711941888509749e-10	4.4076657980064803e-08	4.507335035395216e-23	8.083951717219399e-07	1.029829476664642e-11	1e-05	1e-05
190.0.	4.122422328667838e-11	4.9999999999999996e-06	9.711941849116242e-10	4.472602402058037e-08	4.5073350145247245e-23	8.208680523492031e-07	1.0449813588317689e-11	1e-05	1e-05
200.0.	4.1224223143821967e-11	4.9999999999999996e-06	9.711941815459388e-10	4.528082634743513e-08	4.5073349966934814e-23	8.315310506576972e-07	1.057926753289491e-11	1e-05	1e-05
210.0.	4.122422302200796e-11	4.9999999999999996e-06	9.711941786760088e-10	4.575390763058332e-08	4.507334981488731e-23	8.406281376697602e-07	1.068965322454404e-11	1e-05	1e-05
220.0.	4.122422291831034e-11	4.9999999999999996e-06	9.711941762328988e-10	4.615663145811724e-08	4.5073349685452494e-23	8.483757210260307e-07	1.078362216827067e-11	1e-05	1e-05
