time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_3	species_4	species_5	species_6	species_7	species_8	species_9
150.0.	1.064407155685791	2.228674544634125	9.425237398570204	0.574722474949786	0.9992630452926541	0.0008942057792080001	18.32210171545747	0.11159820432822001	0.048401795671779005	4.52366623938274	0.027769678197260003	7.533010289986339	3.821516961824257	6.449842139057336	47.965177345645905	3.126781600509773	0.6807616811204581	3.445993560742932	0.648562723931657	0.157605855288347	3.884802660911869	0.021774188428444002	0.000757432367346	45.787593403512915	2.771325455365872
165.0.	1.062349948357734	2.235469419096429	9.429194444703286	0.570765428816699	0.9992471013970301	0.0009471344710050001	18.991913617685633	0.111897746467047	0.048102253532952007	4.523543340514964	0.027892577065036003	7.612509943833146	3.419882452443136	6.9101707480829155	47.94088681342316	3.413553152639161	0.743873531006334	3.6696527081388792	0.651980460537624	0.16178871237574102	3.996638916671319	0.021823345182466	0.00077337626297	46.19794097950998	2.764530580903568
180.0.	1.06036278916628	2.240653010848897	9.432434606701566	0.5675252668184171	0.99923186692896	0.000999489060433	19.565782398115534	0.11212159319502801	0.047878406804970006	4.523450679846455	0.027985237733546	7.673012314672173	3.021801329547902	7.371851132635087	47.921592886407254	3.700595506944659	0.806439524424108	3.894128538867114	0.6545697591634461	0.16521296624213302	4.088975985354208	0.021856607469378002	0.00078861073104	46.526164273614036	2.7593469891511
195.0.	1.058242574362	2.244550723595317	9.435107692934407	0.5648521805855821	0.9992173002052691	0.001051190962583	20.055204941754006	0.112284056935207	0.047715943064792	4.5233830701244635	0.028052847455538002	7.717596307821332	2.6269910239603798	7.83442397258297	47.906253574129146	3.987774007020151	0.8685527683929141	4.119193288051814	0.6564715770172841	0.168026205960807	4.166086764091416	0.02187513654535	0.0008031774547310001	46.791202085182974	2.75544927640468
210.0.	1.055747955433214	2.247353933749794	9.437316224982078	0.562643648537913	0.9992034529748841	0.001102064323407	20.46966103069553	0.112392924008714	0.047607075991285004	4.523337647950815	0.028098269629186	7.747978209585167	2.235287848135681	8.297461750758918	47.89408688683784	4.274948163587263	0.9302790296237641	4.34464070150446	0.657764897483186	0.17034608671363702	4.231595451438004	0.021878185845587	0.000817024685116	47.00819650493714	2.752646066250203
225.0.	1.052517269881262	2.249127275612972	9.439121340951097	0.560838532568897	0.9991905172600721	0.001151761333622	20.816899710060767	0.112449828254138	0.04755017174586101	4.523313834864456	0.028122082715546	7.764491948590325	1.846674453514789	8.7605105311449	47.88451270369742	4.5619467443302195	0.9916586992254651	4.570259162482844	0.658467630597504	0.17226902024116603	4.288910689097816	0.021862168116155	0.000829960399928	47.18982583372502	2.7508727243870252
240.0.	1.047888913641857	2.249762457304956	9.440531290762884	0.559428582757108	0.9991789663438101	0.001199569836617	21.102989346844097	0.11244817109280701	0.047551828907192006	4.52331414127892	0.028121776301083003	7.765567584993412	1.461359084734688	9.222998826674445	47.87711896694869	4.84852131726968	1.052703600541352	4.795788432134531	0.658515329429992	0.17387957761456202	4.341941443641071	0.021817868165192003	0.00084151131619	47.34783352418049	2.750237542695041
255.0.	1.040397075922626	2.248790663540878	9.441437042054488	0.5585228314655011	0.9991700001104711	0.0012438465274150002	21.3319395054205	0.11236526362929801	0.047634736370701	4.523346935210354	0.028088982369648	7.74601092139315	1.079989540200405	9.68404272855306	47.87165565512777	5.13423599247333	1.113383682486918	5.020822713367701	0.6576881002538351	0.17526553242453002	4.396841398292316	0.021721711223848	0.0008504775495290001	47.4956404742253	2.751209336459119
270.0.	1.025909477073956	2.244607785205406	9.441285677731909	0.5586741957880831	0.9991673306904001	0.0012798671038160001	21.504064390432063	0.11213330683554501	0.047866693164454	4.5234359109378595	0.028000006642141	7.69120126816723	0.7043248105662561	10.141886583221039	47.86808238179587	5.4181286564579825	1.173585861543798	5.244513105399646	0.6553612829058221	0.17655362603150102	4.4680686060200685	0.021501153880763003	0.0008531469696000001	47.65536590521815	2.755392214794592
285.0.	0.9869075963494911	2.229537867778358	9.436462604168247	0.563497269351743	0.999188628148971	0.001286824746019	21.608407056741186	0.111483790888351	0.048516209111648	4.5236642685117285	0.027771649068276002	7.550407525005911	0.340212480480222	10.591515181794513	47.866798139766665	5.6971724148075715	1.232963739858566	5.464179726586031	0.649347044070902	0.177981744100166	4.611374199931027	0.02081578908053	0.0008318495110290001	47.888430621011445	2.770462132221639
