	median_intern	median_extern	failure	n_species	n_reactions	n_submodels	run_0	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15	run_16	run_17	run_18	run_19	run_20	run_21	run_22	run_23	run_24
montagne2011	0.016849	0.2396228313446045	False	20.0	27.0	1.0	0.015204	0.017874	0.016281999999999998	0.017756	0.016849	0.017734	0.016874	0.0167	0.012935	0.011399	0.015639	0.015677	0.02005	0.01696	0.017015	0.018256	0.017621	0.017436	0.017599	0.018131	0.01672	0.015196	0.015213	0.016089	0.015457
montanez2008	0.0007440000000000001	0.1871790885925293	False	3.0	5.0	1.0	0.0008210000000000001	0.0007650000000000001	0.000984	0.000721	0.000759	0.0007440000000000001	0.000733	0.001021	0.000732	0.0007019999999999999	0.001296	0.000697	0.0007379999999999999	0.00073	0.000769	0.0004969999999999999	0.000726	0.0007059999999999999	0.000755	0.0007099999999999999	0.000309	0.000943	0.000912	0.000919	0.000793
moriya2011	0.120984	0.4058749675750733	False	49.0	51.0	1.0	0.121492	0.109366	0.11416	0.114044	0.110466	0.113338	0.120984	0.124852	0.11175	0.115904	0.108751	0.121381	0.119083	0.123363	0.125558	0.124394	0.110986	0.110501	0.12604300000000002	0.11578900000000003	0.122295	0.124385	0.121278	0.121231	0.125987
morris2002	0.0007440000000000001	0.1872248649597168	False	4.0	2.0	1.0	2.1e-05	0.0008539999999999999	0.000859	0.000699	0.000782	0.000726	0.001104	0.001063	0.000802	0.0004969999999999999	0.000759	0.0008039999999999999	0.0007830000000000001	0.0007440000000000001	0.000749	0.000734	0.000729	0.000759	0.000735	0.000726	0.0007160000000000001	5.3e-05	0.000778	0.000727	0.000736
nakakuki2010	0.118968	0.4166984558105469	False	49.0	78.0	1.0	0.126461	0.10441	0.104571	0.115136	0.116236	0.11896	0.107564	0.103056	0.129154	0.12126	0.12548099999999998	0.131689	0.13661600000000002	0.118376	0.1209	0.145302	0.220227	0.108072	0.106459	0.125932	0.124902	0.125616	0.107258	0.113299	0.118968
naresh2011	0.0009314	0.193627405166626	False	5.0	13.0	5.0	0.0009428	0.0009546	0.0009274	0.0009344	0.0009512	0.000916	0.0009314	0.0008997999999999998	0.0009232	0.0011611999999999998	0.0012818	0.0010218000000000002	0.0009246	0.0009390000000000001	0.0009126	0.0007762	0.0009337999999999999	0.0010118	0.0009257999999999998	0.0010211999999999999	0.0009097999999999999	0.0007900000000000001	0.000958	0.000921	0.0009056000000000001
neves2008	0.018325	0.2738173007965088	False	37.0	32.0	1.0	0.019513	0.020608	0.018853	0.018433	0.017553	0.017968	0.017551	0.01889	0.017984	0.018325	0.018635	0.020255	0.021861	0.016224000000000002	0.016272	0.015444	0.016204	0.019325	0.019051	0.018677000000000003	0.018712	0.01739	0.016827	0.017137	0.01302
nielsen1998	0.029986000000000002	0.2509404420852661	False	20.0	29.0	2.0	0.029322000000000004	0.0297355	0.030207499999999998	0.028156999999999998	0.029490499999999996	0.030445	0.032312	0.027349000000000002	0.029605000000000003	0.0279085	0.029417500000000003	0.030485	0.030679	0.028031999999999998	0.030317000000000007	0.029944	0.029986000000000002	0.029443	0.0305925	0.030038	0.0301035	0.0308805	0.029742	0.030157999999999997	0.030376999999999998
nyman2012	0.002271	0.20376086235046387	False	9.0	11.0	1.0	0.002309	0.00215	0.002189	0.002111	0.002333	0.002309	0.002353	0.002749	0.002271	0.002457	0.002328	0.002197	0.002755	0.002514	0.001901	0.002228	0.002313	0.002151	0.002264	0.0022600000000000003	0.002205	0.002558	0.002438	0.002107	0.002097
odea2007	0.006577	0.2354717254638672	False	24.0	51.0	1.0	0.005411	0.005416	0.005582	0.005422	0.006249	0.006394	0.006152	0.0070090000000000005	0.006553	0.002967	0.004639	0.007264	0.007053	0.005602	0.006939	0.006577	0.007469	0.007861	0.007267	0.007458	0.007492	0.007381	0.003566	0.0076409999999999985	0.007559999999999998
olsen2003	0.105113	0.3042407035827637	False	16.0	15.0	1.0	0.102869	0.112124	0.10377	0.109325	0.10201	0.104795	0.105816	0.105113	0.099869	0.100049	0.107735	0.099289	0.103866	0.105975	0.099455	0.103394	0.109186	0.108697	0.10288	0.106012	0.100712	0.106836	0.10799	0.113101	0.112442
orfao2008	0.0016290000000000002	0.19315290451049805	False	12.0	8.0	2.0	0.001788	0.0008875	0.001917	0.0017469999999999999	0.001925	0.0013975	0.0016525	0.001286	0.0016245	0.0017295000000000001	0.0016274999999999998	0.001611	0.0017274999999999999	0.001685	0.001623	0.0017050000000000001	0.0017274999999999999	0.000912	0.001611	0.0015409999999999998	0.0013390000000000001	0.001756	0.0016290000000000002	0.0017325	0.0015085
ouattara2008	0.000767	0.1870870590209961	False	3.0	6.0	1.0	0.000775	0.000785	0.0008210000000000001	0.0007480000000000001	0.000967	0.000734	0.000767	0.0007570000000000001	0.0009	0.000753	0.0007570000000000001	0.000766	0.000778	0.000754	0.001169	0.000745	0.000763	0.000732	0.000754	0.0008269999999999999	0.0008039999999999999	0.000828	0.000773	0.000755	0.000784
ouzounoglou2014	0.076424	0.41822695732116705	False	90.0	136.0	1.0	0.07887100000000001	0.093924	0.095022	0.090783	0.054311	0.053791	0.087448	0.09007000000000001	0.075476	0.077295	0.077062	0.071912	0.07424700000000001	0.06856699999999999	0.07469500000000001	0.071214	0.092647	0.093064	0.076424	0.074823	0.06826499999999999	0.06624	0.065871	0.092976	0.098154
panteleev2002	0.001581111111111111	0.18835806846618647	False	8.0	5.0	9.0	0.0015851111111111114	0.0014693333333333331	0.0015897777777777776	0.0016030000000000007	0.00146	0.0013467777777777775	0.0016347777777777775	0.001581111111111111	0.0015903333333333336	0.0015766666666666668	0.0016337777777777778	0.0015585555555555552	0.0014036666666666668	0.0016218888888888886	0.001491111111111111	0.001416	0.0015388888888888893	0.0015505555555555555	0.0016343333333333336	0.0015818888888888888	0.0017847777777777781	0.0014422222222222226	0.0015948888888888887	0.0015931111111111113	0.0014490000000000002
panteleev2002a	0.00212	0.187533974647522	False	9.0	8.0	2.0	0.0021825	0.0022865000000000003	0.0020540000000000003	0.0022545	0.0020935	0.0016449999999999998	0.0021985	0.002121	0.0020045	0.0021175	0.002046	0.0021030000000000003	0.0019355	0.002134	0.001894	0.00212	0.0020185	0.002402	0.0021855	0.002396	0.0020485	0.002328	0.0022215000000000004	0.0018485	0.0021420000000000002
pathak2013	0.010173	0.35806989669799805	False	57.0	86.0	1.0	0.010075	0.010019	0.010244	0.010173	0.010132	0.010019	0.009901	0.009718	0.009416	0.006441	0.011057	0.010527	0.010518	0.010338	0.010846	0.010776	0.010542	0.010209	0.01011	0.010084	0.010108	0.010204	0.010054	0.010426	0.010779
pathak2013a	0.010688	0.3541297912597656	False	52.0	88.0	1.0	0.010688	0.010846	0.006558	0.010149	0.010371	0.006886	0.010417	0.010302	0.010865	0.01058	0.006417	0.010671	0.010258	0.010239	0.011489	0.011186	0.011889	0.010983	0.011266	0.011535	0.010846	0.010652	0.010916	0.011529	0.01151
perelson1993	0.00867825	0.1983932852745056	False	5.0	9.0	4.0	0.00898	0.00939175	0.0087355	0.008675750000000001	0.00855725	0.00824725	0.008432249999999999	0.008679000000000001	0.00914375	0.008846	0.0088055	0.0083845	0.008284	0.00810025	0.00867825	0.0083225	0.00773925	0.008246999999999999	0.0087285	0.0082495	0.00868175	0.008706499999999999	0.00910625	0.00860625	0.009075
perelson1996	0.000776	0.1868429183959961	False	4.0	5.0	2.0	0.0007949999999999999	0.0008195	0.001123	0.0007605	0.001223	0.000796	0.0007485	0.000766	0.0011394999999999999	0.0008300000000000001	0.000789	0.000776	0.0007750000000000001	0.000717	0.000771	0.000794	0.000808	0.000755	0.00043550000000000007	0.000754	0.000755	0.000773	0.0007775000000000001	0.000731	0.000791
piedrafita2010	0.00213	0.1962883472442627	False	11.0	11.0	1.0	0.00213	0.001117	0.002002	0.002213	0.001962	0.001537	0.002302	0.001966	0.001994	0.00196	0.001868	0.002169	0.002211	0.00207	0.0008359999999999999	0.002271	0.001984	0.0022370000000000003	0.002235	0.00224	0.002209	0.002227	0.0023190000000000003	0.002227	0.002102
pritchard2002	0.008868000000000001	0.24056196212768555	False	25.0	19.0	1.0	0.007858	0.008527	0.008284	0.008195000000000001	0.008437	0.015013	0.00878	0.00965	0.008868000000000001	0.008883	0.009532	0.00957	0.008828	0.009553	0.009199	0.008901000000000001	0.00953	0.008525	0.009348	0.008809	0.010833	0.008546999999999999	0.009423	0.008169	0.008703
proctor2010	2.032436	2.583971738815308	False	136.0	316.0	1.0	1.88534	2.262724	2.089137	1.918288	2.217931	1.890258	1.901883	2.032436	2.227121	1.979217	2.138212	2.000321	1.990385	2.012887	1.963986	2.18345	1.910431	2.237186	2.018295	2.152524	2.032771	2.31092	2.219487	2.246823	1.981587
ribeiro2008	0.000521	0.18567228317260745	False	2.0	5.0	2.0	0.0005175000000000001	0.0005110000000000001	0.000521	0.0005095	0.0005304999999999999	0.0005164999999999999	0.0005124999999999999	0.0005155	0.0005884999999999999	0.0005275000000000001	0.000526	0.0005075	0.000904	0.0005055	0.000584	0.0005254999999999999	0.0005015	0.0006795	0.0006295000000000001	0.000526	0.0005035	0.00027749999999999997	0.0005085000000000001	0.0006715	0.0005239999999999999
saeidi2012	0.0027843333333333327	0.1942144234975179	False	10.0	7.0	3.0	0.002752666666666667	0.002498333333333333	0.0029123333333333327	0.0026846666666666664	0.002773	0.0033263333333333326	0.0018913333333333332	0.0027923333333333337	0.002794666666666667	0.0028656666666666674	0.0027760000000000003	0.002784	0.002486	0.0031416666666666663	0.0027506666666666673	0.002933333333333333	0.002964666666666667	0.002847333333333333	0.0027653333333333328	0.0028126666666666673	0.0027843333333333327	0.002330666666666667	0.002780333333333334	0.0027913333333333327	0.0028079999999999997
sarma2012	0.012760500000000001	0.22148454189300534	False	11.0	10.0	4.0	0.01273025	0.013506	0.012723	0.012363500000000001	0.012377500000000001	0.013591	0.0128215	0.01435225	0.0118345	0.013837	0.01258675	0.01308825	0.012231000000000002	0.01302625	0.01290225	0.013734250000000002	0.012760500000000001	0.013365999999999998	0.012560249999999998	0.01278775	0.01249725	0.01235325	0.012135	0.01425875	0.01230475
sarma2012a	0.013055	0.2310501337051392	False	27.0	28.0	2.0	0.0125595	0.0135685	0.011998500000000002	0.0162695	0.009853	0.016069	0.012037	0.0121865	0.013506999999999998	0.01545	0.0138535	0.01616	0.0127135	0.0143285	0.012240000000000001	0.014461000000000002	0.013055	0.013623	0.013208499999999998	0.014272	0.012863	0.011845	0.0106	0.0117205	0.012611
sarma2012b	0.05908325	0.2595372796058655	False	13.0	12.0	4.0	0.057526750000000015	0.056353499999999994	0.05858625000000001	0.05799975	0.05897	0.05996675	0.05938325	0.05900275	0.05908325	0.06053325	0.05931975	0.05866425	0.05834575	0.055428	0.057721	0.057589	0.05937775	0.059774	0.05976425	0.058683000000000006	0.059764	0.059591999999999985	0.05958150000000001	0.0594475	0.05937225
