time	A	E	G	R
118.0.4.0	12.490738477928767	49962.917451180496	19975178.643187065	49933.2350489074
120.0.	12.490739993760226	49962.930588949115	19975184.03935472	49933.26273533803
121.0.60000000000001.0	12.490741089781434	49962.941088265914	19975188.361567628	49933.28606913808
123.0.2.0	12.490741857883332	49962.94933172625	19975191.762935195	49933.30535686978
124.0.80000000000001.0	12.490742374594374	49962.95568603542	19975194.39118398	49933.32101320237
126.0.4.0	12.490742702477094	49962.96048793068	19975196.382619966	49933.33349962838
128.0.	12.490742891776055	49962.96403678669	19975197.858879827	49933.34328270353
129.0.6.0	12.490742982137837	49962.96659189852	19975198.925643127	49933.350807039445
131.0.20000000000002.0	12.490743004284182	49962.968372905874	19975199.67266919	49933.35647919854
132.0.8.0	12.490742981564926	49962.96956220521	19975200.174680132	49933.3606594378
134.0.4.0	12.490742931350074	49962.97030850457	19975200.492737904	49933.36365892322
136.0.	12.490742866243819	49962.970730917805	19975200.67586329	49933.36574059626
137.0.6.0	12.490742795118965	49962.97092318315	19975200.76272228	49933.367122331954
139.0.20000000000002.0	12.490742723980594	49962.97095773375	19975200.783264697	49933.36798139345
140.0.8.0	12.490742656673772	49962.97088945355	19975200.760243725	49933.36845947593
142.0.4.0	12.490742595453177	49962.970759029085	19975200.710577082	49933.36866785567
144.0.	12.490742541433676	49962.970595861756	19975200.64653354	49933.36869232856
145.0.6.0	12.490742494940237	49962.97042054118	19975200.5767434	49933.36859774699
147.0.20000000000002.0	12.490742455774647	49962.97024690456	19975200.507041827	49933.36843205493
148.0.8.0	12.490742423414433	49962.9700837192	19975200.441159584	49933.36822978383
150.0.4.0	12.490742397157735	49962.969936033594	19975200.38127885	49933.3680150146
152.0.	12.49074237622578	49962.96980624301	19975200.328472648	49933.36780383797
153.0.60000000000002.0	12.490742359832568	49962.969694914806	19975200.283046007	49933.36760636103
155.0.20000000000002.0	12.490742347229906	49962.96960141551	19975200.244795818	49933.36742831452
156.0.8.0	12.490742337734183	49962.96952437719	19975200.21320465	49933.3672723183
158.0.4.0	12.490742330740058	49962.96946203558	19975200.187581833	49933.36713885921
160.0.	12.49074232572497	49962.969412467806	19975200.167162996	49933.36702703229
