time	AC_PKA_cyto_mem	AC_active_cyto_mem	AC_cyto_mem	AMP_cyto	ATP_cyto	BAR_G_cyto_mem	BAR_cyto_mem	B_Raf_active_cyto	B_Raf_cyto	GRK_bg_cyto	GRK_cyto	G_GDP_cyto	G_a_s_cyto	G_protein_cyto	MAPK_active_cyto	MAPK_cyto	MEK_active_cyto	MEK_cyto	PDE4_P_cyto	PDE4_cyto	PDE_high_km_cyto	PKA_cyto	PP2A_cyto	PP_PDE_cyto	PTP_PKA_cyto	PTP_PP_cyto	PTP_cyto	R2C2_cyto	bg_cyto	c2_R2C2_cyto	c3_R2C2_cyto	cAMP_cyto	c_R2C2_cyto	iso_BAR_G_cyto_mem	iso_BAR_cyto_mem	iso_BAR_p_cyto_mem	iso_extra
147.0.	0	237.93701986096622	62.06298013903332	3045581.839854977	2974250.112503121	0.5887575330124251	0.011702132552885	40.92367076992342	79.47632923007667	0.154868223971033	0.447131776028973	0.579011961956302	4.62626626182833	2095.677280761107	8.313323409869085	208.40667659013096	34.44035087247651	73.91964912752353	28.723477897529353	212.07652210247034	301	1.008317269761011	60.2	120.4	1.260959662736908	60.2	119.13904033726321	105.08205372154211	52.63781397200682	0.010189634355117001	0.018030259677312	149.65849365466678	14.281409114664552	93.06142768158485	0.335496579291986	0.0026160735581470004	5851.880827398006
154.0.	0	241.34513613890968	58.65486386108979	3048429.4107674113	2971402.1292286688	0.5887549710061171	0.011705787140185001	46.57232180162942	73.82767819837068	0.15732593780617402	0.44467406219383204	0.610395604615101	4.963116196341992	2094.627498073273	9.735782376058884	206.98421762394116	39.8904099342956	68.46959006570444	33.01015417287306	207.78984582712658	301	1.156493555809462	60.2	120.4	1.470949201452778	60.2	118.92905079854734	104.04089143569452	53.685213090932855	0.010835967901488	0.019912297538405	148.58075411773407	15.171866743056222	93.0610595189541	0.335663553516716	0.00281616938318	5851.8808293646525
161.0.	0	244.1465936574812	55.853406342518284	3051313.3687308137	2968518.265833134	0.5887525820015731	0.011708906850652	52.10617680000831	68.29382319999179	0.159412629639222	0.44258737036078405	0.638898578725125	5.27071631133143	2093.731173194257	11.153378947857533	205.56662105214258	45.20696592874297	63.15303407125707	37.456527260978014	203.34347273902162	301	1.312116571063105	60.2	120.4	1.6949849760194131	60.2	118.70501502398072	103.02153132592173	54.579520991913576	0.0114631756625	0.021889284646283	146.99537591266946	16.03299964270648	93.06071333896847	0.33580614400701503	0.0030190281725750003	5851.880830679923
168.0.	0	246.43230332785947	53.56769667213999	3054227.0820269026	2965605.023819474	0.5887503512878101	0.011711540409773001	57.40151183541589	62.99848816458421	0.161167351466136	0.44083264853387005	0.664229406676466	5.545473529722177	2092.9740088659823	12.518282148466383	204.20171785153372	50.214420274546306	58.14557972545373	42.01527082736874	198.7847291726309	301	1.474230325036965	60.2	120.4	1.9315728607223632	60.2	118.46842713927775	102.02657633325255	55.3349962505044	0.012070132934936001	0.023959022571186	145.03805079569267	16.863164186204454	93.06038730896643	0.33592657550840804	0.003224223827892	5851.880831405045
175.0.	0	248.28667857873617	51.713321421263316	3057164.9555214867	2962667.884684295	0.588748262078847	0.011713741582598	62.36164744192014	58.03835255807996	0.16263038590710402	0.43936961409290204	0.6863198324452331	5.786197103855751	2092.3403818321367	13.789509753771515	202.9304902462286	54.775119921698824	53.58488007830121	46.64231132533481	194.1576886746648	301	1.64195260953756	60.2	120.4	2.179217171244125	60.2	118.22078282875599	101.05763804657772	55.9672222661411	0.012656342421795001	0.026118606874733	142.8266808722318	17.661634394588265	93.06007931701373	0.336027301555658	0.0034313777694800003	5851.88083160658
182.0.	0	249.7848117359802	50.21518826401929	3060122.339707415	2959711.4036273453	0.5887462968631161	0.011715565364129	66.92227092317508	53.47772907682503	0.16384123438422002	0.43815876561578604	0.705277278768839	5.993641113504584	2091.8144125716526	14.937503385814129	201.782496614186	58.8024131029161	49.55758689708394	51.29813288165864	189.50186711834098	301	1.814492516542715	60.2	120.4	2.436483055051501	60.2	117.96351694494858	100.11551987215965	56.49203950508524	0.013221795153893	0.028364563034649	140.45875663223626	18.42840125310916	93.05978714753957	0.336110830746899	0.0036401594866470005	5851.880831351998
189.0.	0	250.99145312996058	49.00854687003884	3063095.4151781583	2956739.3249850865	0.5887444384734151	0.011717064993028001	71.05184004005608	49.34815995994406	0.16483707831122502	0.437162921688781	0.721328987328911	6.169933048800264	2091.3807967259972	15.946317365674089	200.773682634326	62.26334427076967	46.096655729230356	55.94843891289231	184.85156108710729	301	1.991156452518334	60.2	120.4	2.702038880842661	60.2	117.69796111915744	99.20039666314153	56.92471558381008	0.013766842250624	0.030692997279012004	138.01161121490247	19.163987044810582	93.05950862095241	0.33617959074006803	0.0038502848414400004	5851.880830706228
196.0.	0	251.96119661889432	48.038803381105154	3066081.071123892	2953754.70193602	0.588742670830185	0.011718289912085001	74.74771505394287	45.65228494605727	0.165651779690168	0.43634822030983805	0.7347704810429131	6.318026322119504	2091.0253670006955	16.813109928844714	199.90689007115535	65.17167356607668	43.18832643392335	60.56430401526044	180.2356959847391	301	2.171346240811867	60.2	120.4	2.974680662149555	60.2	117.42531933785054	98.3119754891767	57.27938434725112	0.014292085502674001	0.033099741890003004	135.54438527422255	19.869286442618826	93.05924169100624	0.33623583548962405	0.004061512762242	5851.880829729325
203.0.	0	252.73934336956918	47.260656630430326	3069076.7895707865	2950760.0096787587	0.588740979382372	0.011719284596969	78.02949106298338	42.370508937016766	0.16631537210329703	0.43568462789670903	0.745924631907642	6.441251392872077	2090.73541020484	17.545502865885922	199.1744971341141	67.57473195060348	40.785268049396564	65.12196774671852	175.678032253281	301	2.354552422739626	60.2	120.4	3.253342075590614	60.2	117.14665792440948	97.44963069703098	57.56872932659025	0.014798289266516001	0.035580483578582005	133.1007646176719	20.54543810738437	93.05898450297529	0.33628159207268804	0.0042736409730400006	5851.880828475152
210.0.	0	253.36306291167878	46.63693708832078	3072080.5414861487	2947757.2465785607	0.5887393513058911	0.011720088075330001	80.93130327618975	39.468696723810375	0.16685393602898302	0.435146063971023	0.755112762627931	6.542988658119449	2090.499791042589	18.15790749737753	198.56209250262248	69.53862188008283	38.82137811991721	69.6024078884544	171.1975921115452	301	2.540345110270302	60.2	120.4	3.537094003260343	60.2	116.86290599673976	96.61251218371656	57.80386006705413	0.015286312712872	0.038130870240575	130.71186408048274	21.193725523059776	93.0587354203608	0.336318638952292	0.004486501306010001	5851.880826990877
