time	ASL_b	ASL_c	ASL_m	ASLoOH_b	ASLoOH_c	ASLoOH_m	ASLpOH_b	ASLpOH_c	ASLpOH_m	AS_b	AS_c	AS_m	ASoOH_b	ASoOH_c	ASoOH_m	ASpOH_b	ASpOH_c	ASpOH_m
96.0.	2719.7395679078263	767.1073464504993	59.1184731671699	958.1069283603555	270.23676209187806	15.013588459664646	1407.0207461259215	396.85375310941157	8.423782833068529	169920.70088483705	47926.273456043586	6141.081609831176	31093.337222994094	8769.964291305687	415.70822195422585	21515.01140323388	6068.4104445156845	116.49370782610703
102.0.	2734.78453894119	771.3505359014897	59.55950640270457	976.5881958717441	275.44937426696725	15.760228629637908	1428.8184608137728	403.0017472241792	8.78214470037612	168835.21297427508	47620.096852699564	6079.673331036439	31669.73721993521	8932.531796150613	457.880425426584	22434.060497152488	6327.625685124639	129.94863286886684
108.0.	2746.733904335003	774.7206473265669	59.914965289307304	994.4040760995116	280.47431496836157	16.479405326471735	1449.6329732513548	408.8724323781503	9.12044953912231	167600.24464597687	47271.76223931731	6019.834845193453	32164.39844264214	9072.045654253538	500.73698836372733	23307.11961375789	6573.869653949487	143.84896824124436
114.0.	2756.072219248903	777.3543432377144	60.19841062767283	1011.5811729454889	285.31908827263646	17.172161003594073	1469.5230514507573	414.48238437244885	9.440035301596652	166250.980541692	46891.19276739956	5961.239310370811	32587.83726729206	9191.471914224001	544.1734982980573	24137.413969313897	6808.052012154038	158.15949120482668
120.0.	2763.203553415888	779.3655862667096	60.4211524607708	1028.1502413082142	289.99236888393426	17.839507443605566	1488.5495776047412	419.84877522571185	9.742147379391831	164814.5092976282	46486.02826729882	5903.634374765857	32949.25736695126	9293.406386820137	588.0989892898797	24927.974055650437	7031.027498616652	172.8475065341765
126.0.	2768.46475794088	780.8493808923843	60.592622245523316	1044.1443241025402	294.5034767178315	18.482435306087325	1506.7742805788205	424.9890156582907	10.027950096311995	163311.7018058701	46062.15497513436	5846.825105297775	33256.69496483361	9380.11561305777	632.434250928819	25681.637724464006	7243.5965181299025	187.88268558102422
132.0.	2772.1365190057445	781.8848909947269	60.72068280863366	1059.5973580266345	298.8619836895133	19.101919338010347	1524.2584563721896	429.9203942052889	10.298535767795789	161758.6513855053	45624.111704968054	5790.660859994176	33517.15345952271	9453.574834538153	677.1103287400077	26401.055520710444	7446.506645888641	203.23690996298205
138.0.	2774.452577552888	782.5380401477714	60.8118866156251	1074.543161860101	303.0774283886004	19.698920549573167	1541.0618657389518	434.6597663067324	10.554931682925595	160167.7786160399	45175.40144556193	5735.02518746	33736.726352383346	9515.50266434882	722.0672005057415	27088.69799467541	7640.454689986662	218.88412150583193
144.0.	2775.6074265085745	782.863682522713	60.87169113208601	1089.0147256004066	307.1591155998312	20.27438635905131	1557.2418730269778	439.2233114354673	10.798105433167839	158548.6793107897	44718.730514795985	5679.828051006478	33920.70827426521	9567.392401362798	767.252612236378	27746.86415710956	7826.0890762633235	234.8001793618763
150.0.	2775.762741994614	782.9074167290368	60.90463854912303	1103.043730668871	311.1159809922613	20.829249457225167	1572.8528278626584	443.6263587187528	11.028968991183529	156908.77563302754	44256.192194347466	5624.999838893395	34073.69443509314	9610.540079237793	812.6210576684596	28377.69052295703	8004.012399128447	250.96272476416124
156.0.	2775.0527600657847	782.7071022548674	60.914505881777814	1116.660244447901	314.9565049748559	21.36442593906231	1587.945662974728	447.8832735194993	11.248381885375276	155253.81627013115	43789.40779412398	5570.486747568835	34199.66912760194	9646.069428180243	858.1328858615743	28983.16037401314	8174.784034113012	267.3510535718502
162.0.	2773.58877389052	782.2941278396685	60.90443040446801	1129.8925442152133	318.6886630455598	21.88081309248231	1602.5676712244344	452.00739455987156	11.457153748099758	153588.26082370174	43319.635062066416	5516.247220861587	34302.08408237475	9674.95397432282	903.7535224685665	29565.112994178788	8338.922742675057	283.9459965616398
168.0.	2771.462896371589	781.6944726736889	60.87701452894586	1142.7670354633367	322.3199027594543	22.37928711366745	1616.762423908056	456.0110108880625	11.65604645066146	151915.5753506219	42847.85153580231	5462.249201705786	34383.927545364386	9698.036522435857	949.452791411161	30125.25271439794	8496.909223316232	300.7298072892705
174.0.	2768.7512086846446	780.9295944033512	60.8344135260819	1155.3082376411617	325.8571397115455	22.860700928047933	1630.5697957359828	459.9053689308047	11.845775981860896	150238.45969917107	42374.81865841974	5408.468009426272	34447.78496403327	9716.046271907753	995.204324904726	30665.157661435052	8649.188579159476	317.6860572613581
180.0.	2765.5163950534065	780.0171722361946	60.778408914967976	1167.538816760375	329.30676673645695	23.325882229303073	1644.0260669343986	463.70070129630744	12.027014180652747	148559.02246861032	41901.13112245651	5354.884698911297	34495.892146006954	9729.61380965437	1040.985050978024	31186.28814405084	8796.172683250377	334.7995381060279
186.0.	2761.809947449191	778.9717287484096	60.71046986783085	1179.47964935187	332.67467194937467	23.77563180014892	1657.1640782871568	467.40627050735065	12.20039039710387	146878.915732367	41427.254865991585	5301.4847912226505	34530.18170936823	9739.284210989124	1086.7747487870358	31689.9946375156	8938.242430566961	352.05617040117494
192.0.	2757.6740101371274	777.805150115675	60.631804587766645	1191.1499061948834	335.96626236313847	24.21072214405331	1670.013419964503	471.0304222626857	12.366493128196307	145199.43883900924	40953.55634772513	5248.257290695683	34552.32358629742	9745.528463288909	1132.555663103243	32177.525346493007	9075.749871107308	369.4429188047399
198.0.	2753.1429225638017	776.5271212649911	60.543403292737686	1202.567147296097	339.1864906778315	24.631896432959444	1682.6006393849984	474.5806440657713	12.52587165467735	143521.61843926317	40480.32511707242	5195.193923164144	34563.760278299254	9748.753409390529	1178.3121703540467	32650.033339641664	9209.020222179526	386.94771312750976
204.0.	2748.2445095690096	775.1454897624667	60.44607417108327	1213.7474219490668	342.33988350287757	25.03986775996839	1694.949457045672	478.0636261002178	12.679037690698628	141846.27022675087	40007.7912269651	5142.288544987127	34565.73749613666	9749.310389284788	1224.0304895015652	33108.5832585239	9338.35376062499	404.5593749923067
210.0.	2743.001159968925	773.6665700139306	60.340473450911766	1224.705369503587	345.4305697790913	25.43531867567901	1707.08098225628	481.4853220776545	12.826467048126373	140174.04660667476	39536.13867790015	5089.5366841145205	34559.33075365343	9747.502740641983	1269.6984318658435	33554.157609760296	9464.027597496448	422.2675497317359
216.0.	2737.4307279253785	772.0953974846043	60.22713054007551	1235.4543178381875	348.46230855270437	25.818900980926603	1719.0139230976322	484.85100845612095	12.968601311049294	138505.47352983168	39065.51580627787	5036.935183313505	34545.46842369506	9743.592301505101	1315.3051847327197	33987.66265364735	9586.297338919117	440.0626431882543
222.0.	2731.5472859639804	770.4359410782105	60.106469038449056	1246.0063775518784	351.4385155418743	26.191235745786003	1730.7647867798796	488.16534095051696	13.105849512257477	136840.9789798462	38596.04331869008	4984.481922512798	34524.95170736687	9737.805042419146	1360.841124240023	34409.933905245925	9705.398637650098	457.93576309404796
228.0.	2725.361753850937	768.6912805036012	59.978824294646905	1256.372530649075	354.36228814991904	26.552913523987304	1742.3480679940387	491.4324076563858	13.238589801593541	135180.9150262924	38127.820511589955	4932.175602479816	34498.471915440234	9730.335940477678	1406.297653614522	34821.741265663935	9821.548640334951	475.8786647232094
234.0.	2718.882423635672	766.8637543562727	59.84445807082037	1266.5627130447726	357.2364287355064	26.904494732638113	1753.776423911559	494.65577840768987	13.367171095522341	133525.57491479162	37660.93009123542	4880.0155760941	34466.625413022004	9721.353194315487	1451.6670633423896	35223.793802197375	9934.94733572585	493.8837005243906
240.0.	2712.115397890887	764.9550837183294	59.703570788236675	1276.5858906131577	360.0634660617552	27.24651016883806	1765.0608352648906	497.83855020869424	13.491914697595329	131875.2063260755	37195.44191316172	4828.001716598464	34429.92653560485	9711.001866949286	1496.942410304464	35616.74419637437	10045.778809232828	511.9437734580392
246.0.	2705.0649554316233	762.9664753048276	59.556311750067394	1286.4501287797075	362.84567492427396	27.57946163702924	1776.2107534980807	500.9833887369008	13.613115880376638	130230.02167552276	36731.41588697579	4776.134314612504	34388.81874613765	9699.407032515517	1542.1174133006007	36001.192878925765	10154.212409173762	530.0522937781833
252.0.	2697.7338564855436	760.898707533117	59.402787673800816	1296.1626558439457	365.5850940109462	27.903822663476575	1787.2342343610567	504.0925660224458	13.73104542061122	128590.20612451679	36268.90423581264	4724.413997546436	34343.68426852255	9686.676493299592	1587.1863627308398	36377.69187039997	10260.40383000235	548.2031390143106
258.0.	2690.1235973474595	758.7522023448685	59.24306981195585	1305.729920340472	368.2835420802289	28.220039276921884	1798.1380585754862	507.1679944810778	13.84595108078062	126955.92382110075	35807.953256398374	4672.841666483641	34294.85240264161	9672.903124903849	1632.1440425006751	36746.74834563248	10364.496117650378	566.3906169240242
264.0.	2682.2346229228724	756.527085151244	59.077199894658605	1315.157642817429	370.9426325649147	28.528530837071898	1808.9278403567735	510.21125752200743	13.95805903159014	125327.32276906741	35348.604692288885	4621.418446704957	34242.60669930035	9658.166899866594	1676.9856624784113	37108.827939637966	10466.620601939243	584.6094312017397
270.0.	2674.066504198529	754.2232348861922	58.905195089764874	1324.4508624478985	373.5637867185469	28.829690895077583	1819.6081246615527	513.2236369758389	14.067575211282666	123704.53863357085	34890.89680717429	4570.145648881731	34187.19115000428	9642.536633424841	1721.7068000592062	37464.35781175974	10566.897760808935	602.8546497426703
276.0.	2665.6180865310826	751.8403258293717	58.7270521444173	1333.6139789012539	376.14824542493403	29.123888072485936	1830.1824740631398	516.2061375971263	14.174686618929387	122087.69772125046	34434.86522536994	4519.024738625218	34128.81552592549	9626.071489314814	1766.3033495870075	37813.7294841246	10665.438020890775	621.1216752746699
282.0.	2656.8876136829185	749.3778625888879	58.54275084524356	1342.650789896014	378.69707978965823	29.411466947266916	1840.6535461541887	519.1595088951835	14.279562539976977	120476.91931886475	33980.54359138676	4468.057312591545	34067.65998245341	9608.822278437972	1810.771478556053	38157.301469635335	10762.342498720176	639.406218183132
288.0.	2647.872831727659	746.8352094065375	58.35225691201857	1351.5645248391359	381.21120062778925	29.69274893742627	1851.0231623479513	522.0842645389279	14.382355703321192	118872.317532816	33527.96408873726	4417.245079737992	34003.87903006316	9590.832578803449	1855.107589661192	38495.40170390832	10857.703686652918	657.7042713661192
294.0.	2638.5710762719923	744.2116147576519	58.1555244208448	1360.3578749331875	383.6913669553888	29.96803317440841	1861.2923689058794	524.9806995692152	14.483203370025846	117274.00273984869	33077.15784907992	4366.589846634035	33937.604958607466	9572.139701314263	1899.3082878939474	38828.32979474376	10951.606087317365	676.0120869681691
300.0.	2628.9793458744793	741.5062320579824	57.95249783717406	1369.0330201056024	386.13819358470573	30.23759735998099	1871.4614909662491	527.8489056371627	14.582228354517346	115682.08273442727	32628.155275817746	4316.093505969685	33868.95079029897	9552.775522625501	1943.3703519916266	39156.35910191229	11044.12680020809	694.3261548518418
306.0.	2619.0943640682076	738.7181371564612	57.74311372581611	1377.591653085409	388.55215791483613	30.50169860158723	1881.5301802907684	530.6887844706755	14.67953997966815	114096.6636391591	32180.986300867724	4265.758027589529	33798.01282637899	9532.767203405969	1987.2907096421145	39479.73865925909	11135.336063805924	712.6431826760415
312.0.	2608.9126319979	735.8463431808989	57.5273021940476	1386.035000924	390.93360600149566	30.760574222268094	1891.4974573870775	533.5000597547361	14.775234967648442	112517.85062982814	31735.680589144766	4215.585451525681	33724.87284356913	9512.137807824754	2031.0664159293153	39798.69495037367	11225.29775639684	730.9600774594965
318.0.	2598.4304733507965	732.889813210252	57.30498811470384	1394.363844228669	393.2827579816932	31.014442542212922	1901.3617486069313	536.2822875946216	14.869398268787121	110945.74851515109	31292.267702072586	4165.577882615731	33649.59998869969	9490.906837911649	2074.694634575227	40113.43354835077	11314.06985855836	749.2739285165178
324.0.	2587.644072983849	729.8474711690283	57.0760921684167	1402.5785343514426	395.599712921711	31.263503629808255	1911.120918764257	539.034865715538	14.962103830953946	109380.46220249192	30850.777228931183	4115.73748637989	33572.25241324801	9469.090694561892	2118.1726215959357	40424.1406294794	11401.704880087982	767.5819916603504
330.0.	2576.54951041869	726.7182112742229	56.84053173771094	1410.6790087515578	397.88445314997756	31.50794002074159	1920.772299765124	541.7570415374461	15.053415312166772	107822.09707388705	30411.238892909005	4066.0664859004314	33492.878683764524	9446.703075332363	2161.497711041605	40730.98437004336	11488.250253963735	785.8816745770475
336.0.	2565.1427891829985	723.5009063107975	56.59822168028372	1418.6648047279948	400.1368481302244	31.747917404290348	1930.3127156935013	544.4479192502689	15.143386739253646	106270.75929138678	29973.682637219972	4016.5671595005138	33411.518999195985	9423.755317775142	2204.6673025361724	41034.11623479751	11573.748699752414	804.1705232799358
342.0.	2553.419862816036	720.1944149663423	56.349075004294306	1426.5350716987596	402.356657924766	31.983585276405904	1939.7385047527875	547.1064660022975	15.232063115469929	104726.55604655985	29538.13869547269	3967.2418390616353	33328.20624182757	9400.256695844952	2247.6788503716216	41333.672165101845	11658.238558716745	822.4462095613637
348.0.	2541.3766582220774	716.7975884177563	56.0930034647389	1434.288582186172	404.5435362928199	32.21507755959814	1949.0455384234644	549.7315173034265	15.319480979995571	103189.59576576957	29104.63764956575	3918.092908852262	33242.96688486829	9376.214675874422	2290.529853945643	41629.77367414593	11741.754102717823	840.7065193646191
354.0.	2529.0090969436865	713.3092763312594	55.829918096856474	1441.9237416520855	406.69703346445704	32.44251318995188	1958.2292381618067	552.3217817348658	15.405668922225974	101659.98828030245	28673.2104776703	3869.122804766183	33155.82177651779	9351.635137712112	2333.217849360577	41922.52885618195	11824.32581886414	858.9493420046382
360.0.	2516.3131148337247	709.7283324107988	55.55972969990352	1449.4385973136546	408.8165986270257	32.66599667187151	1967.2845899331728	554.8758450481149	15.490648053729355	100137.84496845538	28243.888594303906	3820.3340138896906	33066.786817606255	9326.522565844007	2375.740402026705	42212.03331620301	11905.980671722531	877.1726601714975
366.0.	2503.2846805273725	706.0536196080267	55.28234928246136	1456.8308460588269	410.9015821576601	32.885618601366915	1976.2061568457138	557.3921737281777	15.574432440680722	98623.27887514046	27816.703884063725	3771.7290743328294	32975.8735475352	9300.880214652208	2418.095100134595	42498.371026052606	11986.742344779406	895.374540655636
372.0.	2489.9198130508007	702.2840150887914	54.997688478628596	1464.097841570996	412.95123763274	33.101456158865595	1984.9880901261852	559.8691180891831	15.657029499503386	97116.40481335166	27391.688730244005	3723.310575272658	32883.0896512115	9274.710251390577	2460.2795488798934	42781.615112531785	12066.631462722267	913.5531257383997
378.0.	2476.2145988491666	698.4184150358707	54.70565994294052	1471.2366007640644	414.96472364285796	33.31357357267591	1993.6241386585789	562.3049149646647	15.738440358357932	95617.33945088148	26968.876039293562	3675.0811571665736	32788.4393979145	9248.013879962831	2502.291365339996	43061.82858267889	12145.665796001074	931.7066251957748
