time	Ln_	NR	NRLc	NRLn	NRc	RE	REL
6.0.	0.028402065525483	199.5574169857357	0.225299483012621	5.695950176499988	47.01245604471352	0.5526362021925311	3.147363797807474
6.0.3.0	0.028819844843559	199.64813586986799	0.22509439152686603	5.782433739797237	46.95916674171856	0.54558017974434	3.154419820255665
6.0.6.0	0.029183058697764	199.73662127502368	0.22490278229412403	5.857964006696792	46.90999418541711	0.539563726070956	3.160436273929048
6.0.8999999999999995.0	0.029498553013806002	199.82243563085007	0.224723920987655	5.923887291703068	46.86462685682137	0.534420046129478	3.165579953870526
7.0.199999999999999.0	0.029772368263378004	199.90525010981176	0.22455709396960702	5.981393721751349	46.82277577226366	0.530012593045328	3.169987406954674
7.0.5.0	0.030009820195514004	199.984827723563	0.22440161001594902	6.031532776970605	46.78417304288794	0.5262287494369691	3.173771250563033
7.0.8.0	0.030215576844462	200.06100848967284	0.224256801886166	6.075228096571621	46.7485704849514	0.5229750186973361	3.177024981302665
8.0.1.0	0.030393730329748004	200.13369650540804	0.22412202762895303	6.1132912770627	46.715738290471506	0.520173322606961	3.17982667739304
8.0.4.0	0.030547862750682	200.20284875038695	0.22399667157778602	6.146434536810933	46.68546376363691	0.5177581196165151	3.182241880383486
8.0.7.0	0.030681105975329002	200.26846543817783	0.22388014502852402	6.175282213294387	46.657550125549676	0.5156741390318851	3.184325860968117
9.0.	0.030796195431825	200.33058174310452	0.223771886613639	6.200381116131817	46.63181538789115	0.513874582543354	3.186125417456647
9.0.299999999999999.0	0.030895518192711004	200.3892607392423	0.223671362400006	6.2222097924432695	46.60809129474514	0.512319684087262	3.18768031591274
9.0.6.0	0.030981155743590002	200.44458740162972	0.22357806574316702	6.241186779370232	46.58622233088602	0.510975547180055	3.189024452819946
9.0.9.0	0.031054921874620004	200.496663533664	0.22349151693281702	6.257677927016495	46.56606479422596	0.509813199129331	3.190186800870671
10.0.2.0	0.031118396146171002	200.5456034986042	0.22341126266369501	6.272002877213817	46.547485929720914	0.5088078162670641	3.191192183732937
10.0.5.0	0.031172953371301004	200.59153064652358	0.22333687536406802	6.284440781738654	46.53036312180187	0.507938085180469	3.192061914819532
10.0.799999999999999.0	0.031219789536118002	200.63457434062903	0.223267952411129	6.295235339484125	46.51458314227909	0.5071856729484451	3.192814327051556
11.0.1.0	0.031259944550341	200.6748674984335	0.22320411525958	6.304599226671381	46.50004145062964	0.5065347854034711	3.19346521459653
11.0.4.0	0.031294322188168	200.71254457377177	0.22314500850638203	6.312717988154535	46.48664154360124	0.505971796977244	3.194028203022756
11.0.7.0	0.031323707546464005	200.74773991509159	0.223090298911602	6.319753451679079	46.4742943511281	0.505484939143245	3.194515060856754
12.0.	0.031348782314745	200.78058644387235	0.223039674392354	6.325846720876904	46.46291767564692	0.505064037120548	3.194935962879448
12.0.299999999999999.0	0.031370138120466004	200.8112146044897	0.22299284300416003	6.33112079699274	46.45243567201243	0.504700286553414	3.195299713446584
12.0.6.0	0.031388288184225004	200.83975154342616	0.22294953192167502	6.335682873933411	46.44277836533471	0.5043860634786981	3.1956139365213
12.0.9.0	0.031403677492967005	200.86632048151313	0.22290948642858502	6.339626346259577	46.433881204192176	0.504114762147008	3.19588523785299
13.0.2.0	0.031416691675123	200.8910402479511	0.22287246892463403	6.343032565213887	46.42568464680701	0.5038806562546381	3.196119343745358
13.0.5.0	0.031427664739868	200.91402494927198	0.22283825795609002	6.345972373793256	46.41813377790448	0.5036787799322621	3.196321220067736
13.0.799999999999999.0	0.031436885823234	200.93538375025614	0.222806647274602	6.348507448206595	46.41117795411006	0.503504825468449	3.196495174531548
14.0.1.0	0.031444605066415006	200.95522074715527	0.22277744492817503	6.35069146978622	46.40477047586865	0.5033550552558751	3.196644944744123
14.0.399999999999999.0	0.031451038736266	200.97363491646897	0.222750472386982	6.352571148510475	46.39886828399408	0.503226225861741	3.196773774138256
14.0.7.0	0.031456373684314004	200.99072012502688	0.22272556370589602	6.354187116715258	46.3934316790795	0.503115522461673	3.196884477538324
15.0.	0.031460771228647	201.00656518929327	0.22270256472489502	6.355574709291155	46.388424062113614	0.5030205021535621	3.196979497846435
15.0.299999999999999.0	0.031464370532427004	201.02125397367263	0.22268133230789702	6.356764644650606	46.38381169475769	0.50293904489674	3.197060955103257
15.0.6.0	0.031467291543518	201.03486551920324	0.222661733620124	6.357783618977363	46.379563477842844	0.50286931101173	3.197130688988266
15.0.899999999999999.0	0.03146963755154	201.04747419540266	0.22264364544366402	6.358654824712035	46.37565074674491	0.5028097043341481	3.1971902956658482
16.0.2.0	0.031471497411544	201.0591498692122	0.22262695353061301	6.359398402858581	46.372047082387894	0.502758840248915	3.197241159751081
16.0.5.0	0.031472947477219	201.06995808599888	0.22261155199291302	6.360031837495459	46.36872813671367	0.5027155179424271	3.197284482057569
16.0.8.0	0.031474053281092006	201.07996025844162	0.222597342727814	6.360570299822004	46.36567147153798	0.502678696304486	3.197321303695511
17.0.099999999999998.0	0.031474870994397004	201.08921385986426	0.222584234877744	6.361026948147844	46.36285640978952	0.502647472991517	3.19735252700848
17.0.4.0	0.031475448695092	201.0977726192066	0.22257214432326303	6.361413189425257	46.360263898201154	0.502621066230419	3.197378933769578
17.0.7.0	0.031475827468877005	201.10568671535827	0.22256099320771003	6.361738907217202	46.35787638058881	0.50259879900017	3.197401200999828
18.0.	0.031476042364853005	201.1130029690327	0.22255070949209402	6.362012660375211	46.355677680917545	0.502580085277718	3.197419914722281
18.0.3.0	0.031476123224713	201.1197650307397	0.22254122653878403	6.362241856160134	46.35365289541171	0.502564418077036	3.197435581922962
18.0.599999999999998.0	0.03147609540189	201.12601356373628	0.222532482722528	6.362432901065899	46.35178829302168	0.502551359046547	3.19744864095345
18.0.9.0	0.031475980385008005	201.1317864211053	0.22252442106734202	6.362591332192911	46.35007122360946	0.502540529421434	3.197459470578563
19.0.2.0	0.031475796338111005	201.13711881633702	0.222516988907865	6.362721931656395	46.34849003326377	0.502531602154301	3.197468397845695
19.0.5.0	0.031475558568541	201.1420434869765	0.22251013757376903	6.362828826199349	46.34703398619814	0.502524295070937	3.197475704929059
19.0.8.0	0.031475279931941005	201.14659085105347	0.222503822095884	6.362915573903931	46.345693192727346	0.502518364918043	3.197481635081953
20.0.099999999999998.0	0.03147497118262	201.15078915614131	0.22249800093273	6.362985239654276	46.34445854285439	0.5025136021872201	3.197486397812775
20.0.4.0	0.031474641276465	201.15466462099292	0.222492635716206	6.363040460793286	46.34332164503646	0.5025098266145931	3.197490173385402
20.0.7.0	0.031474297632646	201.15824156978906	0.22248769101523302	6.363083504232239	46.34227476973005	0.502506883268537	3.197493116731459
21.0.	0.031473946359553	201.16154255909854	0.222483134116216	6.363116316111611	46.34131079734613	0.5025046391493341	3.197495360850662
21.0.3.0	0.031473592449697003	201.16458849770518	0.22247893481921402	6.363140564971428	46.34042317027435	0.502502980234459	3.197497019765537
21.0.599999999999998.0	0.031473239947692	201.16739875949813	0.22247506524881103	6.363157679267147	46.3396058486608	0.502501808911765	3.19749819108823
21.0.9.0	0.031472892094905	201.1699912896502	0.222471499678691	6.363168879960338	46.33885326964831	0.5025010417502951	3.197498958249699
22.0.2.0	0.031472551453873	201.17238270433594	0.22246821436899603	6.363175208820167	46.3381603098103	0.5025006075649511	3.197499392435044
22.0.5.0	0.031472220015216004	201.1745883842534	0.222465187415603	6.363177552990399	46.33752225053006	0.502500445736863	3.197499554263132
22.0.8.0	0.031471899289383	201.1766225622258	0.22246239861049102	6.36317666630558	46.33693474609601	0.50250050475628	3.197499495243714
23.0.099999999999998.0	0.031471590385279004	201.17849840516394	0.22245982931242703	6.363173187778093	46.33639379430145	0.502500740959001	3.197499259040994
23.0.4.0	0.031471294077559005	201.1802280906717	0.22245746232725302	6.363167657623761	46.335895709353345	0.5025011174311871	3.197498882568808
23.0.7.0	0.031471010864113004	201.1818228785756	0.222455281797095	6.3631605311463755	46.33543709691014	0.502501603060568	3.197498396939428
24.0.	0.031470741015107	201.1832931776544	0.222453273097852	6.36315219076044	46.335014831082056	0.502502171714932	3.197497828285064
24.0.3.0	0.031470484614712003	201.1846486078407	0.222451422744379	6.363142956395467	46.33462603324054	0.502502801531251	3.197497198468745
24.0.599999999999998.0	0.031470241596555	201.18589805815577	0.22244971830280602	6.363133094493793	46.3342680524952	0.502503474300923	3.197496525699073
24.0.9.0	0.031470011773752	201.18704974063374	0.222448148309475	6.363122825786601	46.333938447707915	0.5025041749385061	3.19749582506149
25.0.2.0	0.031469794864280004	201.18811124047835	0.222446702196017	6.363112332008937	46.33363497092324	0.50250489102296	3.197495108977037
25.0.5.0	0.03146959051235	201.18908956268731	0.22244537022010802	6.363101761693755	46.33335555210447	0.502505612401802	3.197494387598194
25.0.8.0	0.031469398306347006	201.1899911753688	0.222444143401501	6.363091235166854	46.3330982850728	0.5025063308498681	3.197493669150128
26.0.099999999999998.0	0.031469217793823	201.19082204996263	0.22244301346293402	6.363080848848779	46.33286141455486	0.50250703977541	3.197492960224585
26.0.4.0	0.031469048493977005	201.19158769856892	0.22244197277554803	6.363070678956034	46.33264332425205	0.502507733967244	3.197492266032752
26.0.7.0	0.031468889907977	201.19229320857676	0.22244101430849303	6.363060784681768	46.33244252585103	0.502508409377441	3.197491590622555
27.0.	0.031468741527457	201.19294327477306	0.22244013158239903	6.363051210925871	46.33225764890142	0.502509062934813	3.197490937065183
27.0.3.0	0.03146860284144	201.19354222910442	0.22243931862641403	6.363041990635069	46.33208743149246	0.5025096923850371	3.19749030761496
27.0.599999999999998.0	0.031468473341947	201.19409406825076	0.222438569938568	6.363033146805719	46.3319307116663	0.502510296153815	3.197489703846182
27.0.9.0	0.031468352528475005	201.1946024791655	0.222437880449174	6.36302469419529	46.331786419508816	0.502510873229944	3.197489126770053
28.0.2.0	0.031468239911532005	201.19507086272168	0.22243724548707003	6.36301664078213	46.331653569865516	0.5025114230655741	3.197488576934423
28.0.5.0	0.031468135015370005	201.1955023555995	0.22243666074846402	6.363008989008097	46.331531255633124	0.5025119454913061	3.197488054508693
28.0.799999999999997.0	0.031468037380046006	201.19589985053761	0.222436122268199	6.363001736834058	46.331418641581045	0.5025124406440691	3.197487559355931
29.0.099999999999998.0	0.031467946562926	201.19626601506926	0.22243562639323702	6.36299487863417	46.33131495866157	0.5025129089060111	3.197487091093988
29.0.4.0	0.031467862139726	201.19660330884702	0.222435169758214	6.362988405951541	46.33121949876966	0.5025133508528661	3.197486649147133
29.0.7.0	0.031467783705158	201.19691399966388	0.222434749262883	6.362982308134697	46.33113160991718	0.502513767210459	3.197486232789541
30.0.	0.031467710873272	201.19720017826046	0.22243436205132003	6.362976572871824	46.33105069178894	0.5025141588181921	3.197485841181809
