time	Tstar	V	Vin	Vni
4.0.88.0	302.68390889505315	28047.734116216103	0.066554522224369	28047.667561693394
4.0.96.0	290.8155316217781	26948.00217731124	0.051978049019409	26947.950199261748
5.0.04.0	279.4125138239564	25891.38400938894	0.040594049653846005	25891.34341533881
5.0.12.0	268.45660986523546	24876.19061003985	0.031703322813898004	24876.15890671653
5.0.2.0	257.93028923091697	23900.798892812876	0.024759803124176003	23900.774133009243
5.0.28.0	247.81670855333562	22963.649166179595	0.019337022000709	22963.629829157097
5.0.36.0	238.0996847197501	22063.242698413047	0.015101914097645	22063.227596498462
5.0.44.0	228.7636690234499	21198.13936762972	0.011794360548604001	21198.127573268688
5.0.5200000000000005.0	219.79372231963572	20366.95539574718	0.009211212555643	20366.94618453414
5.0.6000000000000005.0	211.17549114859696	19568.361164737216	0.0071938140601670005	19568.353970922686
5.0.68.0	202.89518478975964	18801.079113280986	0.005618257142547	18801.07349502336
5.0.76.0	194.9395532112773	18063.881711737384	0.004387771640438001	18063.877323965276
5.0.84.0	187.29586588096623	17355.589513202623	0.0034267815587910003	17355.58608642059
5.0.92.0	179.95189140552483	16675.06927835329	0.002676263218316	16675.06660208959
6.0.	172.89587796611954	16021.232171719173	0.0020901200414520003	16021.230081598651
6.0.08.0	166.1165345195474	15393.032027014142	0.0016323513164860002	15393.030394662346
6.0.16.0	159.60301273529663	14789.463679159024	0.00127484104625	14789.462404317499
6.0.24.0	153.34488963991632	14209.561360653612	0.000995631073281	14209.560365022062
6.0.32.0	147.3321509411694	13652.397159991011	0.0007775724173600001	13652.396382418114
6.0.4.0	141.55517500547654	13117.079539853767	0.000607271991066	13117.078932581297
6.0.48.0	136.00471746316123	12602.75191288466	0.00047427000096800004	12602.751438614181
6.0.5600000000000005.0	130.67189641697905	12108.591272883357	0.00037039751071500003	12108.59090248537
6.0.640000000000001.0	125.54817823035332	11633.80687934214	0.000289274707791	11633.806590066959
6.0.72.0	120.6253638726462	11177.638993297942	0.00022591905762500003	11177.63876737841
6.0.8.0	115.89557579967213	10739.35766254309	0.00017643927804100002	10739.357486103336
6.0.88.0	111.35124534850155	10318.261554302673	0.000137796338047	10318.261416505857
6.0.96.0	106.98510062641941	9913.67683355172	0.00010761680159800001	9913.676725934441
7.0.04.0	102.7901548746842	9524.956085209922	8.404705197865207e-05	9524.95600116239
7.0.12.0	98.75969528848788	9151.477278515034	6.563944329666618e-05	9151.477212875106
7.0.2.0	94.88727227524272	8792.642771938306	5.126338657768298e-05	8792.642720674436
7.0.28.0	91.16668913401853	8447.878357065872	4.0035909377470894e-05	8447.87831702948
7.0.36.0	87.59199213962518	8116.632339928971	3.126742391964518e-05	8116.632308661064
7.0.44.0	84.15746101548048	7798.374658323223	2.441937285233606e-05	7798.374633903367
7.0.5200000000000005.0	80.85759978002424	7492.596033712543	1.907115124142834e-05	7492.596014640909
7.0.6000000000000005.0	77.68712795203518	7198.807156366984	1.4894273160608213e-05	7198.807141472226
7.0.68.0	74.64097210078133	6916.537902435659	1.163219619909007e-05	6916.537890802977
7.0.76.0	71.71425772748495	6645.336581705878	9.084564715247878e-06	6645.336572620828
7.0.84.0	68.90230146511348	6384.769214848027	7.094904062225396e-06	6384.769207752635
7.0.92.0	66.20060358401506	6134.418838992014	5.541009969106585e-06	6134.418833450515
8.0.	63.60484079143887	5893.884840528973	4.327442799538098e-06	5893.884836201042
