time	ADP	ATP	BPG	P3G	gap	glc	nadp	nadph	pep	pyr
20.0.4.0	0.00015789944995900002	9.999842100550039	0.004755188563122	2.364419252886777	0.375764502960718	9.369498967344526	0.000324525894639	0.19967547410536002	4.295053943511128	1.104946056488843
21.0.599999999999998.0	0.00015902016583800002	9.99984097983416	0.0047565647258	2.327979132221677	0.38662797779127905	9.333060607146274	0.00032491019881600004	0.199675089801183	4.254412083585677	1.145587916414292
22.0.8.0	0.000160151843468	9.99983984815653	0.0047566742063660005	2.29163947287466	0.39669069012282904	9.296721435060965	0.000325287979963	0.199674712020036	4.213870044074551	1.186129955925416
24.0.	0.00016129428708800002	9.999838705712909	0.004755576313061	2.255400963049552	0.40600386937422506	9.260482197238668	0.000325657876084	0.19967434212391502	4.173429605754408	1.2265703942455541
25.0.2.0	0.000162447280759	9.999837552719239	0.004753325206458	2.219264433169656	0.41461528865955705	9.224343776901392	0.000326018525311	0.199673981474688	4.133092641490703	1.266907358509257
26.0.4.0	0.000163610586231	9.999836389413767	0.004749970232983	2.183230852922108	0.422569491565268	9.188307191716628	0.00032636856157500005	0.199673631438424	4.092861117679381	1.307138882320577
27.0.599999999999998.0	0.000164783940666	9.999835216059333	0.004745556230609	2.147301328820254	0.42990800374005106	9.152373591661199	0.000326706610376	0.199673293389623	4.052737095924219	1.347262904075735
28.0.799999999999997.0	0.000165967054233	9.999834032945769	0.004740123808986	2.11147710226069	0.43666953030327804	9.116544257354247	0.000327031284616	0.199672968715383	4.01272273494999	1.387277265049963
30.0.	0.000167159607531	9.99983284039247	0.0047337096060310006	2.0757595480545312	0.44289014000984006	9.080820598841	0.00032734118048500003	0.19967265881951402	3.972820292752679	1.427179707247274
31.0.2.0	0.00016836124885400003	9.999831638751145	0.004726346522807	2.040150173415151	0.448603437046016	9.045204154811287	0.00032763487338400004	0.19967236512661501	3.933032128988993	1.466967871010963
32.0.4.0	0.00016957159125900002	9.999830428408739	0.004718063938348001	2.004650617387138	0.453840721272019	9.009696592239283	0.00032791091385600004	0.199672089086143	3.893360707608295	1.5066392923916632
