time	ADP	ADP_cyt	AMP	ATP	ATP_cyt	Acetyl_CoA	Acetyl_CoA_cyt	Ala	Asp	Asp_cyt	CO2	Cit	Cit_cyt	CoA	CoA_cyt	Cytc2p	Cytc3p	DHAP	DPG	ETFox	ETFred	F6P	FAD	FADH2	FBP	Fum	G3P	GAP	GDP	GLC	GTP	Glu	Glu_cyt	H2O	IsoCit	IsoCitcyt	LAC	Mal	Mal_cyt	NAD	NADH	NADH_cyt	NADPH	NADPH_cyt	NADP_cyt	NADP_p	NAD_p	OG	OG_cyt	OXA	OXA_cyt	PEP	PYR_cyt	Pi	Pyr	Q	QH2	SCoA	Suc
130.0.	1.3675866206849953e-05	0.00010637996405600001	1.200967540589333e-06	1.2209774208742283e-05	0.009418151917987	0.0005960994643770001	3.000000386267332e-05	0.003440651833538	0.000768546091148	0.001280459796603	0.002173013446306	0.00044005981266800003	0.00087555283793	2.8385841742325664e-10	0.000271999996137	0.0009867033644090002	0.00212329663559	0.007691907961776	0.004076823209569	0.00023351475794000003	0.00039648524205900004	0.012376104162414001	0.0010091861065970001	7.281389340259258e-05	0.00015023644151800002	0.000109478883163	0.007693092038223001	0.026685872586158003	0.000154014903071	0.015515500403447001	0.004795985096928	0.003400802075312	0.002889540203396	0.0015604327974340002	5.7487883964255384e-05	0.00011422179500900001	0.031826217769362	0.00048309693222400006	0.00037117739972000003	3.2786254742232416e-05	3.238135230765729e-05	0.0042039017452570005	0.00031720796545200004	0.0008041136609630001	0.003432574339036	0.009854792034547	0.010787618647692001	1.580924805724221e-06	9.6099119080635e-07	1.175761954813892e-06	9.846704587211446e-08	2.6655315840345463e-05	7.279852811303754e-05	0.003168645349234	0.0006783019781340001	0.025474402251389004	0.028525597748610004	2.5176403366432593e-10	0.0033617266611380005
140.0.	1.4707979534719182e-05	0.00024129673843300002	6.288216218541314e-06	1.104824264666378e-05	0.009278277313166002	0.0005960994691880001	3.0000004003465193e-05	0.0034407033924880003	0.000764939732391	0.001275421659822	0.0021729648365400004	0.00043549856492400003	0.0008740024436100001	2.8132036177306213e-10	0.000271999995996	0.001051921733436	0.002058078266563	0.0076918593655870005	0.0039050367035770002	0.000233833188518	0.000396166811481	0.010746657303790002	0.001009122777754	7.287722224513504e-05	0.0011236606538580001	0.000109322580456	0.007693140634412001	0.029456384370068003	0.00015400720184800002	0.015990530998706003	0.004795992798151	0.00340435687512	0.0028945783401770004	0.001567840819807	5.63489984329722e-05	0.00011292430809900001	0.033833116160467004	0.00048236244130900005	0.000373811429939	8.763328044459102e-05	3.208697886976479e-05	0.004149054719555	0.00033531830566300004	0.0008128652697500001	0.003423822730249	0.009836681694336	0.01078791302113	1.5457492299931637e-06	9.474713905983258e-07	1.1636198705893298e-06	9.706382551066637e-08	4.0790853356351715e-05	0.00018589034204500001	0.0031612898649630004	0.000696296622628	0.025503567415468	0.028496432584531002	2.494913656883724e-10	0.0033503663660310002
150.0.	1.27401545545016e-05	0.00011630784391800001	1.43596276098199e-06	1.06041772986526e-05	0.009410530351467	0.000596099472249	3.0000004142502592e-05	0.0034407550955690004	0.000761389902787	0.0012704412452210002	0.0021729208959610003	0.00043084779886700005	0.0008720854370490001	2.7972167967444454e-10	0.00027199999585700004	0.001117020513587	0.0019929794864120003	0.007691810540329001	0.004084706061166001	0.00023415165095300001	0.000395848349046	0.013383781827064001	0.001009059655392	7.294034460766975e-05	0.00021089756781	0.00010916797996100001	0.00769318945967	0.028702524087119003	0.000153999560887	0.016415041668301	0.004796000439112	0.0034078550016420003	0.002899558754778	0.0015755300846330002	5.540919214537037e-05	0.00011198890643100001	0.033872362943637005	0.000481650160342	0.000376446427615	3.6201859581443284e-05	3.1897681204842774e-05	0.004200486140418	0.00035340252725700005	0.00082151140893	0.0034151765910690004	0.009818597472742	0.010788102318795002	1.5166582196995982e-06	9.372605015992613e-07	1.156832183101284e-06	9.595034990179571e-08	2.7971530496139564e-05	8.063493232829249e-05	0.003153648440603	0.0007142697915140001	0.025532712023737	0.028467287976262003	2.480285780534008e-10	0.003338882662913
160.0.	1.4453428756481862e-05	0.000100991079464	1.0844626741452489e-06	1.0377756199573021e-05	0.009424711762905	0.0005960994742280001	3.0000004280200293e-05	0.0034408069374710004	0.0007578854456480001	0.001265508415519	0.002172879488068	0.00042615810242800005	0.00086992941256	2.786686911159072e-10	0.000271999995719	0.001182011591905	0.001927988408094	0.007691762045133	0.004103191088402	0.00023446998132100003	0.000395530018678	0.010732371069811002	0.0010089967390920001	7.300326090734435e-05	0.00041507841397800003	0.000109013548389	0.007693237954866001	0.033849000365148	0.000153991951235	0.016794910951450002	0.004796008048764001	0.0034113076168800003	0.0029044915844800004	0.001583015103527	5.459902494123744e-05	0.000111287660565	0.036303893273918	0.00048094762615500004	0.000379083620403	3.515928944366401e-05	3.176461900154878e-05	0.004201528710556001	0.00037146118432800003	0.000830072853835	0.003406615146164	0.009800538815671	0.010788235380998	1.49240108637006e-06	9.294824430263439e-07	1.151520761944894e-06	9.511149209404208e-08	2.6240945988884052e-05	7.498838663327723e-05	0.0031462087152670003	0.0007322198500560001	0.025561828378428002	0.028438171621571	2.471029220487208e-10	0.0033273151498360003
170.0.	1.2390393617773641e-05	0.00018151806329	3.485442341107442e-06	9.988281872360168e-06	0.009344236308878	0.000596099475132	3.0000004416777942e-05	0.0034408589134190004	0.0007544173772040001	0.001260614669465	0.0021728370316510003	0.000421461131502	0.000867617520652	2.7820354715033216e-10	0.00027199999558300003	0.0012469049978690002	0.0018630950021300001	0.007691713137497001	0.00404159636566	0.00023478812832600002	0.000395211871673	0.013893599585844001	0.001008934028388	7.306597161121739e-05	0.00046589682127700006	0.00010885847266400001	0.007693286862502001	0.030515404937685002	0.000153984366192	0.017134306320375003	0.004796015633807001	0.0034147237093750003	0.0029093853305340004	0.001590271458645	5.387406143162291e-05	0.00011073709210300001	0.035622918680835	0.000480247896392	0.00038172485432300005	5.248459326125085e-05	3.1661241405858994e-05	0.004184203406738	0.00038949449521	0.0008385626876480001	0.003398125312351	0.009782505504789001	0.010788338758594002	1.469950985718543e-06	9.227782737962476e-07	1.14995680251844e-06	9.438972540073373e-08	3.4931766570365556e-05	0.00012055413224700001	0.0031389986912480003	0.0007501434268720001	0.025590914460185	0.028409085539814003	2.46664435157531e-10	0.0033156884854680002
180.0.	1.352197347143195e-05	0.000101475705008	1.0921037331924e-06	1.0149015308553911e-05	0.009425379692478001	0.000596099476361	3.000000455244547e-05	0.0034409110190440004	0.000750980621356	0.001255755126182	0.00217279719822	0.00041677744037800003	0.000865203620643	2.775507292937693e-10	0.00027199999544700004	0.0013117092527730001	0.0017982907472260002	0.007691664609879001	0.004132168607735001	0.00023510609496200002	0.00039489390503700004	0.011912023705866	0.0010088715228040001	7.312847719562009e-05	0.00017103882882900002	0.00010870221313200001	0.0076933353901200005	0.035154893101742	0.000153976794584	0.017438110902633003	0.004796023205415	0.0034181083595980002	0.0029142448738170004	0.0015979029127720001	5.320460404221289e-05	0.00011028179954000001	0.037557305349528	0.00047954649693000004	0.000384371606966	3.1139176870341406e-05	3.1576022301396865e-05	0.004205548823129001	0.000407502464813	0.000846989596468	0.0033896984035310003	0.009764497535186	0.010788423977698	1.4499444380063378e-06	9.172289812276898e-07	1.1468186505448098e-06	9.377071087337271e-08	2.6395678796393745e-05	6.978319810246643e-05	0.003131410938951	0.0007680441816050001	0.02561997173901	0.028380028260989003	2.460873267000008e-10	0.00330401784771
190.0.	1.3496180897423832e-05	0.00026647901833800003	7.67890124615194e-06	9.77387628540838e-06	0.009254190513232001	0.0005960994766470001	3.000000468725797e-05	0.0034409632503490002	0.0007475724263470001	0.0012509271255610002	0.0021727548653760003	0.00041212036277700004	0.0008627218515230001	2.7739858383107985e-10	0.000271999995312	0.001376431636837	0.001733568363162	0.007691615869458001	0.003924000734816	0.00023542389434800002	0.00039457610565100004	0.012222350225552	0.00100880922187	7.319077812951489e-05	0.0011980014210340002	0.00010854447107200001	0.007693384130541001	0.034184765448037	0.00015396923438	0.017709703596895002	0.004796030765619	0.003421464323302	0.0029190728744380003	0.0016049506994260001	5.257341988849057e-05	0.000109888585666	0.038003825281067	0.000478840746723	0.000387023725635	9.626353879023619e-05	3.149804252724088e-05	0.004140424461209	0.000425484984206	0.0008553596026980001	0.003381328397301	0.009746515015793001	0.010788501957472002	1.430688170645669e-06	9.120693031213411e-07	1.146138506553622e-06	9.323271294927706e-08	4.3736257281530115e-05	0.000205345703834	0.0031244093491300004	0.000785916881694	0.025649001944761003	0.028350998055238004	2.4595418487181833e-10	0.0032923130072250004
200.0.	1.2814405040250932e-05	0.000107144345244	1.2179058968692951e-06	9.98274951644387e-06	0.009420459084301001	0.000596099477493	3.0000004821317774e-05	0.003441015603591	0.0007441893922470001	0.001246127251878	0.002172714226141	0.000407497447466	0.0008601950359890001	2.7695721825753894e-10	0.00027199999517800005	0.0014410783959760002	0.001668921604023	0.0076915671768360006	0.004144134229589	0.00023574154845400002	0.00039425845154500005	0.012989263502693001	0.00100874712513	7.325287486925906e-05	0.000190209380198	0.00010838511065300001	0.0076934328231630005	0.035661039479779	0.000153961684568	0.017952610286238003	0.0047960383154300006	0.003424795004161	0.002923872748121	0.0016125804806040001	5.1967621184417e-05	0.00010953294811800001	0.038510068286719004	0.00047812940423800005	0.00038968295473200003	3.325124539806743e-05	3.142688417303665e-05	0.004203436754601	0.000443441863564	0.0008636759692910001	0.0033730120307080003	0.009728558136434001	0.010788573115826	1.4123432485572649e-06	9.073357690371276e-07	1.144426374324652e-06	9.26767010971329e-08	2.723255485648748e-05	7.453349516217969e-05	0.0031168240661580003	0.000803765533576	0.025678006737069003	0.02832199326293	2.455491313904238e-10	0.003280580003505
210.0.	1.436480189281528e-05	0.000220362653797	5.23779572760472e-06	9.812880698742426e-06	0.009301840357883001	0.000596099477882	3.0000004954649373e-05	0.0034410680753070005	0.000740831544786	0.001241355624678	0.00217267229079	0.00040291454400000003	0.0008576368804340001	2.76741228122208e-10	0.00027199999504500005	0.00150565490287	0.0016043450971290002	0.007691518614299	0.003994031006051	0.00023605907456000002	0.000393940925439	0.010830451465744	0.00100868523214	7.331476785991722e-05	0.0010789250124220002	0.00010822398547700001	0.007693481385700001	0.038381835141679005	0.000153954140413	0.018170026497327	0.004796045859586	0.0034281003799060002	0.002928644375321	0.001619714748635	5.1380635131168354e-05	0.00010920223684900001	0.040096894091254005	0.00047741117658100005	0.000392348251754	8.138914333409919e-05	3.135723965156042e-05	0.004155298856665	0.000461372875246	0.000871941773594	0.0033647462264050003	0.009710627124753	0.010788642760348001	1.39483280567554e-06	9.029123945194098e-07	1.14304000979959e-06	9.220706820690584e-08	3.9564097049878126e-05	0.00017391958453100002	0.003109735590593	0.0008215869128000001	0.025706988081918004	0.028293011918081003	2.453758899125998e-10	0.003268822939494
220.0.	1.231187617031667e-05	0.000118552944532	1.491685144562084e-06	9.808901009149567e-06	0.009409453083143001	0.000596099478315	3.0000005087275884e-05	0.0034411206622250003	0.0007374965004390001	0.0012366097912870002	0.0021726298157890003	0.000398374017001	0.0008550570138050001	2.765236193981372e-10	0.00027199999491200004	0.0015701657829930002	0.001539834217006	0.007691469751973001	0.004149189792392	0.000236376486807	0.000393623513192	0.013899169944712	0.0010086235424650002	7.337645753473275e-05	0.00025501295566	0.00010806110693900001	0.007693530248026	0.035983548901309004	0.000153946606418	0.018364240191506002	0.004796053393581	0.003431382837334	0.002933390208712	0.0016271094954470001	5.0807262956490787e-05	0.00010888608722200001	0.039267053335864006	0.00047668596628800005	0.00039502083441900004	3.7197441042475554e-05	3.1289755801117714e-05	0.004199490558957001	0.00047927776469900004	0.0008801581832490001	0.00335652981675	0.0096927222353	0.010788710244198	1.377233532482543e-06	8.984546532499696e-07	1.14261061387396e-06	9.168853514594899e-08	2.873506780932334e-05	8.34848553443851e-05	0.003102387171289	0.000839381534259	0.025735946692337003	0.028264053307662	2.45161133790574e-10	0.0032570445153500003
230.0.	1.400863360033196e-05	9.801396463975089e-05	1.019079671528282e-06	9.907788185295578e-06	0.009428669023903	0.000596099478979	3.0000005219242055e-05	0.003441173361278	0.0007341846390270001	0.001231890261811	0.0021725881027290003	0.000393878240264	0.000852461123804	2.7616358669060104e-10	0.00027199999478	0.001634615013332	0.0014753849866670002	0.007691421252229	0.004181397811697	0.000236693799121	0.00039330620087800006	0.011274213798155	0.0010085620556810001	7.34379443188301e-05	0.000335084787361	0.000107896393807	0.007693578747770001	0.040519224894156006	0.00015393907662200002	0.018538258171019003	0.004796060923377	0.0034346419996930003	0.0029381097381880003	0.0016344689744920001	5.024442123236484e-05	0.00010857892428400001	0.041121934175611004	0.000475953121432	0.00039770010507400003	3.1269049345149537e-05	3.1223466728293135e-05	0.004205418950654001	0.000497156261006	0.0008883267266290001	0.0033483612733700005	0.009674843738993001	0.010788776533271	1.360643067692394e-06	8.943455651639705e-07	1.140585952767344e-06	9.122529592240188e-08	2.6283861289016584e-05	6.931037393037791e-05	0.0030950732561700004	0.0008571504197940001	0.025764884112508	0.028235115887491002	2.4485712324102125e-10	0.0032452466036980003
240.0.	1.2260583390936272e-05	0.00022242842117200002	5.263149291130906e-06	9.636815807081978e-06	0.009302029520338	0.000596099479089	3.0000005350518884e-05	0.0034412261695770004	0.0007308950302730001	0.001227196052459	0.002172543993461	0.00038942800008900003	0.000849852978201	2.761125606831882e-10	0.000271999994649	0.001699005999076	0.001410994000923	0.007691372355129001	0.004064524278616	0.000237011017416	0.00039298898258300003	0.014095260395421002	0.00100850077137	7.349922862940197e-05	0.0006476013914330001	0.000107729879743	0.007693627644870001	0.036569379113044004	0.00015393155551100002	0.018693637818393	0.004796068444488001	0.003437878800148	0.0029428039475400004	0.0016415392871750002	4.969073753203109e-05	0.00010827759896300001	0.040049133818292004	0.00047521272021700006	0.000400386055343	6.411797000227612e-05	3.1156698112525014e-05	0.004172570029997	0.000515008090506	0.0008964481122310001	0.0033402398877680002	0.009656991909493	0.010788843301887	1.343664428810002e-06	8.900353693486347e-07	1.140760722125193e-06	9.075897056860644e-08	3.9848543283191114e-05	0.000149376943407	0.003088050900161	0.0008748901488920001	0.025793800615957003	0.028206199384042	2.447979438425984e-10	0.003233430703365
250.0.	1.3225820416966301e-05	0.00010097179077400001	1.0811492694015548e-06	9.899704230403269e-06	0.009426440025308	0.000596099479863	3.0000005481167682e-05	0.0034412790843690003	0.0007276271235020001	0.001222526706771	0.0021725018232340004	0.00038502369895300004	0.0008472353605960001	2.7570148210142594e-10	0.000271999994518	0.0017633416321180002	0.0013466583678810001	0.007691323814751001	0.004198891051557001	0.00023732815182400002	0.00039267184817500005	0.012384549183499	0.001008439689122	7.356031087777615e-05	0.00019042646035300002	0.000107561542518	0.007693676185248001	0.040418357700831006	0.000153924040004	0.018832877016948	0.0047960759599950005	0.0034410937921270004	0.0029474732932280004	0.0016490705064640002	4.9144044151844475e-05	0.000107978352918	0.041440166523717	0.00047446460683200003	0.000403079169743	3.131197863326702e-05	3.10919189807434e-05	0.004205376021366	0.0005328329684510001	0.000904522819476	0.0033321651805230004	0.009639167031548001	0.010788908081019	1.3275364351678628e-06	8.860128554114643e-07	1.138801964866205e-06	9.029327151315684e-08	2.6789881278178614e-05	7.043440724479096e-05	0.0030805656957780003	0.000892604769758	0.025822697042115	0.028177302957884003	2.4443478243146954e-10	0.003221597802864
