time	ST	STU	STUS	STUST	STUSU	SU	SUST	SUSTU
95.0.	3.335461728391513	0.126835649111491	0.406145608749556	0.7126271938594331	0.44436055933357305	0.09197997041872501	0.28703892438905604	0.264395559477387
100.0.	3.243991594464497	0.12227484235480501	0.39086326252143705	0.6849529719934051	0.428285389141043	0.08969597648584801	0.27252648951158703	0.251165494029567
105.0.	3.151457932631082	0.117730256946366	0.37567744945236103	0.657503268509471	0.41240634776737506	0.087291581956889	0.25792890152922804	0.23784066689277003
110.0.	3.057776260882294	0.11320062113100302	0.36058369748123104	0.6302700756996481	0.396685011429572	0.08478730439693101	0.243341405070562	0.22451122720596603
115.0.	2.962913521798659	0.108686888419323	0.34558517079205703	0.603259350722266	0.381098668518052	0.082199123702634	0.22884345066213702	0.21125205253190502
120.0.	2.8668794402248663	0.10419175430994201	0.33069091720444804	0.576487702312901	0.36563663609219405	0.079539686832097	0.214502896240563	0.19812680276789402
125.0.	2.769720372988143	0.09971929828526001	0.31591456473550805	0.5499799210187241	0.35029746385381105	0.076819245834346	0.20037909938115903	0.185190911254998
130.0.	2.671514978015003	0.095274715783714	0.301273340703662	0.523767114822087	0.33508681724362904	0.07404639005838401	0.186525153657424	0.17249375616811202
135.0.	2.57237119261093	0.090864113999228	0.286787320157327	0.497885275562412	0.320015872786831	0.071228620542853	0.172989462328817	0.160080197801205
140.0.	2.472424124502769	0.08649435189876101	0.27247883430637504	0.47237414699367103	0.305100094533577	0.068372803750359	0.159816795712166	0.147991622505555
145.0.	2.371834539499752	0.08217290959042	0.25837198697977004	0.447276298303223	0.29035828970078303	0.065485532835081	0.14704894280018802	0.136266599646926
150.0.	2.270787686355504	0.07790777566068001	0.24449223990851401	0.42263633123598104	0.27581186491770604	0.062573417230607	0.134725040902027	0.124941232097449
155.0.	2.169492239722663	0.07370734370989501	0.23086603721068902	0.39850016720959003	0.26148422273258304	0.059643315213999	0.12288164760572001	0.11404926186506902
160.0.	2.068179171372072	0.069580311326709	0.21752044681759702	0.37491437481355505	0.24740025224762102	0.056702518973030004	0.11155260585445201	0.103621979203802
165.0.	1.96710038246099	0.06553557636153601	0.204482802451144	0.35192550919971705	0.23358587883643	0.053758897369496	0.10076874432431401	0.093687974926871
170.0.	1.866526949345002	0.061582126746967	0.19178033468708602	0.329579444085325	0.22006764665615702	0.050820997924474004	0.090557450729705	0.084272770846832
175.0.	1.766746855631534	0.057728921392333	0.17943978402604802	0.30792068513521303	0.20687231475466702	0.047898106515389005	0.080942154411156	0.075398361591386
180.0.	1.668062106965421	0.053984760943626	0.167486993041939	0.28699166088613204	0.194026453520346	0.045000260932469005	0.07194175583845301	0.06708270181763401
185.0.	1.570785155145456	0.05035814851047601	0.155946478778435	0.26683199445266903	0.18155603343762203	0.042138212955769	0.06357004366600001	0.059339175337227004
190.0.	1.475234596727921	0.046857141846671	0.144840990702645	0.24747776614864503	0.16948600288909701	0.039323333228707	0.055835143723241006	0.052176086002511
