time	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
4.0.4.0	0.22369340337561902	0.11726394944439401	0.856915906153308	0.47632706582280804	0.711224831806724	4.988767962838707	0.239759819036987	1.928394871622468	2.442542716493165	0.9132001793445931	0.37127573845857603	2.008231180343614	0.002011438687939	4.316826251778694	0.491184358622798	0.135982973114218	0.40852591576233604	0.17674428102599402
4.0.800000000000001.0	0.21987701671297902	0.116770470370851	0.8670084938933521	0.46207360715538504	0.717816486421873	5.047438439565717	0.23649300597512302	1.923925852887168	2.505380832158569	0.923421499432103	0.38064893379474	2.058151616385025	0.002029611443266	4.300297741552348	0.49288474814849503	0.136196525652012	0.41777470271696104	0.17718999320942902
5.0.2.0	0.21747293763865003	0.11669020860900602	0.8762930911653181	0.45337306708978103	0.7244775080960211	5.101482527030855	0.234672981075205	1.919537870318013	2.56463900931187	0.9335459095682541	0.389499171864149	2.105336131500334	0.002052940116217	4.283227613395332	0.49496344593080005	0.13653067471232802	0.425684773469781	0.177866838541017
5.0.6000000000000005.0	0.21638719633956002	0.11701155049493801	0.8848151902477541	0.44969588001575206	0.731168864632289	5.151145956459865	0.23421579667546302	1.915219347418431	2.620957324721225	0.943535452344695	0.397924647509932	2.150318912882116	0.002080986652881	4.266366617012566	0.497506130551616	0.13699778543246902	0.43223569734690204	0.17877006726153502
6.0.	0.216481431411035	0.117702643338377	0.8926358931552981	0.450452291341062	0.7378564424447761	5.196769782477574	0.23499362100852803	1.910959755333585	2.6749465775257653	0.9533599620012561	0.40601717042731805	2.193591216916418	0.002113414648847	4.25022896122071	0.5005350588773131	0.13759791268895302	0.437478371577497	0.17988283041011802
6.0.4.0	0.21760163123657603	0.11872116594465301	0.899822378595823	0.45507263849114604	0.744510989339213	5.238733789733072	0.236860404061481	1.9067497080520521	2.7271292727748193	0.962996823060364	0.41385406589001106	2.235561477176453	0.0021499322576710002	4.235145904513455	0.504028497833391	0.138322644915076	0.44151382043935705	0.18118119834932
6.0.800000000000001.0	0.21959632239264001	0.120021518623002	0.9064417790183901	0.46304630096831306	0.751107750011186	5.27742006923977	0.23966926974245703	1.902580990728321	2.777916946248933	0.9724302355216851	0.42149536263602205	2.276542885154427	0.002190266413049	4.221308969242285	0.5079382077579531	0.13915862682569302	0.44447240381954206	0.182638382342304
7.0.2.0	0.22232678429547903	0.12155951750949001	0.912557475505498	0.47393606875480904	0.7576259570198901	5.313190894123821	0.243283010404813	1.898446532639583	2.827609374215441	0.9816502386795751	0.42898409369685103	2.316756828182638	0.002234152855503	4.208804972263378	0.512203455978101	0.14009035483985702	0.44649620405456003	0.184227736374344
7.0.6000000000000005.0	0.22567171202187403	0.12329503309964401	0.918227041421469	0.487378942307062	0.764048275694262	5.34637634488521	0.24757941540813402	1.894340339752112	2.8764052707590473	0.990651662924356	0.436348173324614	2.356344090069248	0.0022813333208070003	4.19764433707747	0.5167609729539521	0.14110212262815502	0.44772592045763504	0.185924565448626
8.0.	0.22952833903520503	0.12519313799078002	0.9235012711661751	0.503080190794808	0.770360259062972	5.377268349408982	0.25245309573769303	1.8902574014002291	2.924417556447761	0.999433115599002	0.44360284699308106	2.395378615776806	0.002331555310058	4.187783768120901	0.521551125422899	0.142179199036326	0.448292345383682	0.18770699225724502
