time	Ln_	NRLc	NRLm	NRLn	NRc	NRm	NRn	RE	REL
9.0.6.0	0.004999981349814	0.208955183936838	0.208954529746004	0.40883560492368104	41.791044816063085	41.79104547025392	81.76744673418253	2.626282339105953	1.073717660894045
9.0.9.0	0.004999987523106	0.208955197158392	0.208954759507526	0.40883613635575305	41.79104480284153	41.791045240492394	81.76744519612464	2.626281332480191	1.073718667519808
10.0.2.0	0.004999991653012	0.20895520600355802	0.20895491321704002	0.40883649188159904	41.79104479399637	41.791045086782866	81.7674441671708	2.626280659052175	1.073719340947825
10.0.5.0	0.004999994415902	0.20895521192093702	0.20895501604805203	0.408836729726867	41.79104478807898	41.791044983951856	81.7674434788053	2.62628020853191	1.073719791468089
10.0.799999999999999.0	0.004999996264263	0.20895521587963703	0.208955084841552	0.408836888844311	41.791044784120274	41.791044915158345	81.7674430182918	2.626279907135909	1.07372009286409
11.0.1.0	0.004999997500809	0.208955218527991	0.2089551308641	0.408836995293177	41.79104478147192	41.7910448691358	81.76744271021033	2.626279705503358	1.073720294496641
11.0.4.0	0.004999998328052001	0.20895522029972702	0.208955161652979	0.40883706650699203	41.79104477970019	41.79104483834693	81.76744250410525	2.6262795706121	1.073720429387901
11.0.7.0	0.004999998881474	0.20895522148501103	0.20895518225060203	0.40883711414871504	41.7910447785149	41.79104481774931	81.76744236622184	2.626279480370461	1.073720519629539
12.0.	0.004999999251711001	0.20895522227796	0.208955196030318	0.40883714602081306	41.79104477772195	41.7910448039696	81.76744227397849	2.626279419999215	1.073720580000785
12.0.299999999999999.0	0.004999999499398	0.20895522280844	0.20895520524888603	0.40883716734310205	41.791044777191466	41.791044794751016	81.76744221226808	2.626279379611125	1.073720620388874
12.0.6.0	0.004999999665099001	0.208955223163329	0.20895521141606702	0.408837181607618	41.79104477683659	41.79104478858385	81.7674421709841	2.626279352591676	1.073720647408322
12.0.9.0	0.004999999775953	0.20895522340074701	0.208955215541883	0.40883719115051403	41.79104477659916	41.79104478445802	81.7674421433653	2.626279334515787	1.07372066548421
13.0.2.0	0.004999999850113001	0.20895522355957902	0.208955218302035	0.408837197534669	41.79104477644032	41.79104478169787	81.76744212488848	2.6262793224231	1.073720677576899
13.0.5.0	0.004999999899726	0.20895522366583802	0.20895522014856502	0.40883720180564104	41.791044776334076	41.79104477985135	81.7674421125276	2.626279314333144	1.073720685666855
13.0.799999999999999.0	0.004999999932917	0.20895522373692402	0.208955221383885	0.408837204662901	41.79104477626298	41.791044778616026	81.76744210425821	2.626279308921001	1.073720691078998
14.0.1.0	0.004999999955122	0.20895522378448	0.20895522221030802	0.40883720657439404	41.79104477621543	41.7910447777896	81.76744209872604	2.626279305300302	1.0737206946996949
14.0.399999999999999.0	0.004999999969977	0.20895522381629503	0.20895522276318101	0.408837207853175	41.79104477618362	41.791044777236735	81.76744209502505	2.626279302878072	1.073720697121925
14.0.7.0	0.004999999979914	0.20895522383757903	0.208955223133051	0.408837208708673	41.79104477616234	41.79104477686686	81.7674420925491	2.626279301257611	1.073720698742386
15.0.	0.004999999986563	0.20895522385181803	0.20895522338049202	0.40883720928099704	41.7910447761481	41.79104477661942	81.7674420908927	2.626279300173531	1.073720699826466
15.0.299999999999999.0	0.00499999999101	0.20895522386134302	0.20895522354602902	0.40883720966387904	41.79104477613857	41.79104477645388	81.7674420897846	2.626279299448286	1.073720700551711
15.0.6.0	0.004999999993986	0.208955223867716	0.20895522365677102	0.40883720992002204	41.7910447761322	41.79104477634314	81.76744208904323	2.626279298963107	1.07372070103689
15.0.899999999999999.0	0.004999999995976	0.208955223871979	0.208955223730857	0.408837210091381	41.79104477612794	41.79104477626906	81.76744208854726	2.626279298638523	1.073720701361474
16.0.2.0	0.004999999997308001	0.208955223874831	0.20895522378042103	0.40883721020602104	41.79104477612508	41.791044776219486	81.76744208821545	2.626279298421376	1.073720701578621
16.0.5.0	0.004999999998199001	0.20895522387674	0.208955223813579	0.408837210282714	41.79104477612318	41.79104477618633	81.76744208799346	2.626279298276105	1.0737207017238921
16.0.8.0	0.0049999999987950005	0.20895522387801602	0.208955223835762	0.40883721033402304	41.79104477612191	41.79104477616416	81.76744208784497	2.626279298178919	1.073720701821078
17.0.099999999999998.0	0.0049999999991910005	0.208955223878863	0.208955223850486	0.408837210368081	41.791044776121055	41.79104477614944	81.7674420877464	2.6262792981144063	1.07372070188559
17.0.4.0	0.004999999999454	0.20895522387942803	0.20895522386029403	0.40883721039076504	41.79104477612047	41.79104477613962	81.76744208768073	2.626279298071438	1.073720701928558
17.0.7.0	0.004999999999632	0.20895522387980803	0.20895522386690701	0.40883721040606	41.79104477612008	41.79104477613299	81.76744208763647	2.626279298042466	1.07372070195753
18.0.	0.0049999999997510005	0.20895522388006502	0.208955223871365	0.40883721041637405	41.791044776119826	41.79104477612853	81.76744208760661	2.626279298022931	1.073720701977065
18.0.3.0	0.004999999999832001	0.20895522388023802	0.20895522387437201	0.40883721042332805	41.791044776119655	41.791044776125524	81.76744208758649	2.626279298009759	1.073720701990238
18.0.599999999999998.0	0.004999999999887	0.208955223880354	0.208955223876399	0.408837210428017	41.79104477611953	41.791044776123485	81.76744208757292	2.626279298000876	1.073720701999119
18.0.9.0	0.004999999999923	0.20895522388043303	0.20895522387776602	0.40883721043117904	41.791044776119456	41.79104477612213	81.76744208756377	2.626279297994887	1.073720702005108
19.0.2.0	0.004999999999948	0.208955223880486	0.208955223878688	0.40883721043331	41.79104477611939	41.791044776121204	81.76744208755764	2.62627929799085	1.073720702009146
19.0.5.0	0.004999999999965	0.208955223880522	0.208955223879309	0.408837210434748	41.79104477611936	41.79104477612056	81.76744208755345	2.626279297988126	1.073720702011869
19.0.8.0	0.004999999999976	0.20895522388054602	0.208955223879728	0.408837210435717	41.79104477611933	41.79104477612014	81.76744208755068	2.62627929798629	1.073720702013705
20.0.099999999999998.0	0.004999999999984001	0.208955223880562	0.208955223880011	0.40883721043637106	41.79104477611932	41.79104477611986	81.76744208754882	2.626279297985052	1.073720702014943
20.0.4.0	0.004999999999989	0.20895522388057303	0.20895522388020202	0.40883721043681204	41.79104477611932	41.79104477611968	81.76744208754748	2.626279297984216	1.073720702015777
20.0.7.0	0.004999999999992	0.20895522388058102	0.20895522388033003	0.408837210437109	41.79104477611932	41.79104477611956	81.7674420875466	2.626279297983654	1.07372070201634
