time	RCC1	RCC1_Ran	RCC1_RanGDP	RCC1_RanGTP	RanBP1	RanGAP	RanGDP_cy	RanGDP_nuc	RanGTP_RanBP1	RanGTP_cy	RanGTP_nuc
7.0.8.0	0.12156035307641301	0.032897593937612005	0.041755563442863006	0.503786489543111	1.999968233697631	0.7000000000000001	2.914293387974962	0.28836464749746404	3.1766302373734084e-05	0.0040066795472510006	2.255697954838306
8.0.1.0	0.11881790681449501	0.033051708480805006	0.041619584452170004	0.506510800252528	1.999967292225815	0.7000000000000001	2.865509211971275	0.29353604205183903	3.2707774190493625e-05	0.004125071062279001	2.320781378547189
8.0.4.0	0.11627886648838001	0.033194323290859	0.041482610797471	0.509044199423288	1.999966379551135	0.7000000000000001	2.818384132879909	0.29844386696381403	3.3620448870352265e-05	0.0042398382357900005	2.383848612173777
8.0.7.0	0.11392293886367101	0.03332658943812	0.041345318148193005	0.511405153550014	1.999965494962996	0.7000000000000001	2.772860853274499	0.303101841247159	3.450503700918823e-05	0.004351070784716	2.444951453968156
9.0.	0.11173239632545201	0.033449512277319	0.041208272065067005	0.513609819332161	1.9999646377442701	0.7000000000000001	2.7288840590474983	0.307523066911217	3.5362255734813525e-05	0.0044588592075370005	2.504141908643984
9.0.299999999999999.0	0.10969168881732601	0.033563973498424	0.041071945457102	0.515672392227146	1.999963807176001	0.7000000000000001	2.686400358644343	0.311720031634291	3.61928240036916e-05	0.004563294198294	2.561471888678902
9.0.6.0	0.107787123263735	0.033670749341902	0.040936733001859	0.5176053943925021	1.9999630025411692	0.7000000000000001	2.64535822218715	0.31570461792881704	3.699745883647613e-05	0.004664466177712	2.616992976595125
9.0.9.0	0.10600659734444101	0.033770525724878	0.040802963115066	0.519419913815613	1.9999622231276981	0.7000000000000001	2.605707920969127	0.319488117026736	3.7776872306961065e-05	0.004762464918287	2.670756236173807
10.0.2.0	0.104339377293285	0.033863910865296006	0.040670907931612	0.521125803909806	1.999961468230866	0.7000000000000001	2.567401467684302	0.323081246126361	3.853176913861332e-05	0.004857379245194001	2.722812063114589
10.0.5.0	0.10277591154971401	0.033951445868570004	0.040540791664313	0.522731850917401	1.999960737155211	0.7000000000000001	2.530392557666457	0.32649416795768205	3.9262844793304096e-05	0.004949296798585001	2.773210067622828
10.0.799999999999999.0	0.10130767376083501	0.034033613646332006	0.040412797632654006	0.524245914960177	1.999960029216044	0.7000000000000001	2.494636511340231	0.32973651186538705	3.9970783960420166e-05	0.005038303845859	2.821998982935855
11.0.1.0	0.099927029931237	0.034110846462978	0.040287074195784006	0.5256750494100001	1.999959343740632	0.7000000000000001	2.460090218031847	0.33281739579578	4.0656259372885005e-05	0.005124485134711	2.869226594991978
11.0.4.0	0.098627125535495	0.034183532347889005	0.040163739778631004	0.527025602337983	1.999958680069114	0.7000000000000001	2.426712081243392	0.33574544871836903	4.131993089099103e-05	0.005207923779600001	2.914939689381661
11.0.7.0	0.09740178920953001	0.034252020565634006	0.04004288714412901	0.5283033030807051	1.999958037555198	0.7000000000000001	2.394461965460405	0.33852883312519005	4.196244480626525e-05	0.005288701175671	2.959184012458321
12.0.	0.09624545027133001	0.034316626300414	0.039924587036102	0.529513336392152	1.9999574155666782	0.7000000000000001	2.3633011445357193	0.34117526733831305	4.2584433326555476e-05	0.005366896935275	3.002004244071786
12.0.299999999999999.0	0.095153067826361	0.034377634682317006	0.039808891294665	0.530660406196655	1.9999568134857941	0.7000000000000001	2.333192251671457	0.343692047424138	4.3186514210665126e-05	0.005442588843156001	3.043443979854188
12.0.6.0	0.094120069616706	0.034435304259987004	0.039695835527844	0.5317487905954611	1.999956230709477	0.7000000000000001	2.304099231004635	0.34608606856635504	4.376929052657822e-05	0.005515852827035	3.083545721362206
12.0.9.0	0.093142299097449	0.034489870005901	0.039585441408441	0.532782389488207	1.999955666649492	0.7000000000000001	2.275987290789061	0.34836384579104	4.4333350511912705e-05	0.005586762940955	3.122350872680719
13.0.2.0	0.092215969485818	0.034541545925515005	0.039477718653365	0.5337647659353011	1.999955120732485	0.7000000000000001	2.248822858156243	0.350531533969887	4.487926751895542e-05	0.0056553913591490005	3.159899742336613
13.0.5.0	0.091337623741087	0.034590527329511005	0.03937266673301	0.53469918219639	1.9999545923999742	0.7000000000000001	2.222573535430454	0.35259494705298505	4.5407600029647754e-05	0.005721808378643001	3.196231549569411
13.0.799999999999999.0	0.090504099606386	0.034636992818491	0.039270276350412005	0.535588631224709	1.999954081108275	0.7000000000000001	2.197208057967305	0.35455957650228503	4.591889172835153e-05	0.005786082429037	3.23138443416695
14.0.1.0	0.089712498985137	0.034681106021459004	0.039170530723478	0.5364358642699231	1.999953586328381	0.7000000000000001	2.1726962534809022	0.356430608912277	4.6413671622238765e-05	0.005848280088222001	3.2653954692066502
14.0.399999999999999.0	0.08896016104120401	0.034723017122785	0.039073406698302005	0.537243415137706	1.999953107545803	0.7000000000000001	2.14900900282154	0.35821294281622	4.6892454200806724e-05	0.005908466102958001	3.298300676151802
14.0.7.0	0.088244638507741	0.034762864206925	0.038978875717182004	0.53801362156815	1.9999526442603761	0.7000000000000001	2.12611820216369	0.359911204685319	4.7355739627386446e-05	0.005966703413430001	3.330135041842126
15.0.	0.087563676769127	0.034800774445634	0.038886904661364005	0.538748644123874	1.999952195986046	0.7000000000000001	2.103996726562631	0.36152976413512705	4.7804013956648376e-05	0.0060230531810310005	3.360932536992357
15.0.299999999999999.0	0.086915195346331	0.034836865148685	0.038797456585481005	0.539450482919501	1.99995176225063	0.7000000000000001	2.082618394837264	0.363072748358553	4.823774937304931e-05	0.0060775748187350005	3.39072613587447
15.0.6.0	0.08629727147105101	0.034871244695954005	0.038710491358183004	0.54012099247481	1.999951342595557	0.7000000000000001	2.06195793573626	0.364544055808581	4.8657404445954326e-05	0.006130326023537001	3.41954783691082
15.0.899999999999999.0	0.08570812547994201	0.034904013366152	0.038625966221292	0.5407618949326121	1.9999509365756052	0.7000000000000001	2.041990955344786	0.36594736915645903	4.906342439782463e-05	0.006181362810506	3.447428683948631
16.0.2.0	0.08514610779888401	0.034935264075253006	0.038543836278106	0.541374791847754	1.999950543758621	0.7000000000000001	2.02269390568931	0.36728616755285703	4.9456241382416634e-05	0.006230739548069001	3.474398788022531
16.0.5.0	0.08460968731971501	0.034965083035862	0.038464054919912005	0.541961174724509	1.999950163725233	0.7000000000000001	2.004044054498649	0.368563738220606	4.9836274770403596e-05	0.006278508994198	3.500487349442293
16.0.8.0	0.084097440999315	0.034993550347171005	0.038386574198567	0.5425224344549451	1.999949796068563	0.7000000000000001	1.986019456080053	0.36978318740812605	5.020393144022504e-05	0.0063247223332430005	3.525722680068663
17.0.099999999999998.0	0.083608044534171	0.035020740523848	0.038311345151895	0.543059869790084	1.999949440393931	0.7000000000000001	1.9685989232700891	0.37094745073281904	5.055960607230376e-05	0.006369429213155001	3.550132225661922
17.0.4.0	0.08314026398331101	0.035046722971089	0.03823831808775	0.543574694957848	1.999949096318558	0.7000000000000001	1.95176200042106	0.372059302943471	5.0903681445053e-05	0.006412677782925	3.57374258820621
17.0.7.0	0.08269294822928701	0.035071562412081	0.038167442831817	0.5440680465268131	1.999948763471272	0.7000000000000001	1.935488937384701	0.373121367130235	5.1236528731337354e-05	0.006454514730061	3.596579548128298
18.0.	0.08226502218129901	0.035095319273347005	0.038098668943561	0.5445409896017911	1.999948441492209	0.7000000000000001	1.919760664456074	0.37413612341017305	5.1558507794258414e-05	0.006494985317958	3.618668086342843
18.0.3.0	0.081855480636813	0.035118050032695004	0.038031945904161	0.544994523426328	1.999948130032522	0.7000000000000001	1.904558768241679	0.37510591711547703	5.18699674813106e-05	0.006534133423061	3.640032406067434
18.0.599999999999998.0	0.08146338272862101	0.035139807533951004	0.037967223279771006	0.545429586457654	1.999947828754087	0.7000000000000001	1.8898654684169802	0.37603296651066803	5.2171245916104e-05	0.0065720015716960005	3.6606959543604702
18.0.9.0	0.08108784689334901	0.035160641272088004	0.037904450863046	0.545847060971515	1.999947537329216	0.7000000000000001	1.875663595339716	0.376919370064049	5.246267078698088e-05	0.00660863097651	3.6806814433431603
19.0.2.0	0.08072804630529401	0.03518059765194	0.037843578795488005	0.546247777247277	1.9999472554403712	0.7000000000000001	1.8619365684865181	0.37776711329774504	5.274455963196304e-05	0.0066440615724280006	3.700010871074036
19.0.5.0	0.08038320472623	0.035199720223319006	0.037784557672861006	0.546632517377587	1.9999469827798841	0.7000000000000001	1.8486683756815272	0.37857807523957104	5.301722011956307e-05	0.006678332052087001	3.718705542050387
19.0.8.0	0.080052592727698	0.03521804989499	0.03772733863566	0.54700201874165	1.999946719049678	0.7000000000000001	1.835843553086814	0.37935403449898003	5.328095032507515e-05	0.006711479900689	3.73678608731628
20.0.099999999999998.0	0.079735524247401	0.035235625129687004	0.03767187344635	0.5473569771765591	1.9999464639610012	0.7000000000000001	1.8234471659255451	0.38009667498827204	5.3536039002032185e-05	0.006743541430241	3.754272484161228
20.0.4.0	0.079431353445781	0.035252482122101005	0.037618114554939006	0.5476980498771771	1.9999462172341542	0.7000000000000001	1.811464789909925	0.38080759130923303	5.3782765848576594e-05	0.006774551813142	3.771184075397436
20.0.7.0	0.079139471832693	0.035268654961539005	0.037566015154204005	0.548025858051561	1.999945978598234	0.7000000000000001	1.799882493346984	0.38148829382437105	5.4021401768546624e-05	0.0068045451151	3.7875395882067853
21.0.	0.078859305637514	0.035284175780778006	0.037515529225789004	0.548340989355916	1.999945747790875	0.7000000000000001	1.788686819896344	0.382140213430925	5.425220912712363e-05	0.006833554327365001	3.8033571525515573
21.0.3.0	0.07859031339894701	0.035299074892458	0.037466611578221	0.5486440001303711	1.9999455245580022	0.7000000000000001	1.7778647719550622	0.38276470605487806	5.447544200092791e-05	0.0068616113982460005	3.818654319145309
21.0.599999999999998.0	0.07833198375342601	0.035313380914206	0.037419217877776	0.5489354174545891	1.9999453086535801	0.7000000000000001	1.767403794645658	0.383363056881296	5.469134642248204e-05	0.00688874726392	3.833448076982312
21.0.9.0	0.078083833403256	0.035327120883572004	0.037373304673041	0.549215741040128	1.999945099839383	0.7000000000000001	1.757291760384328	0.38393648433641103	5.4900160618992356e-05	0.006914991878527001	3.847754870425799
