time	G1	G2	T1	T2
840.0.	11.748770583053012	11.634984932005349	0.049105946060584	0.047544599986454
850.0.	15.165313111692143	15.062491942299419	0.10849221609503101	0.101431480373631
860.0.	17.59545991467255	17.59043467809258	0.9145863462309881	0.8362946987134171
870.0.	8.917841024081687	9.356652954678486	10.944649198096341	10.688199175823701
880.0.	3.133660650192746	3.098157706500004	4.655730459704743	4.924351961461782
890.0.	5.439013510015496	5.350852468311368	0.40324286338948	0.42071794722493105
900.0.	8.80705447267947	8.715820318999887	0.07276042297606	0.07300390823302201
910.0.	12.29417707320471	12.205458022913167	0.04987838922787301	0.048394542681464
920.0.	15.673649165759286	15.596227365533363	0.137006655643548	0.12948177960687002
930.0.	17.553985822735026	17.591761612193686	1.398042789048116	1.302451398482173
940.0.	6.684857054439118	6.946992767368085	12.180609117956529	12.170450343632309
950.0.	3.2882785408610182	3.246582451893271	3.293494372377123	3.44974782118058
960.0.	5.926218107791712	5.855929712512338	0.285358327148078	0.293633164927732
970.0.	9.336202925130259	9.264777545335324	0.062281788773760005	0.06216968715124901
980.0.	12.823306398792788	12.754304839053889	0.05274064221636501	0.051322830710519005
990.0.	16.148353419012597	16.09125552867725	0.178861969829775	0.17066261761217902
1000.0.	17.18896565827912	17.265820035336674	2.159578257617307	2.044619971740631
