time	s1	s10	s11	s12	s13	s14	s15	s16	s17	s2	s3	s4	s5	s6	s7	s8	s9
5.0.3999999999999995.0	0.344935450485826	6.965263263320237	0.666736084819424	0.923152760223211	1.2998498202953122	0.25172567446958605	0.18732008199354003	0.179115864394971	0.168929256241957	3.94333839091775	61.17563117007915	0.5681360941174011	9.940775262915725	5.292450991834166	0.055992831192810004	6.577144365622794	1.459502637076199
5.0.7.0	0.342756737620925	7.22458315760329	0.665275096626187	0.90199051055868	1.268249773996794	0.25033387059614903	0.17948907877191803	0.177007812983101	0.16911332593760903	3.880366671239825	61.304821334432354	0.5683451842478591	9.802364527596447	5.203346807569837	0.053521636463945005	6.608611849618154	1.3998226241369731
6.0.	0.34066288868174704	7.477414810927708	0.6637622470912561	0.8818238539081841	1.238225207587922	0.248945983841854	0.17240724842562902	0.17494975499530802	0.169273912995193	3.829165361003806	61.4136610354131	0.5685558137337291	9.667917926638893	5.117342342141136	0.051317184595473006	6.638940838000419	1.345633590018677
6.0.3.0	0.338643541039127	7.7243790023971055	0.662201881116915	0.862604083410566	1.209694065440033	0.24756318847857903	0.16599861676596803	0.172940884034777	0.169412192413386	3.786509812763591	61.50571208460635	0.568750167312009	9.53733595571188	5.034332014455789	0.049348856630541005	6.668173267786186	1.296400385637239
6.0.6.0	0.33669070624442904	7.966034770260338	0.660597881864597	0.8442844117854631	1.1825779217176011	0.246186479378479	0.160194878288301	0.17098030365059202	0.16952923195902	3.750099348371267	61.58360394044517	0.5689162974221741	9.41051614775866	4.954211038951614	0.047589548562777	6.696347422920531	1.2516396704190371
6.0.8999999999999995.0	0.33479811720156805	8.202885449363505	0.658953762083567	0.826820043813514	1.156802030413028	0.24481670970229202	0.1549346602253	0.169067057384287	0.16962601325099802	3.718290649410836	61.6492989396799	0.569046398067525	9.287354749842956	4.876876276940748	0.046015279676772006	6.723498673721563	1.210915189221684
7.0.199999999999999.0	0.33296076174612504	8.435384152581742	0.6572727312849831	0.8101681955962741	1.132295300665958	0.243454618605411	0.150162844874057	0.167200150407567	0.169703447233906	3.689908177324708	61.70428108283346	0.5691355790290791	9.167747906857654	4.8022268070362895	0.044604840575399006	6.749660017717439	1.173833385630001
7.0.5.0	0.33117454894938103	8.663938736805052	0.655557745604883	0.794288077591894	1.108990222211517	0.24210085178654	0.145829949504412	0.16537856514266802	0.169762385633512	3.664109360780254	61.74969045614069	0.5691809957238141	9.051592493296765	4.730164296478794	0.043339478099948	6.774862478338691	1.1400393579112391
7.0.8.0	0.32943606996177904	8.888916294483767	0.653811545232145	0.7791408534363441	1.086822758454626	0.24075597689201003	0.141891561665649	0.163601272569514	0.169803629528465	3.640288722507709	61.78641899068258	0.569181231833211	8.938786693676205	4.660593231585181	0.042202614131703	6.799135401684858	1.1092131516743
8.0.1.0	0.32774242622988803	9.11064721081417	0.6520366828777421	0.764689583017347	1.065732219451284	0.239420495211174	0.138307826826224	0.16186724043477302	0.16982793584671202	3.618009692600605	61.81517872218875	0.569135861569324	8.829230403291126	4.5934210487570635	0.041179595230085006	6.822506680028156	1.081066375625625
