time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
1000.0.	2.480869978758219	5	20	297.5191300212431	0.007960402995717	0.548918026558578	1199.4430637804428	1.928619277556774e-06	0.011554846600069	1199.988385434778	100
1040.0.	2.4808699787586592	5	20	297.5191300212426	0.007960402994566	0.5489180265586291	1199.443063780444	1.928619277558162e-06	0.011554846600073	1199.988385434778	100
1080.0.	2.480869978758713	5	20	297.5191300212426	0.007960402994428	0.5489180265586341	1199.443063780444	1.92861927755833e-06	0.011554846600074001	1199.988385434778	100
1120.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994411	0.5489180265586351	1199.443063780444	1.9286192775583497e-06	0.011554846600074001	1199.988385434778	100
1160.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1200.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1240.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1280.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1320.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1360.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1400.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1440.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1480.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1520.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1560.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1600.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1640.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1680.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1720.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1760.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1800.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1840.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1880.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1920.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
1960.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2000.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2040.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2080.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2120.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2160.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2200.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2240.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2280.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2320.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2360.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2400.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2440.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2480.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2520.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2560.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2600.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2640.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2680.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2720.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2760.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2800.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2840.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2880.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2920.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
2960.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3000.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3040.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3080.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3120.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3160.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3200.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3240.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3280.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3320.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3360.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3400.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3440.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3480.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3520.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3560.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3600.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3640.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3680.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3720.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3760.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3800.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3840.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3880.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3920.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
3960.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
4000.0.	2.48086997875872	5	20	297.5191300212426	0.007960402994409001	0.5489180265586351	1199.443063780444	1.928619277558353e-06	0.011554846600074001	1199.988385434778	100
