time	EGF	GS	Grb	PLCg	PLCgP	PLCgl	R	R2	RG	RGS	RP	RPLCg	RPLCgP	RSh	RShG	RShGS	RShP	Ra	SOS	ShG	ShGS	ShP	Shc
15.0.200000000000001.0	580.3114301044566	3.205279952480131	33.74391940294896	59.0923026460047	3.658283799196462	29.072143535114645	0.31143010445740604	8.571758466278043	0.9264297028456291	0.652116577370475	1.014294505415482	3.407996895876318	9.769273123807947	0.934145775459789	3.532859724878183	3.690352714743031	12.814529677705194	9.061055566782423	4.094035492989535	16.89082666231671	22.3582152624169	30.969970124022364	58.809100058457744
16.0.	580.3131218201291	3.156967585803027	31.865465317508388	56.79196315539589	3.7271711551295583	31.301944420027425	0.313121820129991	8.862112381514951	0.9718644974983791	0.646279709381946	1.052878779738619	3.403155392739157	9.775765876708059	0.9113739782950581	3.396934758204367	3.558990918007426	12.6987630543758	9.1306394869425	3.589602348688853	18.35533777547766	23.048159438118816	32.898977306162124	55.13146277135866
16.0.8.0	580.315722266237	3.090129721504466	30.152791562438896	54.49914379641304	3.794523369915558	33.53270834150679	0.315722266237814	9.173820893775291	1.015837871690243	0.6390047565364201	1.093671849507429	3.396165641052994	9.777458851111701	0.887824272332119	3.25648649943494	3.423493801834439	12.56655751884631	9.22363382151842	3.204343955386592	19.77922802182246	23.643027764738147	34.877082950444255	51.56629917054726
17.0.6.0	580.3191030930857	3.010669035979059	28.595888902089108	52.21599808069938	3.860326417372871	35.76320179393906	0.31910309308635204	9.506615156410781	1.058083980813883	0.6308412755384001	1.136744084723234	3.386567044392559	9.773906663596213	0.8634346843156371	3.113708861318934	3.286203122007175	12.415900608142026	9.33688594439598	2.911689738563134	21.144007994341152	24.160596827912297	36.89933650621895	48.11681139574373
18.0.400000000000002.0	580.3231604675408	2.923736504332799	27.183751551634096	49.9449864547574	3.9244590230142133	37.99216435093177	0.323160467541497	9.860462998509261	1.098460713046579	0.622224243403479	1.182171298165554	3.373926332261593	9.76446383903514	0.8381679291404981	2.9706305451002333	3.148815373301225	12.24517847787091	9.467836032789572	2.689172683254894	22.436329873473927	24.616051195707673	38.95852366479498	44.78630294061045
19.0.200000000000003.0	580.3278100401479	2.8335301593784683	25.9049655141204	47.68886018875227	3.986724658675363	40.21823802281522	0.32781004014880605	10.235489531685516	1.136934188946151	0.6134844045909871	1.230030320467713	3.357828404321005	9.748348725436257	0.8120085806461881	2.829004185292232	3.012565903061286	12.053201916868282	9.614397637219978	2.518825019260878	23.64792113090204	25.021594513708454	41.045619303822534	41.57808446569888
20.0.	580.3329829952605	2.743255319103658	24.748186284166785	45.450650028268804	4.04687337263004	42.43991929619978	0.33298299526145303	10.631912193524666	1.173556909209601	0.604865057204353	1.2803946930631231	3.337870646287787	9.724686656613697	0.784961413224855	2.690248069520874	2.878365780637864	11.83921613016469	9.774861905835541	2.386903709948048	24.774912447050728	25.386610133106142	43.150294187256	38.49539183903873
20.0.8.0	580.3386228748703	2.655204037101552	23.702486526849007	43.23365636297629	4.104616716197458	44.65552664543808	0.338622874871287	11.049985130191343	1.208444731293213	0.5965406029876751	1.333330403435978	3.31366052613121	9.69253974925708	0.757050597476547	2.5554359999461322	2.746895590383335	11.602895715930863	9.947819031061968	2.283244187813962	25.81687692972554	25.718115581713537	45.261418510473256	35.541311074350666
21.0.6.0	580.3446829678045	2.570902073308175	22.757579867862344	41.04143811920945	4.159638149032476	46.863178685808656	0.34468296780523	11.489949506520086	1.241756097035956	0.588633692226023	1.3888915638964	3.284816257735394	9.650928788214136	0.7283194589856291	2.425322278350674	2.6186662804556082	11.344328307637232	10.132092570080506	2.200497218926211	26.77583897567716	26.021300735084044	47.36751773981792	32.71870622399161
22.0.400000000000002.0	580.3511241230306	2.4912777379107203	21.903942186607946	38.877798031429535	4.211600671827183	49.06077987167137	0.35112412303134005	11.951987312653914	1.273675102957504	0.581229412499223	1.44711594196385	3.250970266320856	9.598851158751181	0.6988305461787291	2.300386961719236	2.494058079343444	11.06399132471948	10.326683662753842	2.133413342040919	27.655409090756155	26.30002142820576	49.45715491812868	30.030147650948404
