time	C3	C3_star	C8	C8_star	FL	FS	IKK	L	L_RF	L_RF_C8	L_RF_C8_FS	L_RF_FL	L_RF_FL_FL	L_RF_FL_FS	L_RF_FS	L_RF_FS_FS	NF_kB_IkB	NF_kB_IkB_P	NF_kB_star	RF	p43_FLIP	p43_FLIP_IKK_star	p43_p41
36.0.	1.43623949471357	0.003557230328164	38.68022031741964	0.28911426529086903	3.1482626378364503e-44	-2.743562429540739e-19	5.6702533808220235	21.954080000000115	66.71448458449731	10.399160493972342	0.29359334505243	0.546646127555884	0.46548358372427706	4.788854525412442	0.000245010387194	0.000615059573965	3.117280982141983	0.023199897881211	1.4898603368510202	-3.0325161974406965e-40	1.029522560405122	0.076533975080359	6.693641707202719
39.0.6.0	1.43226287824612	0.0051859167199030005	36.57347623380457	0.39894705985113305	7.974922064562055e-46	-5.631382778674068e-21	5.654928137319832	21.954080000000115	65.57040158489343	10.693608853786241	0.293612303094103	0.504348573623646	0.46548358372427706	4.788854525412442	0.00022605234552100002	0.000615059573965	2.8076833377494452	0.023354334567754	1.7617305065925981	-2.205146514705719e-42	1.056494870835171	0.085358732775049	7.468519153976692
43.0.2.0	1.426909994813664	0.007204623658404001	34.55489241824415	0.5290305049566151	-5.026493297688886e-47	-1.9249596467782018e-20	5.639292230995193	21.954080000000115	64.50707638519918	10.933584312834677	0.293628871459351	0.46738266043581006	0.46548358372427706	4.788854525412442	0.00020948398027200002	0.000615059573965	2.500773607590599	0.022901222301631	2.025319126108228	7.269281244063266e-44	1.07782487769837	0.093800727021436	8.208588286937244
46.0.800000000000004.0	1.419966165860736	0.009615667673592001	32.61900850377179	0.6788055623505881	-1.035463092972317e-48	4.718346839734849e-22	5.623424261002739	21.954080000000115	63.51870343881027	11.128777952816426	0.293643402189373	0.434962943917643	0.46548358372427706	4.788854525412442	0.000194953250251	0.000615059573965	2.203855520993193	0.021942497176015003	2.273497166291686	3.4540908902618937e-45	1.094376624224084	0.10181404324398201	8.911193762586336
50.0.4.0	1.411235287845125	0.012405781487182	30.760715742087065	0.8472282082351631	6.5593541915797465e-50	-2.946741157759882e-23	5.607390549083418	21.954080000000115	62.600044854700585	11.287098022030316	0.293656186833605	0.406438944010159	0.46548358372427706	4.788854525412442	0.000182168606019	0.000615059573965	1.922755489978143	0.020594515770923003	2.500744918302714	7.903259798078673e-47	1.106866912212247	0.109368091553284	9.574600426029672
54.0.	1.400547127037517	0.015547027304094001	28.975566368141592	1.032845824586108	1.2847769289893271e-51	6.797771819808121e-26	5.5912472025184385	21.954080000000115	61.74636290347997	11.415023702650894	0.29366746806765404	0.381269223748465	0.46548358372427706	4.788854525412442	0.00017088737197000001	0.000615059573965	1.661730236427574	0.018975478912194	2.703218663761503	9.496932723298835e-49	1.115893285908959	0.11644444503764301	10.197560539869308
57.0.6.0	1.387763564325878	0.018998141551421002	27.259948509477113	1.233861511237195	-6.856514424520298e-53	2.121604428635727e-26	5.575041792933578	21.954080000000115	60.95335341927359	11.517883801651795	0.293677448960311	0.359000713489923	0.46548358372427706	4.788854525412442	0.00016090647931200002	0.000615059573965	1.4235193179972732	0.017195804225483002	2.878669744294493	-6.580881706156143e-51	1.121956386582644	0.12303429053912102	10.779026355707678
61.0.2.0	1.372783726466463	0.022706180100997002	25.611152281222427	1.44818684818056	-1.404028345841579e-54	-4.140152894271025e-27	5.558814726737304	21.954080000000115	60.21708292884248	11.600076529112538	0.293686300369985	0.339252208633715	0.46548358372427706	4.788854525412442	0.000152055069639	0.000615059573965	1.209500871779488	0.015351703206138002	3.026260358469771	-6.723301913025558e-52	1.125477825242579	0.129136371953349	11.317984878261875
64.0.8.0	1.355547924776942	0.026608400179471	24.027349747769534	1.673486364544619	5.46353051892233e-56	2.490743704070301e-28	5.54260036788185	21.954080000000115	59.53393137071476	11.665243210274049	0.293694166855595	0.321701181733521	0.46548358372427706	4.788854525412442	0.000144188584029	0.000615059573965	1.019909323751686	0.013521743132527	3.146319435500524	-1.901240552700411e-53	1.126814493287322	0.134755329830259	11.813390937054036
68.0.4.0	1.33604030160166	0.030634357644207	22.507508818153138	1.907218152560664	1.26743594122451e-57	-1.057449702784025e-29	5.526427961432289	21.954080000000115	58.90054154258571	11.71640606141729	0.293701171408402	0.306073225258278	0.46548358372427706	4.788854525412442	0.00013718403122200002	0.000615059573965	0.854079179046452	0.011765878647852002	3.240075924160468	-3.045059445505971e-55	1.126270043313002	0.139900360185608	12.264175151332704
72.0.	1.314290075682168	0.034708213680699006	21.05125910026498	2.146675050719016	-3.068916417583182e-59	1.7188722663249673e-31	5.510322396642243	21.954080000000115	58.313775869479755	11.756077971341696	0.29370741924757005	0.292133583246297	0.46548358372427706	4.788854525412442	0.00013093619205400002	0.000615059573965	0.710686991357048	0.010126308847919001	3.309398215035743	-9.241556848813405e-58	1.124104120534938	0.144584130769527	12.66930455603976
75.0.60000000000001.0	1.290371291238186	0.038751235975119	19.658726233563495	2.389029947710822	-8.969666439582865e-61	2.045555645390599e-32	5.494304840427587	21.954080000000115	57.77068066480398	11.786350486146077	0.293713000871453	0.279680343542618	0.46548358372427706	4.788854525412442	0.00012535456817	0.000615059573965	0.587972273665619	0.008629515264794	3.356559194202224	1.15530412640212e-58	1.120539804023959	0.14882190529282902	13.027875306682814
79.0.2.0	1.264401017423249	0.042684452334627004	18.330350031079856	2.631387339695269	1.0129599444912422e-62	-1.961966926957158e-33	5.47839326591692	21.954080000000115	57.26845772233246	11.808964814611258	0.293717994516337	0.268538952072648	0.46548358372427706	4.788854525412442	0.00012036092328700002	0.000615059573965	0.48392610018713306	0.007288918491732001	3.384038005622066	4.252315247988128e-60	1.115769620983264	0.152630835890594	13.339218945313158
82.0.8.0	1.2365360137606	0.046431378197118005	17.066700580150947	2.870841597768487	4.757674213570039e-64	8.81422088198319e-35	5.462602895817296	21.954080000000115	56.80444280469666	11.82536958372976	0.29372246814274	0.258557781162883	0.46548358372427706	4.788854525412442	0.000115887296884	0.000615059573965	0.396442691409827	0.006107714403721	3.394362760880199	8.481194438727371e-62	1.109960421793406	0.156029391906667	13.60300622917587
